page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	modifier_bearing_state_event_count	multi_modifier_state_event_count	modifier_voice_changed_state_event_count	modifier_voice_changed_statement_count	page_status	guard
1	f1r	SOURCE_SECTION_T	214	7	36	14	4	7	6	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
2	f10r	HERBAL	92	2	23	6	2	5	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
3	f11r	HERBAL	59	2	11	2	0	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
4	f13r	HERBAL	77	5	18	4	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
5	f17r	HERBAL	78	8	19	11	4	7	7	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
6	f18r	HERBAL	84	5	21	4	1	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
7	f24v	HERBAL	86	3	14	7	3	6	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
8	f55v	HERBAL	106	5	17	11	2	4	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
9	f56r	HERBAL	105	3	26	5	3	3	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
10	f67r2	CELESTIAL	126	11	15	8	4	6	4	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
11	f68r1	CELESTIAL	31	3	8	5	2	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
12	f69v	CELESTIAL	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED
13	f70v	CELESTIAL	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED
14	f71v	CELESTIAL	78	5	24	18	7	8	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
15	f72r	CELESTIAL	288	22	105	77	24	23	13	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
16	f75r	BIOLOGICAL	408	111	172	124	5	3	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
17	f76r	BIOLOGICAL	560	118	187	120	16	6	6	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
18	f77r	BIOLOGICAL	321	82	141	103	6	5	5	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
19	f81r	BIOLOGICAL	210	48	114	70	5	8	8	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
20	f81v	BIOLOGICAL	253	54	102	54	9	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
21	f82r	BIOLOGICAL	278	62	101	73	9	5	5	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
22	f83r	BIOLOGICAL	341	91	139	101	15	6	6	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
23	f88r	PHARMA	134	5	41	20	6	4	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
24	f88v	PHARMA	131	13	30	24	10	14	10	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
25	f89r	PHARMA	338	20	74	46	13	13	10	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
26	f95v	HERBAL	178	30	56	33	2	7	7	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
27	f31r	HERBAL	103	19	25	24	1	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
28	f66r	SOURCE_SECTION_T	293	51	95	72	18	15	12	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
29	f20v	HERBAL	86	3	21	2	0	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
30	f4r	HERBAL	64	5	21	4	1	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
