physical_page	source_selector	locus	line_number	line_kind	paragraph_start	paragraph_end	panel_ids	record_ids	eva_clean	it2a_clean	rf1b_clean
f17r	f17r	f17r.1	1	RUNNING_PROSE	1	0	NONE	NONE	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	fshody daram ydarchom opydy ypod chop otchy dody oldckhy	fshody daram ydar chom opydy ypod chop otchy dody oldckhy
f17r	f17r	f17r.2	2	RUNNING_PROSE	0	0	NONE	NONE	ydair choky okshy qodar ckhody dor otchol qodcthy ods	ydair shoky okshy qodar ckhody dor otchol qodcthy ods	ydair ch ky okshy qodar ckhody dor otchol qodcthy ods
f17r	f17r	f17r.3	3	RUNNING_PROSE	0	1	NONE	NONE	chol or chy qodam okor chor okchom	chol or chy qodam okor chor okchom	chol or chy qod am okor chor okchom
f17r	f17r	f17r.4	4	RUNNING_PROSE	1	0	NONE	NONE	tcho shol qokol qor olaiin opydg som ypchy ypaim	tcho shol qokol qor olaiin opydg som ypchy ypaim	tchor shol qokol qor olaiin opydg rom ypchy ypaim
f17r	f17r	f17r.5	5	RUNNING_PROSE	0	0	NONE	NONE	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody
f17r	f17r	f17r.6	6	RUNNING_PROSE	0	1	NONE	NONE	tsho qof cho qokcheor cheteg	tsho qofcho qokcheor chekeg	tsho qof cho qokcheor cheteg
f17r	f17r	f17r.7	7	RUNNING_PROSE	1	0	NONE	NONE	ksheo qokchy choldshy zepchy d opchordy	ksheo qokchy choldshy zepchy dsa opchordy	ksheo qokchy choldshy zepchy opchordy
f17r	f17r	f17r.8	8	RUNNING_PROSE	0	0	NONE	NONE	dchchy dychear schar ykchy	dchchy dychear schar ykchy	dchchy dychear schar kchy
f17r	f17r	f17r.9	9	RUNNING_PROSE	0	0	NONE	NONE	soy chckho o das chypcham	soy chckhy o dar chypcham	soy chckho o das chypcham
f17r	f17r	f17r.10	10	RUNNING_PROSE	0	0	NONE	NONE	dar chear dcheor sain y mol	dar chear dsheor ain y mol	dar chear dcheor sain mol
f17r	f17r	f17r.11	11	RUNNING_PROSE	0	0	NONE	NONE	otchol cthar okaiin chol daiiin	otchol cthar okaiin chol daiiin	otchol cthar okaiin chol daiiin
