edge_id	physical_page	label_locus	complete_label	prose_locus	start_token	end_token	occurrence_rank	reader_support	source_line
LR001	f72r	f72r2.9	okal	f72r2.22	19	19	1	3	oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin
LR002	f72r	f72r2.10	okaly	f72r2.22	16	16	1	3	oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin
LR003	f72r	f72r2.11	okal	f72r2.22	19	19	1	3	oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin
LR004	f72r	f72r2.17	otar	f72r1.12	14	14	1	2	oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar
LR005	f72r	f72r2.17	otar	f72r1.12	24	24	2	2	oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar
LR006	f72r	f72r2.17	otar	f72r2.6	20	20	1	2	oteos aiin okeo daiin okeey cheo keodal chol okeol oly oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckhal chekaiin otaiin chy d r aiin al y o chekaiin okedal qokeodal saiin otois otees
LR007	f72r	f72r2.18	okaly	f72r2.22	16	16	1	3	oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin
LR008	f72r	f72r2.29	otam	f72r1.1	30	30	1	2	oteeo cthey chlol cheol olcheor al oteey chedal oteedy okeodaly chol chokeol cheoky okaiir okeedy sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal dar okeeas aiin oteey okaiin
LR009	f72r	f72r2.29	otam	f72r1.1	31	31	2	2	oteeo cthey chlol cheol olcheor al oteey chedal oteedy okeodaly chol chokeol cheoky okaiir okeedy sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal dar okeeas aiin oteey okaiin
LR010	f77r	f77r.3	otedy	f77r.25	1	1	1	3	otedy qokar shedy qokal shedar dal chedy daror
LR011	f88r	f88r.15	okol	f88r.19	7	7	1	3	dchey chokol daiin qoekol qoekol qockhol okol cheol
