page	locus	section	source_line	surface	ordinal	within_line_occurrence_rank	line_number	physical_page	physical_page_basis	released_physical_page	released_gdt791_status	raw_kind	raw_role	zl3b_occurrences_in_line	it2a_occurrences_in_line	rf1b_occurrences_in_line	it2a_rank_ordinal	rf1b_rank_ordinal	it2a_rank_supported	rf1b_rank_supported	reader_support_count	reader_support_definition	semantic_credit	component_export_credit
f1r	f1r.24	T	cho o kaiin shoaiin okol daiin far cthol daiin ctholdar	okol	5	1	24	f1r	GDT791_EXPLICIT_MAPPING	f1r	RUNNING_PROSE	P	PROSE	1	1	1	4	5	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f2r	f2r.12	H	okol chy chor cthor yor an chan saiin chety chyky sal	okol	1	1	12	f2r	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	1	1	1	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f3r	f3r.5	H	qokol chololy s cham cthol	qokol	1	1	5	f3r	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	1	1	1	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f3r	f3r.16	H	oteol chol s cheol ekshy qokeom qokol daiin soleeg	qokol	7	1	16	f3r	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	0	7	ABSENT	1	0	2	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f3r	f3r.20	H	ycheor chol odaiin chol s aiin okol or am	okol	7	1	20	f3r	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	0	0	ABSENT	ABSENT	0	0	1	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f6v	f6v.3	H	qoair ckhy chol oechockhy chekchoy ckhy okol rychos	okol	7	1	3	f6v	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	1	7	7	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f6v	f6v.20	H	dchor choldar okol daiin	okol	3	1	20	f6v	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	1	3	3	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f8v	f8v.14	H	shor okol lokaiin shol kol char cthey tchy ckham	okol	2	1	14	f8v	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	1	2	2	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f10v	f10v.6	H	shoiin chor shcthy qoty qotoiin qokol chor aiin	qokol	6	1	6	f10v	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	1	6	6	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f10v	f10v.7	H	qokol chy ky chol cheky daiin dain chckhan	qokol	1	1	7	f10v	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	1	1	1	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f13v	f13v.2	H	oko qokol chodal otchol cphol choty	qokol	2	1	2	f13v	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	1	2	2	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
f14r	f14r.2	H	o ykeey soiiin chok qokchy da okol	okol	7	1	2	f14r	NORMALIZED_SIDE_HEURISTIC	NOT_IN_GDT791	NOT_IN_GDT791	P	PROSE	1	1	1	7	6	1	1	3	NTH_EXACT_WHOLE_IN_SAME_LINE__NOT_ALIGNMENT_PROOF	0	0
