ol_slot_id	source_contact_id	expression_id	page	physical_folio	locus	amount_expression_eva	amount_candidate_de	amount_mode	expression_line_position	ol_sides_relative_to_amount	position_expected_side	gdt762_decision	selected_slot_function	dispatch_basis	preferred_competitor_surface	preferred_competitor_reader_exact	outside_span_surface	outside_span_reader_exact	outside_span_axis_class	working_phrase_de	source_relation_marker	specific_oil_identity	written_line_eva	confirmed_plaintext	component_export_credit
G763-A01	G762-A01	G760-E0075	f112r	f112	f112r.36	sain	zwei Drachmen	FUSED	FIRST	R	R	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	LINE_EDGE	0	SEE_OL_OCCURRENCE_R1	0	NOT_REQUIRED_BY_SELECTED_DISPATCH	Ansatzstoff: zwei Drachmen	NONE	0	sain ol checkhy olchain okeey olam	0	0
G763-A02	G762-A02	G760-E0070	f112r	f112	f112r.9	saiin	drei Drachmen	FUSED	FIRST	R	R	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	LINE_EDGE	0	SEE_OL_OCCURRENCE_R1	0	NOT_REQUIRED_BY_SELECTED_DISPATCH	Ansatzstoff: drei Drachmen	NONE	0	saiin ol okeey qokeey y chedy teedy qokchy qokar y	0	0
G763-A03	G762-A03	G760-E0155	f48v	f48	f48v.6	or ain	zwei Portionen	SEPARATED	MIDDLE	L	L	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	otal	1	otal	1	OPEN	Ansatzstoff: zwei Portionen	NONE	0	shdy qokain okar otar or otees ol or ain otal ok y tar chedy am	0	0
G763-A04	G762-A04	G760-E0161	f55v	f55	f55v.10	s aiin	drei Drachmen	SEPARATED	MIDDLE	L	L	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	okaiin	1	okaiin	1	OPEN	Ansatzstoff: drei Drachmen	NONE	0	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol	0	0
G763-A05	G762-A05	G760-E0191	f76v	f76	f76v.39	san	eine Drachme	FUSED	MIDDLE	R	L	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	CONTEXT_SECOND_FIELD	positionsbevorzugter linker Gegenkandidat okedy ist reader-exakt (OPEN)	okedy	1	SEE_OL_OCCURRENCE_R1	0	NOT_REQUIRED_BY_SELECTED_DISPATCH	Ansatzstoff: eine Drachme	NONE	0	sshey lshedy qokaiin shedy okedy san ol keedy sor qoky dedy	0	0
G763-A06	G762-A06	G760-E0201	f78r	f78	f78r.37	s aiin	drei Drachmen	SEPARATED	MIDDLE	L	L	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	shee	0	shee	0	EDGE_OR_NONEXACT	Ansatzstoff: drei Drachmen	NONE	0	osal ol s aiin shee aiin oly	0	0
G763-A07	G762-A07	G760-E0204	f78v	f78	f78v.29	s aiiin	vier Drachmen	SEPARATED	MIDDLE	R	L	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	CONTEXT_SECOND_FIELD	positionsbevorzugter linker Gegenkandidat al ist reader-exakt (OPEN)	al	1	SEE_OL_OCCURRENCE_R1	0	NOT_REQUIRED_BY_SELECTED_DISPATCH	Ansatzstoff: vier Drachmen	NONE	0	lchedy otchey qol chedy lr al s aiiin ol shedy ary	0	0
G763-A08	G762-A08	G760-E0207	f79r	f79	f79r.13	or aiin	drei Portionen	SEPARATED	MIDDLE	R	L	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	CONTEXT_SECOND_FIELD	positionsbevorzugter linker Gegenkandidat qotar ist reader-exakt (OPEN)	qotar	1	SEE_OL_OCCURRENCE_R1	0	NOT_REQUIRED_BY_SELECTED_DISPATCH	Ansatzstoff: drei Portionen	NONE	0	pshorol shckhy qotshdy qokaldy opchedy qotar or aiin ol	0	0
G763-A09	G762-A09	G760-E0212	f79v	f79	f79v.25	sain	zwei Drachmen	FUSED	MIDDLE	R	L	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	CONTEXT_SECOND_FIELD	positionsbevorzugter linker Gegenkandidat otshey ist reader-exakt (OPEN)	otshey	1	SEE_OL_OCCURRENCE_R1	0	NOT_REQUIRED_BY_SELECTED_DISPATCH	Ansatzstoff: zwei Drachmen	NONE	0	qokeey ol olshdy qotain oteedy olkain otshey sain ol	0	0
G763-A10	G762-A10	G760-E0217	f81r	f81	f81r.15	sain	zwei Drachmen	FUSED	FIRST	R	R	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	LINE_EDGE	0	SEE_OL_OCCURRENCE_R1	0	NOT_REQUIRED_BY_SELECTED_DISPATCH	Ansatzstoff: zwei Drachmen	NONE	0	sain ol cheedy qokeedy otedy	0	0
