surface	reader_exact_occurrences	reader_exact_pages	all_middle	all_paragraph_start_line	surface_occurrences_with_x_daiin	has_any_x_daiin	hit_loci	selection_relation	component_export_credit
chefchy	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
chopy	3	3	1	1	1	1	f102r1.8	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
cphar	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
ofchey	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
opchal	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
opcheedy	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
orair	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
qop	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
ypar	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
ypchol	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
ypchy	3	3	1	1	0	0	NONE	NON_H1_N3_PAGES3_ALL_MIDDLE_ALL_PARAGRAPH_START_NOT_SUSPECT	0
