attachment_id	page	locus	match_key	amount_expression_eva	expression_line_position	content_side	content_surface	content_axes	content_role_label_de	content_candidate_de	content_semantic_confidence	position_condition_agreement	comparison_interpretation	written_line_eva	component_export_credit
G760-A004	f104v	f104v.38	or aiin|MIDDLE|R	or aiin	MIDDLE	R	cheo	DRY|PREPARATION	Zubereitung	trocken angesetzte Zubereitung	W3_SOLID_WORKING_THEORY	0	NONPREFERRED_MIDDLE_RIGHT_SLOT_ATTESTED_AS_PREPARATION	okechey chedy chchy qotain qokain chey or aiin cheo or aiin chedain okam	0
G760-A005	f105r	f105r.21	saiin|MIDDLE|R	saiin	MIDDLE	R	otol	COLD|PREPARATION	Zubereitung	kaltes Zubereitungsgut	W3_SOLID_WORKING_THEORY	0	NONPREFERRED_MIDDLE_RIGHT_SLOT_ATTESTED_AS_PREPARATION	ycheo lkedy qoeey qokedy qokedal saiin otol shody chedy okaiin chekaim	0
G760-A008	f108v	f108v.37	sain|FIRST|R	sain	FIRST	R	sheor	MOIST|PART|MATERIAL	Stoff	feuchter Drogenteil	W3_SOLID_WORKING_THEORY	1	PREFERRED_FIRST_RIGHT_SLOT_MIXES_MATERIAL_AND_PREPARATION	sain sheor sheey sheckhey qokey okey shey lkain shedy qokain dalam	0
G760-A010	f111r	f111r.24	sain|FIRST|R	sain	FIRST	R	chckhey	DRY|PREPARATION|MIDDLE_STAGE	Zubereitung	Arzneikompositum: trocken, Gradmitte	W3_SOLID_WORKING_THEORY	1	PREFERRED_FIRST_RIGHT_SLOT_MIXES_MATERIAL_AND_PREPARATION	sain chckhey cheos lchal lkechey okeey lkechedy oteodain char lky lchr ainai	0
G760-A011	f111r	f111r.39	saiin|FIRST|R	saiin	FIRST	R	chckhedy	DRY|PREPARATION|CLOSE|MIDDLE_STAGE|END_STAGE	Zubereitung	Arzneikompositum: trocken, Gradmitte, abgeschlossen	W3_SOLID_WORKING_THEORY	1	PREFERRED_FIRST_RIGHT_SLOT_MIXES_MATERIAL_AND_PREPARATION	saiin chckhedy okain oteain shok qokechdy okechedy chedy qokeey cheamar	0
G760-A012	f111v	f111v.51	sain|FIRST|R	sain	FIRST	R	cheal	DRY|MATERIAL|MIDDLE_STAGE	Stoff	Rohstoffklasse I, trocken in der Gradmitte	W3_SOLID_WORKING_THEORY	1	PREFERRED_FIRST_RIGHT_SLOT_MIXES_MATERIAL_AND_PREPARATION	sain cheal chckhy okain okal aiin choty chckhy	0
G760-A013	f112r	f112r.35	sain|FIRST|R	sain	FIRST	R	olaiin	AMOUNT|MATERIAL	Stoff	drei Portionen Drogenstoff	W3_SOLID_WORKING_THEORY	1	PREFERRED_FIRST_RIGHT_SLOT_MIXES_MATERIAL_AND_PREPARATION	sain olaiin qopchdy qoky okeal chedy okeey otedy ar ar okeedy	0
G760-A016	f114r	f114r.36	sain|MIDDLE|R	sain	MIDDLE	R	otchedy	COLD|DRY|PREPARATION|CLOSE|MIDDLE_STAGE|END_STAGE	Zubereitung	kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen	W3_SOLID_WORKING_THEORY	0	NONPREFERRED_MIDDLE_RIGHT_SLOT_ATTESTED_AS_PREPARATION	ychedar ady otar ain ykeodaiin qoeedaiin qokal sain otchedy qokar	0
G760-A018	f115v	f115v.10	saiin|FIRST|R	saiin	FIRST	R	sho	MOIST|PREPARATION	Zubereitung	feuchter Ansatz	W3_SOLID_WORKING_THEORY	1	PREFERRED_FIRST_RIGHT_SLOT_MIXES_MATERIAL_AND_PREPARATION	saiin sho sheody okaiin dalchedy oteeo chedy	0
G760-A020	f22v	f22v.4	saiin|MIDDLE|R	saiin	MIDDLE	R	odaiin	PREPARATION|LEVEL_III	Zubereitung	Zubereitung, Wertstufe III	W3_SOLID_WORKING_THEORY	0	NONPREFERRED_MIDDLE_RIGHT_SLOT_ATTESTED_AS_PREPARATION	otchaiin shoty qoky saiin odaiin ytaiin	0
G760-A026	f43v	f43v.12	or aiin|MIDDLE|R	or aiin	MIDDLE	R	odain	PREPARATION|LEVEL_II	Zubereitung	Zubereitung, Wertstufe II	W3_SOLID_WORKING_THEORY	0	NONPREFERRED_MIDDLE_RIGHT_SLOT_ATTESTED_AS_PREPARATION	yshee kedy dar chey qotedy etaiin chedy cthey oteol or aiin odain	0
G760-A033	f77r	f77r.29	saiin|FIRST|R	saiin	FIRST	R	cheeol	DRY|MATERIAL|END_STAGE	Stoff	vollständig getrockneter Drogenstoff	W3_SOLID_WORKING_THEORY	1	PREFERRED_FIRST_RIGHT_SLOT_MIXES_MATERIAL_AND_PREPARATION	saiin cheeol qokeedy qokeedy qotal	0
G760-A034	f78r	f78r.23	sain|FIRST|R	sain	FIRST	R	sheor	MOIST|PART|MATERIAL	Stoff	feuchter Drogenteil	W3_SOLID_WORKING_THEORY	1	PREFERRED_FIRST_RIGHT_SLOT_MIXES_MATERIAL_AND_PREPARATION	sain sheor olkchdy roiin okeedy	0
G760-A040	f86v6	f86v6.39	oraiin|MIDDLE|R	oraiin	MIDDLE	R	cheoty	COLD|DRY|PREPARATION|BEGIN_STAGE	Zubereitung	trocken angesetzte kalte Zubereitung am Gradanfang	W2_PROVISIONAL_WORKING	0	NONPREFERRED_MIDDLE_RIGHT_SLOT_ATTESTED_AS_PREPARATION	y aiin dar otol qokain qoky lkor dal oraiin cheoty qotaiin olkam	0
G760-A041	f88r	f88r.10	saiin|MIDDLE|R	saiin	MIDDLE	R	cheos	DRY|AMOUNT|PREPARATION	Zubereitung	Charge eines mitteltrockenen Ansatzes	W3_SOLID_WORKING_THEORY	0	NONPREFERRED_MIDDLE_RIGHT_SLOT_ATTESTED_AS_PREPARATION	qokeol cheol saiin cheos cheol doleeey or cheom cheojam	0
G760-A042	f88v	f88v.26	saiin|FIRST|R	saiin	FIRST	R	choky	HOT|DRY|PREPARATION|BEGIN_STAGE	Zubereitung	heiß-trockene Zubereitung, Grundform	W3_SOLID_WORKING_THEORY	1	PREFERRED_FIRST_RIGHT_SLOT_MIXES_MATERIAL_AND_PREPARATION	saiin choky cheor shy	0
G760-A043	f95v1	f95v1.12	s aiin|MIDDLE|R	s aiin	MIDDLE	R	ody	PREPARATION|CLOSE|END_STAGE	Zubereitung	fertiggestellter Ansatz	W3_SOLID_WORKING_THEORY	0	NONPREFERRED_MIDDLE_RIGHT_SLOT_ATTESTED_AS_PREPARATION	shotshey s aiin ody olkchdy qotaiin shcthy dolkchy tchdaiin dal	0
G760-A044	f96r	f96r.11	s aiin|MIDDLE|R	s aiin	MIDDLE	R	chokey	HOT|DRY|PREPARATION|MIDDLE_STAGE	Zubereitung	heiß-trockener Ansatz in der Gradmitte	W3_SOLID_WORKING_THEORY	0	NONPREFERRED_MIDDLE_RIGHT_SLOT_ATTESTED_AS_PREPARATION	teol cheody shodol qokchod s aiin chokey	0
