branch	rota_singers	mode	status	starts_breves	window_end_breves	event_rows	contradictions	independent_meaning_capacity
C0_local_current_conditional	2	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	156.0	284		0
C0_local_current_conditional	2	STAR_OWNER	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	156.0	284		0
C0_local_current_conditional	2	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	156.0	284	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C1_rockstro_ternary_conditional	2	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	156.0	284		0
C1_rockstro_ternary_conditional	2	STAR_OWNER	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	156.0	284		0
C1_rockstro_ternary_conditional	2	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	156.0	284	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C2_hurry_pes_prose_countercase	2	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	3324.0	6245		0
C2_hurry_pes_prose_countercase	2	STAR_OWNER	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	3324.0	6245		0
C2_hurry_pes_prose_countercase	2	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	3324.0	6245	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C3_ordinal_missing_stem_sensitivity	2	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	156.0	284		0
C3_ordinal_missing_stem_sensitivity	2	STAR_OWNER	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	156.0	284		0
C3_ordinal_missing_stem_sensitivity	2	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""U"": 0.0}"	156.0	284	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C0_local_current_conditional	3	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""U"": 0.0}"	168.0	387		0
C0_local_current_conditional	3	STAR_OWNER	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 12.0, ""U"": 0.0}"	168.0	396	C07_C08_C12_OWNER:R2;C13_EARLY:R2	0
C0_local_current_conditional	3	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""U"": 0.0}"	168.0	387	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C1_rockstro_ternary_conditional	3	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""U"": 0.0}"	168.0	387		0
C1_rockstro_ternary_conditional	3	STAR_OWNER	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 12.0, ""U"": 0.0}"	168.0	396	C07_C08_C12_OWNER:R2;C13_EARLY:R2	0
C1_rockstro_ternary_conditional	3	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""U"": 0.0}"	168.0	387	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C2_hurry_pes_prose_countercase	3	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""U"": 0.0}"	3336.0	8087		0
C2_hurry_pes_prose_countercase	3	STAR_OWNER	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 12.0, ""U"": 0.0}"	3336.0	8096	C07_C08_C12_OWNER:R2;C13_EARLY:R2	0
C2_hurry_pes_prose_countercase	3	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""U"": 0.0}"	3336.0	8087	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C3_ordinal_missing_stem_sensitivity	3	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""U"": 0.0}"	168.0	387		0
C3_ordinal_missing_stem_sensitivity	3	STAR_OWNER	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 12.0, ""U"": 0.0}"	168.0	396	C07_C08_C12_OWNER:R2;C13_EARLY:R2	0
C3_ordinal_missing_stem_sensitivity	3	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""U"": 0.0}"	168.0	387	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C0_local_current_conditional	4	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""R3"": 36.0, ""U"": 0.0}"	180.0	498		0
C0_local_current_conditional	4	STAR_OWNER	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 12.0, ""R3"": 12.0, ""U"": 0.0}"	180.0	519	C07_C08_C12_OWNER:R2;C07_C08_C12_OWNER:R3;C13_EARLY:R2;C13_EARLY:R3	0
C0_local_current_conditional	4	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""R3"": 36.0, ""U"": 0.0}"	180.0	498	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C1_rockstro_ternary_conditional	4	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""R3"": 36.0, ""U"": 0.0}"	180.0	498		0
C1_rockstro_ternary_conditional	4	STAR_OWNER	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 12.0, ""R3"": 12.0, ""U"": 0.0}"	180.0	519	C07_C08_C12_OWNER:R2;C07_C08_C12_OWNER:R3;C13_EARLY:R2;C13_EARLY:R3	0
C1_rockstro_ternary_conditional	4	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""R3"": 36.0, ""U"": 0.0}"	180.0	498	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C2_hurry_pes_prose_countercase	4	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""R3"": 36.0, ""U"": 0.0}"	3348.0	9936		0
C2_hurry_pes_prose_countercase	4	STAR_OWNER	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 12.0, ""R3"": 12.0, ""U"": 0.0}"	3348.0	9957	C07_C08_C12_OWNER:R2;C07_C08_C12_OWNER:R3;C13_EARLY:R2;C13_EARLY:R3	0
C2_hurry_pes_prose_countercase	4	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""R3"": 36.0, ""U"": 0.0}"	3348.0	9937	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C3_ordinal_missing_stem_sensitivity	4	BASELINE	COHERENT	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""R3"": 36.0, ""U"": 0.0}"	180.0	498		0
C3_ordinal_missing_stem_sensitivity	4	STAR_OWNER	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 12.0, ""R3"": 12.0, ""U"": 0.0}"	180.0	519	C07_C08_C12_OWNER:R2;C07_C08_C12_OWNER:R3;C13_EARLY:R2;C13_EARLY:R3	0
C3_ordinal_missing_stem_sensitivity	4	RESET_PES	CONTRADICTED	"{""L"": 0.0, ""R0"": 0.0, ""R1"": 12.0, ""R2"": 24.0, ""R3"": 36.0, ""U"": 0.0}"	180.0	498	PERSISTENT_PART:L;PERSISTENT_PART:U	0
C0_local_current_conditional	2	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C1_rockstro_ternary_conditional	2	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C2_hurry_pes_prose_countercase	2	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C3_ordinal_missing_stem_sensitivity	2	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C0_local_current_conditional	3	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C1_rockstro_ternary_conditional	3	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C2_hurry_pes_prose_countercase	3	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C3_ordinal_missing_stem_sensitivity	3	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C0_local_current_conditional	4	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C1_rockstro_ternary_conditional	4	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C2_hurry_pes_prose_countercase	4	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
C3_ordinal_missing_stem_sensitivity	4	SINGLE_GLOBAL_CLOCK	CONTRADICTED_AT_STARTUP	all six orders in SERIAL_COUNTERMODEL.json	not executed	0	C06 initial simultaneity	0
