position	locus	group	raw_projection	clause	production	tag	hypothetical_meaning	origin	confirmed
1	f83r.31	1	techedy	C01	Permission	ROTA	the rota/performance being prescribed	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
2	f83r.31	2	qotchedy	C01	Permission	FOUR	four rota singers are a permitted realization; not an upper bound	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
3	f83r.31	3	okeedy	C01	Permission	COMPANIONS	distinct human performers of the rota part	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
4	f83r.31	4	ldy	C01	Permission	MAY_SING	permission to perform the named musical object	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
5	f83r.32	1	cheol	C02	UniversalRepeat	SAME_MELODY	the same defined main melody M	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
6	f83r.32	2	qokchedy	C02	UniversalRepeat	EACH	universal quantifier over the following role expression	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
7	f83r.32	3	lchedy	C02	UniversalRepeat	FOLLOWER	a following singer role; repetition alone introduces no fresh person	INHERITED_UNCONFIRMED_RAW373	False
8	f83r.32	4	qokey	C02	UniversalRepeat	REPEAT	repeat the defined musical part	INHERITED_UNCONFIRMED_RAW373	False
9	f83r.33	1	sy	C03	ConcurrentRepeat	TWO	two distinct performers	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
10	f83r.33	2	s	C03	ConcurrentRepeat	PES	the accompaniment role pair, with distinct assigned parts P1 and P2	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
11	f83r.33	3	aiin	C03	ConcurrentRepeat	TOGETHER	common onset for the subject set in the current clause; does not merge their clocks or part positions	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
12	f83r.33	4	sheekchy	C03	ConcurrentRepeat	AS_NEEDED	repeat while the common performance need continues; no source stopping time	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
13	f83r.33	5	qokey	C03	ConcurrentRepeat	REPEAT	repeat the defined musical part	INHERITED_UNCONFIRMED_RAW373	False
14	f83r.33	6	sain	C03	ConcurrentRepeat	THEIR_PART	each member keeps its own assigned part; not the same part for both	NEW_EXPLICIT_WHOLE_WORD_GUESS	False
