surface	event_count	pages	registers	source_event_ids	working_recipe	working_reading_de	coverage_class	consistency_status
aiin	1	f72r	CELESTIAL	P1008-E0355	AIIN	WERT	FULL_FUNCTION_FORMULA	INVARIANT
ainaly	1	f72r	CELESTIAL	P1008-E0286	AL+Y	[STERNSTELLENNAME:ain] · ZIELORT · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ainam	1	f72r	CELESTIAL	P1008-E0141	AIN+AM_ADDR	ANTEIL · HIER	FULL_FUNCTION_FORMULA	INVARIANT
airal	1	f72r	CELESTIAL	P1008-E0419	AIR+AL	BAHN · ZIELORT	FULL_FUNCTION_FORMULA	INVARIANT
al	1	f72r	CELESTIAL	P1008-E0357	AL	ZIELORT	FULL_FUNCTION_FORMULA	INVARIANT
alaly	1	f72r	CELESTIAL	P1008-E0360	AL+AL+Y	ZIELORT · ZIELORT · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
alcphy	1	f71v	CELESTIAL	P1003-E0600	AL+CH+P+Y	ZIELORT · NEHMEN · EINSETZEN · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
alif	1	f72r	CELESTIAL	P1008-E0135	AL	ZIELORT · [STERNSTELLENNAME:if]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
aly	1	f71v	CELESTIAL	P1003-E0605	AL+Y	ZIELORT · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
am	1	f71v	CELESTIAL	P1003-E0607	AM_ADDR	HIER	FULL_FUNCTION_FORMULA	INVARIANT
ar	3	f71v|f72r	CELESTIAL	P1003-E0604|P1003-E0610|P1008-E0130	AR	AUSGANG	FULL_FUNCTION_FORMULA	INVARIANT
aral	1	f72r	CELESTIAL	P1008-E0458	AR+AL	AUSGANG · ZIELORT	FULL_FUNCTION_FORMULA	INVARIANT
ararchodaiin	1	f89r	PHARMA	P1008-E1042	AR+AR+AIIN	AUSGANG · AUSGANG · [DROGENNAME:cho] · WERT	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
arody	1	f88v	PHARMA	P1003-E0417	AR	AUSGANG · [DROGENNAME:ody]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
arom	1	f71v	CELESTIAL	P1003-E0596	AR	AUSGANG · [STERNSTELLENNAME:om]	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
ary	3	f72r	CELESTIAL	P1008-E0131|P1008-E0175|P1008-E0242	AR+Y	AUSGANG · POSTEN	FULL_FUNCTION_FORMULA	INVARIANT
char	2	f71v|f72r	CELESTIAL	P1003-E0595|P1008-E0134	AR	AUSGANG	FULL_FUNCTION_FORMULA	INVARIANT
chdaiirdainy	1	f72r	CELESTIAL	P1008-E0128	AIN+Y	[STERNSTELLENNAME:chdaiird] · ANTEIL · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
cheocthy	1	f88v	PHARMA	P1003-E0414	CH+T+Y	[DROGENNAME:cheo] · NEHMEN · EINSTELLEN · POSTEN	HYBRID_FUNCTION_AND_LEARNED_NAME	INVARIANT
