component	old_default_de	revised_portable_value_de	herbal_expansion	biological_expansion	zodiac_expansion	pharma_expansion	decision	reason
AIIN	MASS	VORGESCHRIEBENES MASS	Mass des Pflanzenteils	Mass der Anwendung	Zahl- oder Masswert der Stelle	Mass der Zutat	KEEP_STRONG	Passt in allen vier Registern als Mengen- oder Sollwert ohne ein konkretes Material zu erzwingen.
AIN	PORTION	PORTION ODER EINHEIT	Pflanzenportion	Teilmenge	Einheit im Ring	Zutatenportion	KEEP_STRONG	Die Teilmengenlesung bleibt kurz und registerneutral.
AIR	LAUF	LAUF ODER BAHN	Verarbeitungsweg	Wasser- oder Rohrlauf	Ringlauf	Flussweg des Ansatzes	REVISE_BROADER	f75r macht den Lauf lokal nass; f70v macht ihn zum Kreisweg. AIR ist daher nicht WASSER.
AL	ZIELSTELLE	AUFNAHME- ODER ANSCHLUSSSTELLE	Arbeitsstelle	Becken- oder Anschlussstelle	Figurenstelle	Empfangs- oder Gefaessstelle	REVISE	f75r stuetzt eine empfangende Adresse, nicht notwendig ein finales Ziel.
AR	QUELLE	AUSGANGS- ODER ENTNAHMESTELLE	Entnahmeseite	Ausgangsstation	Bezugsstelle	Vorrats- oder Entnahmestelle	REVISE	f75r zeigt die Gegenseite einer AL-Adresse; der Inhalt muss keine Quelle oder kein Quellwasser sein.
CH	ENTNEHMEN	AUSWAEHLEN ODER ABNEHMEN	Pflanzenteil entnehmen	Posten abnehmen	Kennung ablesen	Zutat entnehmen	ABSTRACT_PORTABLE	Die konkrete Entnahme funktioniert in Prosa, nicht wo dieselbe Form eine Tierkreiskennung baut.
CHD	UMSETZEN	POSTENWECHSEL ODER UMSETZEN	Material umsetzen	Stationsposten wechseln	Bezugsstelle wechseln	Ansatz umsetzen	KEEP_BROADER	f75r zeigt viele CHD-Wechsel, aber nur zusammen mit Weg oder Adresse einen wirklichen Transfer.
CHK	WAERMEN	ZUSTANDSBEHANDLUNG	lokal waermen	lokal temperieren	Kennungszustand setzen	lokal waermen	DEMOTE_LITERAL	Auf den neuen Bildern ist keine allgemeine Waermehandlung sichtbar.
CKH	DURCHLASS	DURCHLASS ODER VERBINDUNGSWEG	Seihweg	Beckenverbindung	Ringdurchgang	Gefaessdurchgang	KEEP_STRONG	Die Pfadfunktion passt auf f75r und bleibt auch ausserhalb einer bestimmten Fluessigkeit brauchbar.
CTH	BEREIT	BEREIT- ODER STATUSMARKER	Zubereitungsstatus	Stationsstatus	Stellenstatus	Ansatzstatus	KEEP_BROADER	BEREIT bleibt eine gute Prosaexpansion; portable ist nur der Status.
