locus	kind	tokens	exact_old_surface_tokens	visible_owner	portable_skeleton_de	creative_default_de	transfer_status	pressure_point
f88r.1	LABEL	1	0	oberes Zutatenfeld; linke feine Faserwurzel	LOKALER NAME	FEINE FASERWURZEL A	LOCAL_NOMENCLATOR_REQUIRED	Ein Bildname darf nicht als Operationssatz erzwungen werden.
f88r.2	LABEL	1	0	oberes Zutatenfeld; dunkle Pfahlwurzel	LOKALER NAME	DUNKLE PFAHLWURZEL B	LOCAL_NOMENCLATOR_REQUIRED	Keine alte exakte Karte traegt den Namen.
f88r.3	LABEL	1	0	oberes Zutatenfeld; gebuendelte helle Wurzel	LOKALER NAME	GEBUENDELTE WURZEL C	LOCAL_NOMENCLATOR_REQUIRED	Die sichtbaren OR/AL-Teile koennen Klassifikatoren statt Arbeitswoerter sein.
f88r.4	LABEL	1	0	oberes Zutatenfeld; braune Doppelknolle	LOKALER NAME	DOPPELKNOLLE D	LOCAL_NOMENCLATOR_REQUIRED	OL/AR darf im Etikett nicht automatisch FORTSETZEN/QUELLE heissen.
f88r.5	LABEL	1	0	oberes Zutatenfeld; helle Knotenwurzel	LOKALER NAME	KNOTENWURZEL E	LOCAL_NOMENCLATOR_REQUIRED	OT/OK/Y sieht kompositionell aus, fungiert hier aber zuerst als Etikett.
f88r.6	LABEL	1	0	oberes Zutatenfeld; rechtes Blatt-/Wurzelstueck	LOKALER NAME	BLATTWURZEL F	LOCAL_NOMENCLATOR_REQUIRED	Bildreferent gewinnt vor Operationsglosse.
f88r.7	PROSE	8	2	oberes Gefaess und Zutatenreihe	BEREIT/FORTSETZEN · DURCHLASS · KURZ · ZIELSTELLE	Die oberen Wurzeln vorbereiten, den kurzen Durchlass fuehren und am Ziel weiterarbeiten.	ROOT_GRAMMAR_TRANSFERS	Zwei Karten sind exakt alt; die uebrigen bewahren gut sichtbare CTH/OL/CKH/E/AL-Kerne.
f88r.8	PROSE	12	5	oberes Gefaess; erster Arbeitsabschnitt	KUEHL · ZIELSTELLE · ENTNEHMEN · QUELLE · ANSATZ · MASS · POSTEN	Am kuehlen Ziel halten, aus der Quelle entnehmen, den Ansatz ansetzen und nach Mass am laufenden Posten arbeiten.	ROOT_GRAMMAR_TRANSFERS	Bare S steht wiederholt zwischen Mengen und Handlungen und ist eher UND/DANN als PROBE oder Phasenzeichen.
f88r.9	PROSE	11	3	oberes Gefaess; zweiter Arbeitsabschnitt	ARBEITSGANG · PORTION · ANSATZ · DANACH · KURZ · LANG · SCHLIESSEN	Eine Portion des Ansatzes bearbeiten; danach kurz ansetzen, laenger halten und den Schritt schliessen; aus der Quelle wiederholen.	ROOT_GRAMMAR_TRANSFERS	CHEODY ist hier durch seine Schlusskoordinate AUSZUG+SCHLUSS, nicht die offene CHEO+Y-Lesung der alten Astrokarte.
f88r.10	PROSE	9	1	oberes Gefaess; Fortsetzung	ANSETZEN · FORTSETZEN · MASS · LANG · ANSATZ	Den Ansatz fortsetzen, die vorgeschriebene Menge laenger halten und den Auszug weiterbearbeiten.	COMPOSITIONAL_TRANSFER_WITH_RESIDUAL	CHEOJAM behaelt einen lokalen Rest; der Satzrahmen bleibt lesbar.
