actionless_ordinal	gap_ordinal	event_id	statement_id	card_ordinal_in_statement	statement_event_count	physical_page	register	surface	final_recipe	action_gap	argument_gap	overlap_gap	statement_initial	statement_final	predecessor_event_id	successor_event_id	explicit_action_roots	inherited_action_root	resolved_action_roots	explicit_argument_roots	inherited_argument_root	resolved_argument_roots	action_consumer_count	immediate_action_consumer_count	argument_consumer_count	immediate_argument_consumer_count	action_consumer_event_ids	argument_consumer_event_ids	actionless_role	argumentless_role	primary_gap_role	primary_gap_role_de	portable_semantic_macro	current_clause_de	immediate_paired_reading_de	retention
1	3	G515-E0048	G515-S005	1	17	f4r	HERBAL	daiin	AIIN	YES	NO	NO	YES	NO	NONE	G515-E0049	NONE	NONE	NONE	AIIN	NONE	AIIN	0	0	0	0	NONE	NONE	NOMINAL_CONTROL_PROLOGUE	NOT_ARGUMENTLESS	NOMINAL_CONTROL_PROLOGUE	verbfreier nominaler oder steuernder Vorspann	A:-;X:AIIN;C:-	Bezug: den Arbeitswert.	Bezug: den Arbeitswert.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
2	10	G515-E0190	G515-S012	1	1	f31r	HERBAL	qotedy	OT+E+DY	YES	YES	YES	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	CLOSURE_BOUNDARY	NO_ACTION__CLOSURE_BOUNDARY	CLOSURE_BOUNDARY	objektlose Abschluss- oder Grenzkarte	A:-;X:-;C:THEN>GRADE:I>CLOSE	Danach: auf Grad I; schließe den Schritt.	Danach: auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
3	24	G515-E0221	G515-S022	1	14	f31r	HERBAL	dar	D_ADDR+AR	YES	YES	YES	YES	NO	NONE	G515-E0222	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	PRE_ACTION_SCOPE_PROLOGUE	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	A:-;X:-;C:ADDR:D>REL:AR	Vom Ausgangsmaterial; an der bezeichneten Stelle.	Vom Ausgangsmaterial; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
4	25	G515-E0240	G515-S024	1	1	f31r	HERBAL	otedy	OT+E+DY	YES	YES	YES	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	CLOSURE_BOUNDARY	NO_ACTION__CLOSURE_BOUNDARY	CLOSURE_BOUNDARY	objektlose Abschluss- oder Grenzkarte	A:-;X:-;C:THEN>GRADE:I>CLOSE	Danach: auf Grad I; schließe den Schritt.	Danach: auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
5	35	G515-E0335	G515-S038	1	11	f66r	SOURCE_SECTION_T	dar	D_ADDR+AR	YES	YES	YES	YES	NO	NONE	G515-E0336	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	PRE_ACTION_SCOPE_PROLOGUE	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	A:-;X:-;C:ADDR:D>REL:AR	Von der Ausgangszeile; an der bezeichneten Stelle.	Von der Ausgangszeile; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
6	36	G515-E0336	G515-S038	2	11	f66r	SOURCE_SECTION_T	qotey	OT+E+Y	YES	NO	NO	NO	NO	G515-E0335	G515-E0337	NONE	NONE	NONE	Y	NONE	Y	0	0	2	1	NONE	G515-E0337|G515-E0338	ARGUMENT_INITIALIZER	NOT_ARGUMENTLESS	ARGUMENT_INITIALIZER	setzt ein Argument für eine spätere Karte	A:-;X:Y;C:THEN>GRADE:I	Danach: Bezug: den laufenden Eintrag; auf Grad I.	Danach: Bezug: den laufenden Eintrag; auf Grad I. → Ordne den laufenden Eintrag [wie zuvor] zu; führe fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
7	41	G515-E0406	G515-S046	1	8	f66r	SOURCE_SECTION_T	ol	OL	YES	YES	YES	YES	NO	NONE	G515-E0407	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	CONTINUATION_PROLOGUE	NO_ACTION__CONTINUATION_PROLOGUE	CONTINUATION_PROLOGUE	setzt eine Fortsetzungsangabe vor der ersten Handlung	A:-;X:-;C:CONTINUE	Führe fort.	Führe fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
8	45	G515-E0446	G515-S051	1	2	f66r	SOURCE_SECTION_T	dal	AL	YES	YES	YES	YES	NO	NONE	G515-E0447	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	PRE_ACTION_SCOPE_PROLOGUE	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	A:-;X:-;C:REL:AL	Zur Zielspalte.	Zur Zielspalte.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
9	49	G515-E0459	G515-S056	1	22	f66r	SOURCE_SECTION_T	dair	D_ADDR+AIR	YES	YES	YES	YES	NO	NONE	G515-E0460	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	PRE_ACTION_SCOPE_PROLOGUE	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	A:-;X:-;C:ADDR:D>REL:AIR	Entlang der Lesebahn; an der bezeichneten Stelle.	Entlang der Lesebahn; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
10	52	G515-E0491	G515-S059	1	6	f66r	SOURCE_SECTION_T	daly	AL+Y	YES	NO	NO	YES	NO	NONE	G515-E0492	NONE	NONE	NONE	Y	NONE	Y	0	0	3	1	NONE	G515-E0492|G515-E0493|G515-E0494	ARGUMENT_INITIALIZER	NOT_ARGUMENTLESS	ARGUMENT_INITIALIZER	setzt ein Argument für eine spätere Karte	A:-;X:Y;C:REL:AL	Bezug: den laufenden Eintrag; zur Zielspalte.	Bezug: den laufenden Eintrag; zur Zielspalte. → Wähle den laufenden Eintrag [wie zuvor] und kennzeichne den laufenden Eintrag [wie zuvor]; auf der bezeichneten Stufe.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
