profile_ordinal	surface	final_recipes	gap_event_count	action_gap_event_count	argument_gap_event_count	primary_role_count	primary_roles	exact_initializer_event_count	physical_pages	event_ids	status	guard
1	aiin	AIIN	1	1	0	1	ARGUMENT_INITIALIZER	1	f66r	G515-E0563	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
2	ar	AR	1	0	1	1	CARRIED_ACTION_OBJECTLESS_CONTROL	0	f20v	G515-E0066	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
3	chady	CH+A_ADDR+DY	1	0	1	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f66r	G515-E0319	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
4	chap	CH+A_ADDR+P	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f66r	G515-E0303	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
5	cheda	CHD+A_ADDR	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f31r	G515-E0192	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
6	cheod	CH+E+O+D_ADDR	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f31r	G515-E0207	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
7	cheol	CH+E+O+L	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f31r	G515-E0206	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
8	chepos	CH+E+P+O+S	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f31r	G515-E0191	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
9	cheta	CH+E+T+A_ADDR	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f66r	G515-E0380	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
10	cphedy	CH+P+E+DY	1	0	1	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f66r	G515-E0578	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
11	daiin	AIIN	2	2	0	1	NOMINAL_CONTROL_PROLOGUE	0	f4r|f66r	G515-E0048|G515-E0579	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
12	dair	D_ADDR+AIR	1	1	1	1	PRE_ACTION_SCOPE_PROLOGUE	0	f66r	G515-E0459	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
13	dal	AL	2	2	2	1	PRE_ACTION_SCOPE_PROLOGUE	0	f66r	G515-E0446|G515-E0497	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
14	dals	AL+S	1	0	1	1	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	0	f31r	G515-E0242	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
15	daly	AL+Y	1	1	0	1	ARGUMENT_INITIALIZER	1	f66r	G515-E0491	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
16	dar	D_ADDR+AR	2	2	2	1	PRE_ACTION_SCOPE_PROLOGUE	0	f31r|f66r	G515-E0221|G515-E0335	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
17	dor	D_ADDR+OR	1	1	0	1	PRE_ACTION_SCOPE_PROLOGUE	0	f66r	G515-E0562	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
18	faiis	LOCAL_CHAR_F+IIN+S	1	0	1	1	ACTION_INITIALIZER	1	f20v	G515-E0065	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
19	folchol	LOCAL_CHAR_F+OL+OL	1	0	1	1	CARRIED_ACTION_OBJECTLESS_CONTROL	0	f20v	G515-E0100	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
20	kody	K+O+DY	1	0	1	1	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	0	f66r	G515-E0576	ONE_OBSERVED_GAP_ROLE	SURFACE_ROLE_PROFILE_IS_CONTEXTUAL__NOT_NEW_LEXICAL_MEANING
