argumentless_ordinal	gap_ordinal	event_id	statement_id	card_ordinal_in_statement	statement_event_count	physical_page	register	surface	final_recipe	action_gap	argument_gap	overlap_gap	statement_initial	statement_final	predecessor_event_id	successor_event_id	explicit_action_roots	inherited_action_root	resolved_action_roots	explicit_argument_roots	inherited_argument_root	resolved_argument_roots	action_consumer_count	immediate_action_consumer_count	argument_consumer_count	immediate_argument_consumer_count	action_consumer_event_ids	argument_consumer_event_ids	actionless_role	argumentless_role	primary_gap_role	primary_gap_role_de	portable_semantic_macro	current_clause_de	immediate_paired_reading_de	retention
1	1	G515-E0003	G515-S002	1	29	f4r	HERBAL	sheol	SH+E+OL	NO	YES	NO	YES	NO	NONE	G515-E0004	SH	NONE	SH	NONE	NONE	NONE	1	1	0	0	G515-E0004	NONE	NOT_ACTIONLESS	ACTION_INITIALIZER	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	A:SH;X:-;C:GRADE:I>CONTINUE	Halte; auf Grad I; führe fort.	Halte; auf Grad I; führe fort. → Im laufenden Satz halte; führe fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
2	2	G515-E0004	G515-S002	2	29	f4r	HERBAL	ol	OL	NO	YES	NO	NO	NO	G515-E0003	G515-E0005	NONE	SH	SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	CARRIED_ACTION_OBJECTLESS_CONTROL	CARRIED_ACTION_OBJECTLESS_CONTROL	führt eine geerbte Handlung objektlos durch eine Steuerkarte	A:^SH;X:-;C:CONTINUE	Im laufenden Satz halte; führe fort.	Im laufenden Satz halte; führe fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
3	4	G515-E0065	G515-S006	1	9	f20v	HERBAL	faiis	LOCAL_CHAR_F+IIN+S	NO	YES	NO	YES	NO	NONE	G515-E0066	S	NONE	S	NONE	NONE	NONE	1	1	0	0	G515-E0066	NONE	NOT_ACTIONLESS	ACTION_INITIALIZER	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	A:S;X:-;C:LOCAL:F>STAGE	Wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle.	Wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle. → Im laufenden Satz wähle; vom Ausgangsmaterial.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
4	5	G515-E0066	G515-S006	2	9	f20v	HERBAL	ar	AR	NO	YES	NO	NO	NO	G515-E0065	G515-E0067	NONE	S	S	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	CARRIED_ACTION_OBJECTLESS_CONTROL	CARRIED_ACTION_OBJECTLESS_CONTROL	führt eine geerbte Handlung objektlos durch eine Steuerkarte	A:^S;X:-;C:REL:AR	Im laufenden Satz wähle; vom Ausgangsmaterial.	Im laufenden Satz wähle; vom Ausgangsmaterial.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
5	6	G515-E0099	G515-S008	1	52	f20v	HERBAL	tshol	T+SH+OL	NO	YES	NO	YES	NO	NONE	G515-E0100	T|SH	NONE	T|SH	NONE	NONE	NONE	2	1	0	0	G515-E0100|G515-E0101	NONE	NOT_ACTIONLESS	ACTION_INITIALIZER	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	A:T+SH;X:-;C:CONTINUE	Stelle ein und halte; führe fort.	Stelle ein und halte; führe fort. → Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
6	7	G515-E0100	G515-S008	2	52	f20v	HERBAL	folchol	LOCAL_CHAR_F+OL+OL	NO	YES	NO	NO	NO	G515-E0099	G515-E0101	NONE	SH	SH	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	CARRIED_ACTION_OBJECTLESS_CONTROL	CARRIED_ACTION_OBJECTLESS_CONTROL	führt eine geerbte Handlung objektlos durch eine Steuerkarte	A:^SH;X:-;C:LOCAL:F>CONTINUE>CONTINUE	Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
7	8	G515-E0161	G515-S010	1	27	f31r	HERBAL	qokees	OK+EE+S	NO	YES	NO	YES	NO	NONE	G515-E0162	OK|S	NONE	OK|S	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:OK+S;X:-;C:GRADE:II	Setze im Arbeitsgang an und wähle; auf Grad II.	Setze im Arbeitsgang an und wähle; auf Grad II.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
8	9	G515-E0162	G515-S010	2	27	f31r	HERBAL	s	S	NO	YES	NO	NO	NO	G515-E0161	G515-E0163	S	NONE	S	NONE	NONE	NONE	1	1	0	0	G515-E0163	NONE	NOT_ACTIONLESS	ACTION_INITIALIZER	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	A:S;X:-;C:-	Wähle.	Wähle. → Im laufenden Satz wähle den Arbeitswert.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
9	10	G515-E0190	G515-S012	1	1	f31r	HERBAL	qotedy	OT+E+DY	YES	YES	YES	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	0	0	0	0	NONE	NONE	CLOSURE_BOUNDARY	NO_ACTION__CLOSURE_BOUNDARY	CLOSURE_BOUNDARY	objektlose Abschluss- oder Grenzkarte	A:-;X:-;C:THEN>GRADE:I>CLOSE	Danach: auf Grad I; schließe den Schritt.	Danach: auf Grad I; schließe den Schritt.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
10	11	G515-E0191	G515-S013	1	10	f31r	HERBAL	chepos	CH+E+P+O+S	NO	YES	NO	YES	NO	NONE	G515-E0192	CH|P|S	NONE	CH|P|S	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:CH+P+S;X:-;C:GRADE:I>EXEC	Nimm, setze ein und wähle; auf Grad I und zur Ausführung.	Nimm, setze ein und wähle; auf Grad I und zur Ausführung.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
11	12	G515-E0192	G515-S013	2	10	f31r	HERBAL	cheda	CHD+A_ADDR	NO	YES	NO	NO	NO	G515-E0191	G515-E0193	CHD	NONE	CHD	NONE	NONE	NONE	0	0	0	0	NONE	NONE	NOT_ACTIONLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	A:CHD;X:-;C:ADDR:A	Bearbeite; an der bezeichneten Stelle.	Bearbeite; an der bezeichneten Stelle.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
12	13	G515-E0193	G515-S013	3	10	f31r	HERBAL	s	S	NO	YES	NO	NO	NO	G515-E0192	G515-E0194	S	NONE	S	NONE	NONE	NONE	2	1	0	0	G515-E0194|G515-E0195	NONE	NOT_ACTIONLESS	ACTION_INITIALIZER	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	A:S;X:-;C:-	Wähle.	Wähle. → Im laufenden Satz wähle den Arbeitswert.	EXACT_GDT554_RECIPE_MACRO_AND_CLAUSE_RETAINED
