summary_ordinal	gap_dimension	role	role_de	event_count	physical_page_count	register_count	event_ids
1	UNIQUE_GAP	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	19	2	2	G515-E0204|G515-E0205|G515-E0217|G515-E0218|G515-E0219|G515-E0220|G515-E0302|G515-E0314|G515-E0316|G515-E0319|G515-E0436|G515-E0447|G515-E0457|G515-E0458|G515-E0524|G515-E0566|G515-E0576|G515-E0577|G515-E0578
2	UNIQUE_GAP	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	17	2	2	G515-E0161|G515-E0191|G515-E0192|G515-E0206|G515-E0207|G515-E0215|G515-E0216|G515-E0242|G515-E0303|G515-E0315|G515-E0317|G515-E0380|G515-E0381|G515-E0382|G515-E0414|G515-E0435|G515-E0498
3	UNIQUE_GAP	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	8	4	2	G515-E0003|G515-E0065|G515-E0099|G515-E0162|G515-E0193|G515-E0243|G515-E0383|G515-E0460
4	UNIQUE_GAP	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	7	2	2	G515-E0221|G515-E0335|G515-E0446|G515-E0459|G515-E0497|G515-E0547|G515-E0562
5	UNIQUE_GAP	CARRIED_ACTION_OBJECTLESS_CONTROL	führt eine geerbte Handlung objektlos durch eine Steuerkarte	4	3	2	G515-E0004|G515-E0066|G515-E0100|G515-E0461
6	UNIQUE_GAP	ARGUMENT_INITIALIZER	setzt ein Argument für eine spätere Karte	3	1	1	G515-E0336|G515-E0491|G515-E0563
7	UNIQUE_GAP	CLOSURE_BOUNDARY	objektlose Abschluss- oder Grenzkarte	3	2	2	G515-E0190|G515-E0240|G515-E0503
8	UNIQUE_GAP	NOMINAL_CONTROL_PROLOGUE	verbfreier nominaler oder steuernder Vorspann	2	2	2	G515-E0048|G515-E0579
9	UNIQUE_GAP	CONTINUATION_PROLOGUE	setzt eine Fortsetzungsangabe vor der ersten Handlung	1	1	1	G515-E0406
10	ACTIONLESS	PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	7	2	2	G515-E0221|G515-E0335|G515-E0446|G515-E0459|G515-E0497|G515-E0547|G515-E0562
11	ACTIONLESS	ARGUMENT_INITIALIZER	setzt ein Argument für eine spätere Karte	3	1	1	G515-E0336|G515-E0491|G515-E0563
12	ACTIONLESS	CLOSURE_BOUNDARY	objektlose Abschluss- oder Grenzkarte	3	2	2	G515-E0190|G515-E0240|G515-E0503
13	ACTIONLESS	NOMINAL_CONTROL_PROLOGUE	verbfreier nominaler oder steuernder Vorspann	2	2	2	G515-E0048|G515-E0579
14	ACTIONLESS	CONTINUATION_PROLOGUE	setzt eine Fortsetzungsangabe vor der ersten Handlung	1	1	1	G515-E0406
15	ARGUMENTLESS	OBJECTLESS_CLOSURE_OR_STATEMENT_BOUNDARY	objektlose Handlung mit Abschluss- oder Satzgrenze	19	2	2	G515-E0204|G515-E0205|G515-E0217|G515-E0218|G515-E0219|G515-E0220|G515-E0302|G515-E0314|G515-E0316|G515-E0319|G515-E0436|G515-E0447|G515-E0457|G515-E0458|G515-E0524|G515-E0566|G515-E0576|G515-E0577|G515-E0578
16	ARGUMENTLESS	OBJECTLESS_ACTION_BEFORE_EXPLICIT_RESET	objektlose Handlung vor einer neuen sichtbaren Handlung	17	2	2	G515-E0161|G515-E0191|G515-E0192|G515-E0206|G515-E0207|G515-E0215|G515-E0216|G515-E0242|G515-E0303|G515-E0315|G515-E0317|G515-E0380|G515-E0381|G515-E0382|G515-E0414|G515-E0435|G515-E0498
17	ARGUMENTLESS	ACTION_INITIALIZER	setzt eine Handlung für eine spätere Karte	8	4	2	G515-E0003|G515-E0065|G515-E0099|G515-E0162|G515-E0193|G515-E0243|G515-E0383|G515-E0460
18	ARGUMENTLESS	NO_ACTION__PRE_ACTION_SCOPE_PROLOGUE	setzt Relation oder Adresse vor der ersten Handlung	5	2	2	G515-E0221|G515-E0335|G515-E0446|G515-E0459|G515-E0497
19	ARGUMENTLESS	CARRIED_ACTION_OBJECTLESS_CONTROL	führt eine geerbte Handlung objektlos durch eine Steuerkarte	4	3	2	G515-E0004|G515-E0066|G515-E0100|G515-E0461
20	ARGUMENTLESS	NO_ACTION__CLOSURE_BOUNDARY	objektlose Abschluss- oder Grenzkarte	3	2	2	G515-E0190|G515-E0240|G515-E0503
21	ARGUMENTLESS	NO_ACTION__CONTINUATION_PROLOGUE	setzt eine Fortsetzungsangabe vor der ersten Handlung	1	1	1	G515-E0406
