link_ordinal	state_dimension	source_event_id	source_statement_id	source_card_ordinal	source_surface	source_roots	source_clause_de	consumer_event_id	consumer_card_ordinal	consumer_surface	consumer_clause_de	card_distance	immediate_successor	paired_reading_de	source_pointer_exact	same_statement	guard
1	ACTION_STATE	G515-E0003	G515-S002	1	sheol	SH	Halte; auf Grad I; führe fort.	G515-E0004	2	ol	Im laufenden Satz halte; führe fort.	1	YES	Halte; auf Grad I; führe fort. → Im laufenden Satz halte; führe fort.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
2	ACTION_STATE	G515-E0065	G515-S006	1	faiis	S	Wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle.	G515-E0066	2	ar	Im laufenden Satz wähle; vom Ausgangsmaterial.	1	YES	Wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle. → Im laufenden Satz wähle; vom Ausgangsmaterial.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
3	ACTION_STATE	G515-E0099	G515-S008	1	tshol	T|SH	Stelle ein und halte; führe fort.	G515-E0100	2	folchol	Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	1	YES	Stelle ein und halte; führe fort. → Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
4	ACTION_STATE	G515-E0099	G515-S008	1	tshol	T|SH	Stelle ein und halte; führe fort.	G515-E0101	3	otor	Danach: im laufenden Satz halte die Arbeitseinheit.	2	NO	Stelle ein und halte; führe fort. → Danach: im laufenden Satz halte die Arbeitseinheit.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
5	ACTION_STATE	G515-E0162	G515-S010	2	s	S	Wähle.	G515-E0163	3	aiin	Im laufenden Satz wähle den Arbeitswert.	1	YES	Wähle. → Im laufenden Satz wähle den Arbeitswert.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
6	ACTION_STATE	G515-E0193	G515-S013	3	s	S	Wähle.	G515-E0194	4	aiin	Im laufenden Satz wähle den Arbeitswert.	1	YES	Wähle. → Im laufenden Satz wähle den Arbeitswert.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
7	ACTION_STATE	G515-E0193	G515-S013	3	s	S	Wähle.	G515-E0195	5	dal	Im laufenden Satz wähle den Arbeitswert [wie zuvor]; zur Zielstelle.	2	NO	Wähle. → Im laufenden Satz wähle den Arbeitswert [wie zuvor]; zur Zielstelle.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
8	ACTION_STATE	G515-E0243	G515-S026	2	saiis	S|S	Wähle und wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle.	G515-E0244	3	or	Im laufenden Satz wähle die Arbeitseinheit.	1	YES	Wähle und wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle. → Im laufenden Satz wähle die Arbeitseinheit.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
9	ARGUMENT_STATE	G515-E0336	G515-S038	2	qotey	Y	Danach: Bezug: den laufenden Eintrag; auf Grad I.	G515-E0337	3	kol	Ordne den laufenden Eintrag [wie zuvor] zu; führe fort.	1	YES	Danach: Bezug: den laufenden Eintrag; auf Grad I. → Ordne den laufenden Eintrag [wie zuvor] zu; führe fort.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
10	ARGUMENT_STATE	G515-E0336	G515-S038	2	qotey	Y	Danach: Bezug: den laufenden Eintrag; auf Grad I.	G515-E0338	4	ar	Im laufenden Satz ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	2	NO	Danach: Bezug: den laufenden Eintrag; auf Grad I. → Im laufenden Satz ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	YES	YES	EXISTING_CLAUSES_JOINED__NO_NEW_WORD_OR_MEANING
