statement_id	record_unit_id	page	loci	field_ids	event_ids	event_count	surface_sequence	owner_slot	owner_mode	link_select_slot	source_item_slot	quantity_slot	operation_slot	medium_flow_slot	target_slot	state_grade_slot	close_slot	event_slot_sequence	cell_count	work_cell_packets	inheritance_and_omission_note	line_continuity	concrete_german_reading
H1-S001	H1	f10r	f10r.2	F001	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	10	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	abgebildete Pflanze auf f10r	PAGE_OWNER_INHERITED	NEUE ZELLE: kein ausdrücklicher Rückverweis	char=aus demselben Vorrat | dchey=Wurzelteil | oky=den laufenden Posten anwenden oder in Arbeit nehmen | etyd=Wurzelteil | otytchol=ersten Auszug auffangen	daiin=vorgeschriebenes Maß	cthoor=säubern | chty=zerkleinern | os=Gefäß | oky=den laufenden Posten anwenden oder in Arbeit nehmen	chair=Flüssigkeitszulauf	GEERBT: lokale Arbeitsstelle	AUSGELASSEN: örtlicher Zustand	OFFEN: nächste Arbeitszelle darf fortführen	E001{OWNER_ITEM} > E002{OPERATION} > E003{SOURCE} > E004{OPERATION} > E005{OPERATION} > E006{FLOW_TRANSFER} > E007{PREPARATION} > E008{OWNER_ITEM+OPERATION} > E009{QUANTITY} > E010{OWNER_ITEM}	1	Z1[E001:dchey{OWNER_ITEM} > E002:cthoor{OPERATION} > E003:char{SOURCE} > E004:chty{OPERATION} > E005:os{OPERATION} > E006:chair{FLOW_TRANSFER} > E007:otytchol{PREPARATION} > E008:oky{OWNER_ITEM+OPERATION} > E009:daiin{QUANTITY} > E010:etyd{OWNER_ITEM}]	TARGET=GEERBT: lokale Arbeitsstelle; STATE_GRADE=AUSGELASSEN: örtlicher Zustand; CLOSE=OFFEN: nächste Arbeitszelle darf fortführen	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f10r“: Wurzelteil; säubern; aus demselben Vorrat; zerkleinern; Gefäß; Flüssigkeitszulauf; ersten Auszug auffangen; den laufenden Posten anwenden oder in Arbeit nehmen; vorgeschriebenes Maß; Wurzelteil.
H1-S002	H1	f10r	f10r.5	F002	E011|E012|E013|E014	4	qokchy · qotchol · chol · cthy	abgebildete Pflanze auf f10r	PAGE_OWNER_INHERITED	chol=mit Vorigem weiter	qokchy=den laufenden Posten anwenden oder in Arbeit nehmen	GEERBT: kein neues Maß	qokchy=den laufenden Posten anwenden oder in Arbeit nehmen | qotchol=gelind erwärmen | chol=mit Vorigem weiter	AUSGELASSEN: kein eigener Lauf	GEERBT: lokale Arbeitsstelle	cthy=bereit	OFFEN: nächste Arbeitszelle darf fortführen	E011{OWNER_ITEM+OPERATION} > E012{OPERATION} > E013{OPERATION} > E014{STATE_GRADE}	1	Z1[E011:qokchy{OWNER_ITEM+OPERATION} > E012:qotchol{OPERATION} > E013:chol{OPERATION} > E014:cthy{STATE_GRADE}]	QUANTITY=GEERBT: kein neues Maß; MEDIUM_FLOW=AUSGELASSEN: kein eigener Lauf; TARGET=GEERBT: lokale Arbeitsstelle; CLOSE=OFFEN: nächste Arbeitszelle darf fortführen	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f10r“: Den laufenden Posten anwenden oder in Arbeit nehmen; gelind erwärmen; mit Vorigem weiter; bereit.
H2-S001	H2	f10r	f10r.6	F003	E015|E016|E017|E018|E019|E020|E021|E022|E023	9	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	abgebildete Pflanze auf f10r	PAGE_OWNER_INHERITED	NEUE ZELLE: kein ausdrücklicher Rückverweis	ycheor=Pflanzenspitzen | dy=der laufende Posten; dies oder es | chy=der laufende Posten; dies oder es | shy=der laufende Posten; dies oder es | chor=Zubereitung	taiin=vorgeschriebenes Maß	cthaiin=Kraut zerstoßen | qoctholy=durch Tuch	AUSGELASSEN: kein eigener Lauf	GEERBT: lokale Arbeitsstelle	cthy=bereit	OFFEN: nächste Arbeitszelle darf fortführen	E015{OWNER_ITEM} > E016{STATE_GRADE} > E017{PREPARATION} > E018{OPERATION} > E019{OPERATION} > E020{OWNER_ITEM} > E021{OWNER_ITEM} > E022{QUANTITY} > E023{OWNER_ITEM}	1	Z1[E015:ycheor{OWNER_ITEM} > E016:cthy{STATE_GRADE} > E017:chor{PREPARATION} > E018:cthaiin{OPERATION} > E019:qoctholy{OPERATION} > E020:dy{OWNER_ITEM} > E021:chy{OWNER_ITEM} > E022:taiin{QUANTITY} > E023:shy{OWNER_ITEM}]	MEDIUM_FLOW=AUSGELASSEN: kein eigener Lauf; TARGET=GEERBT: lokale Arbeitsstelle; CLOSE=OFFEN: nächste Arbeitszelle darf fortführen	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f10r“: Pflanzenspitzen; bereit; Zubereitung; Kraut zerstoßen; durch Tuch; der laufende Posten; dies oder es; der laufende Posten; dies oder es; vorgeschriebenes Maß; der laufende Posten; dies oder es.
H2-S002	H2	f10r	f10r.8	F004	E024|E025|E026|E027|E028|E029|E030|E031	8	qotchor · chor · otol · chol · cholor · chol · daiin · dar	abgebildete Pflanze auf f10r	PAGE_OWNER_INHERITED	qotchor=die nächste Zubereitung | otol=danach weiter | chol=mit Vorigem weiter | cholor=mit der vorigen Zubereitung | chol=mit Vorigem weiter	dar=aus demselben Vorrat | qotchor=die nächste Zubereitung | chor=Zubereitung | cholor=mit der vorigen Zubereitung	daiin=vorgeschriebenes Maß	otol=danach weiter | chol=mit Vorigem weiter | chol=mit Vorigem weiter	AUSGELASSEN: kein eigener Lauf	GEERBT: lokale Arbeitsstelle	AUSGELASSEN: örtlicher Zustand	OFFEN: nächste Arbeitszelle darf fortführen	E024{PREPARATION} > E025{PREPARATION} > E026{OPERATION} > E027{OPERATION} > E028{PREPARATION} > E029{OPERATION} > E030{QUANTITY} > E031{SOURCE}	1	Z1[E024:qotchor{PREPARATION} > E025:chor{PREPARATION} > E026:otol{OPERATION} > E027:chol{OPERATION} > E028:cholor{PREPARATION} > E029:chol{OPERATION} > E030:daiin{QUANTITY} > E031:dar{SOURCE}]	MEDIUM_FLOW=AUSGELASSEN: kein eigener Lauf; TARGET=GEERBT: lokale Arbeitsstelle; STATE_GRADE=AUSGELASSEN: örtlicher Zustand; CLOSE=OFFEN: nächste Arbeitszelle darf fortführen	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f10r“: Die nächste Zubereitung; Zubereitung; danach weiter; mit Vorigem weiter; mit der vorigen Zubereitung; mit Vorigem weiter; vorgeschriebenes Maß; aus demselben Vorrat.
H2-S003	H2	f10r	f10r.9	F005	E032|E033|E034|E035|E036|E037|E038	7	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	abgebildete Pflanze auf f10r	PAGE_OWNER_INHERITED	NEUE ZELLE: kein ausdrücklicher Rückverweis	chy=der laufende Posten; dies oder es | dy=der laufende Posten; dies oder es | shor=Zubereitung | chor=Zubereitung	kaiiin=weiche Konsistenz	oykchor=glasiertes Gefäß | chodaiin=Geschwür	AUSGELASSEN: kein eigener Lauf	GEERBT: lokale Arbeitsstelle	kaiiin=weiche Konsistenz	OFFEN: nächste Arbeitszelle darf fortführen	E032{OPERATION} > E033{PREPARATION} > E034{PREPARATION} > E035{OWNER_ITEM} > E036{QUANTITY+STATE_GRADE} > E037{OWNER_ITEM} > E038{OPERATION}	1	Z1[E032:oykchor{OPERATION} > E033:shor{PREPARATION} > E034:chor{PREPARATION} > E035:chy{OWNER_ITEM} > E036:kaiiin{QUANTITY+STATE_GRADE} > E037:dy{OWNER_ITEM} > E038:chodaiin{OPERATION}]	MEDIUM_FLOW=AUSGELASSEN: kein eigener Lauf; TARGET=GEERBT: lokale Arbeitsstelle; CLOSE=OFFEN: nächste Arbeitszelle darf fortführen	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f10r“: Glasiertes Gefäß; Zubereitung; Zubereitung; der laufende Posten; dies oder es; weiche Konsistenz; der laufende Posten; dies oder es; Geschwür.
H3-S001	H3	f11r	f11r.1	F006	E039|E040|E041|E042|E043|E044|E045	7	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	abgebildete Pflanze auf f11r	PAGE_OWNER_INHERITED	NEUE ZELLE: kein ausdrücklicher Rückverweis	tshol=Blütenkraut	shfydaiin=für die vorgeschriebene Zeit stehen lassen	schoal=in Wein kochen | cfhy=durch Tuch wringen | cphy=nochmals seihen	shey=klare Flüssigkeit	GEERBT: lokale Arbeitsstelle	shfydaiin=für die vorgeschriebene Zeit stehen lassen	tchody=abkühlen; Ende	E039{OWNER_ITEM} > E040{OPERATION} > E041{OPERATION} > E042{QUANTITY+STATE_GRADE} > E043{OPERATION} > E044{FLOW_TRANSFER} > E045{CLOSE}	1	Z1[E039:tshol{OWNER_ITEM} > E040:schoal{OPERATION} > E041:cfhy{OPERATION} > E042:shfydaiin{QUANTITY+STATE_GRADE} > E043:cphy{OPERATION} > E044:shey{FLOW_TRANSFER} > E045:tchody{CLOSE}]	TARGET=GEERBT: lokale Arbeitsstelle	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f11r“: Blütenkraut; in Wein kochen; durch Tuch wringen; für die vorgeschriebene Zeit stehen lassen; nochmals seihen; klare Flüssigkeit; abkühlen; Ende.
H3-S002	H3	f11r	f11r.1	F007	E046	1	shoyty	abgebildete Pflanze auf f11r	PAGE_OWNER_INHERITED	NEUE ZELLE: kein ausdrücklicher Rückverweis	shoyty=Blütenanteil zurückhalten	GEERBT: kein neues Maß	ELLIPTISCH: auswählen, zuordnen oder fortsetzen	AUSGELASSEN: kein eigener Lauf	GEERBT: lokale Arbeitsstelle	AUSGELASSEN: örtlicher Zustand	OFFEN: nächste Arbeitszelle darf fortführen	E046{OWNER_ITEM}	1	Z1[E046:shoyty{OWNER_ITEM}]	QUANTITY=GEERBT: kein neues Maß; MEDIUM_FLOW=AUSGELASSEN: kein eigener Lauf; TARGET=GEERBT: lokale Arbeitsstelle; STATE_GRADE=AUSGELASSEN: örtlicher Zustand; CLOSE=OFFEN: nächste Arbeitszelle darf fortführen	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f11r“: Blütenanteil zurückhalten.
H3-S003	H3	f11r	f11r.4	F008	E047|E048|E049|E050|E051	5	dchol · chy · kchy · dy · daiin	abgebildete Pflanze auf f11r	PAGE_OWNER_INHERITED	dchol=vom vorigen Posten nehmen	dchol=vom vorigen Posten nehmen | dchol=vom vorigen Posten nehmen | chy=der laufende Posten; dies oder es | dy=der laufende Posten; dies oder es	daiin=vorgeschriebenes Maß	dchol=vom vorigen Posten nehmen | kchy=als Trank geben	AUSGELASSEN: kein eigener Lauf	GEERBT: lokale Arbeitsstelle	AUSGELASSEN: örtlicher Zustand	OFFEN: nächste Arbeitszelle darf fortführen	E047{OWNER_ITEM+SOURCE+OPERATION} > E048{OWNER_ITEM} > E049{OPERATION} > E050{OWNER_ITEM} > E051{QUANTITY}	1	Z1[E047:dchol{OWNER_ITEM+SOURCE+OPERATION} > E048:chy{OWNER_ITEM} > E049:kchy{OPERATION} > E050:dy{OWNER_ITEM} > E051:daiin{QUANTITY}]	MEDIUM_FLOW=AUSGELASSEN: kein eigener Lauf; TARGET=GEERBT: lokale Arbeitsstelle; STATE_GRADE=AUSGELASSEN: örtlicher Zustand; CLOSE=OFFEN: nächste Arbeitszelle darf fortführen	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f11r“: Vom vorigen Posten nehmen; der laufende Posten; dies oder es; als Trank geben; der laufende Posten; dies oder es; vorgeschriebenes Maß.
H3-S004	H3	f11r	f11r.7	F009	E052|E053|E054|E055	4	qotchy · okchol · cthy · dy	abgebildete Pflanze auf f11r	PAGE_OWNER_INHERITED	okchol=mit dem vorigen Arbeitsgut weiterarbeiten	qotchy=zurückbehaltene Blüten | dy=der laufende Posten; dies oder es	GEERBT: kein neues Maß	okchol=mit dem vorigen Arbeitsgut weiterarbeiten	AUSGELASSEN: kein eigener Lauf	GEERBT: lokale Arbeitsstelle	cthy=bereit	OFFEN: nächste Arbeitszelle darf fortführen	E052{OWNER_ITEM} > E053{OPERATION} > E054{STATE_GRADE} > E055{OWNER_ITEM}	1	Z1[E052:qotchy{OWNER_ITEM} > E053:okchol{OPERATION} > E054:cthy{STATE_GRADE} > E055:dy{OWNER_ITEM}]	QUANTITY=GEERBT: kein neues Maß; MEDIUM_FLOW=AUSGELASSEN: kein eigener Lauf; TARGET=GEERBT: lokale Arbeitsstelle; CLOSE=OFFEN: nächste Arbeitszelle darf fortführen	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f11r“: Zurückbehaltene Blüten; mit dem vorigen Arbeitsgut weiterarbeiten; bereit; der laufende Posten; dies oder es.
H4-S001	H4	f55v	f55v.5	F010	E056|E057|E058|E059|E060	5	qokaiin · chaiin · ykain · ykan · ody	abgebildete Pflanze auf f55v	PAGE_OWNER_INHERITED	NEUE ZELLE: kein ausdrücklicher Rückverweis	ykain=eine Portion des laufenden Postens | ykan=diese Portion	qokaiin=auf das vorgeschriebene Maß einstellen | chaiin=vorgeschriebenes Maß | ykain=eine Portion des laufenden Postens | ykan=diese Portion	qokaiin=auf das vorgeschriebene Maß einstellen	AUSGELASSEN: kein eigener Lauf	GEERBT: lokale Arbeitsstelle	ody=kühl lagern; Ende	ody=kühl lagern; Ende	E056{QUANTITY+OPERATION} > E057{QUANTITY} > E058{OWNER_ITEM+QUANTITY} > E059{OWNER_ITEM+QUANTITY} > E060{STATE_GRADE+CLOSE}	1	Z1[E056:qokaiin{QUANTITY+OPERATION} > E057:chaiin{QUANTITY} > E058:ykain{OWNER_ITEM+QUANTITY} > E059:ykan{OWNER_ITEM+QUANTITY} > E060:ody{STATE_GRADE+CLOSE}]	MEDIUM_FLOW=AUSGELASSEN: kein eigener Lauf; TARGET=GEERBT: lokale Arbeitsstelle	ONE_LOCUS: kein erzwungener Satzschluss aus der Zeile	Beim Besitzer „abgebildete Pflanze auf f55v“: Auf das vorgeschriebene Maß einstellen; vorgeschriebenes Maß; eine Portion des laufenden Postens; diese Portion; kühl lagern; Ende.
