family	formula	selected_reading_de	joint_tuple_id	surface_family	events	status
AIN	AIN	eine Portion	9da1b6ac2c929daea697	chkain|kain	3	SELECTED_RECURRENT
OK+AIN	OK(AIN)	eine Portion zugeben	1645e612504fcef59ced	okain|qokain	7	SELECTED_PRODUCTIVE
OL+AIN	OL(AIN)	eine weitere Portion zugeben	94df4847b7b16c98394a	olkain|qolkain	2	SELECTED_RECURRENT
CHED+AIN	CHED(AIN)	eine Portion umsetzen	d784b2abcaf1a3703de2	chedain	1	SELECTED_SINGLETON_PREDICTION
AIIN	AIIN	vorgeschriebenes Maß	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	SELECTED_STRONG
OK+AIIN	OK(AIIN)	auf das vorgeschriebene Maß einstellen	b5fcea1eaed06b2f2291	okaiin|qokaiin	9	SELECTED_PRODUCTIVE
OT+AIIN	OT(AIIN)	das nächste Maß	54d0e228ca346110af05	otaiin|sotaiin	3	SELECTED_RECURRENT
IIN	IIN	vorgeschriebener Grad	2c82523794dcb7d2b343	oiiin|soiiin	2	SELECTED_RECURRENT
OR	OR	Zubereitung	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	SELECTED_RECURRENT
OL+OR	OL(OR)	mit der vorigen Zubereitung	dec401773c1f0347793d	cholor|olor	2	SELECTED_RECURRENT
OT+OR	OT(OR)	die nächste Zubereitung	10488b911aae52b3b334	otchor|qotchor	2	SELECTED_RECURRENT
CHO+OR	CHO(OR)	Pflanzenzubereitung	b9d7b6d68209a9019e7a	chochor	1	SELECTED_SINGLETON_PREDICTION
OR+AIN	OR(AIN)	eine Portion der Zubereitung	6afeb5c9ab9f6cbdea0d	orain	1	SELECTED_SINGLETON_PREDICTION
OT+OL	OT(OL)	danach weiter	497cbd9c7401810ff56b	otol	1	SELECTED_SINGLETON_PREDICTION
