candidate_component	current_best_constraint	why_not_closed	working_default_until_better_model	prediction_that_could_improve_it
DAL_LO_SSHK_HULLS	lokale Hüllen der CHD~CHED-Familie	je nur ein Beleg und kein stabiler Gegenkontrast	keine eigene Stammübersetzung	Ein Minimalpaar gegen dieselbe CHD~CHED-Basis wäre nötig
D_S_T_SURFACES	Renderer- oder Hüllvarianten ohne getrennte Bedeutung	dchedy, schedy und tchedy sind dieselbe anonyme Karte	Arbeitsbewegung abschließen	Nur getrennte exakte Karten mit konstant verschiedener Funktion dürften daraus neue Kerne machen
GLOBAL_E	kein globaler Stamm; nur positionsgebundener Grad	E-Zahl wechselt bei identischen Karten und gehört in CHED/CKHE zum Kern	außerhalb lizenzierter Raster nicht zerlegen	Eine zweite vollständige Grundkern×E/EE/EEE×Y/DY-Tafel wäre nötig
MEMORIZED_WHOLE_CARDS	84 unveränderte Alt-Ganzkarten plus chokcheo als neu explizit opake Ganzkarte bleiben reine Ganzwerte	ihre sichtbaren Teilstücke übertragen keine einheitliche Bedeutung; qokylddy ist zusätzlich nur außen zerlegt	jeweilige kurze Ganzkartenglosse	Nur wiederkehrende Minimalpaare dürfen einzelne Stücke künftig zu Stämmen befördern
GLOBAL_P	P+CHED points inward or toward a receiver in two fixed cards	no independent P card or reversed minimal pair	use only inside pchedy and pchedal	another P+CHED argument pair should retain receiver direction
GLOBAL_SH	two learned graded cards encode resting	ch/sh/t vary inside one exact card and SH is not independently recurrent	rest only in the selected SH-rest family	an independent SH base with the same rest contrast
GLOBAL_CHK	cheky/cheeky encode short versus longer warmth	five events and no independent CHK card	warmth only in the selected pair	another CHK argument should preserve warmth
GLOBAL_SOLK	three local cards behave as a graded collection-station family	all support is owner-local	collection station only for these three cards	a second owner should reuse the same open/terminal grades
GENERAL_OK_REDUPLICATION	qokokchy is read as repeat rather than intensity	one doubled-OK card	repeat only in qokokchy	a second OK+OK minimal pair should repeat its single-OK operation
GENERAL_OK_AL_Y_ORDER	qokaly composes as put current item at target	one card and no reversed argument-order pair	use the selected whole construction	another OK+AL+Y or OK+Y+AL card should clarify binding order
AIR_EXACT_SUBSTANCE	moving liquid in a run	the drawings show no arrows and the Herbal owner shows no liquid	flowing liquid without specifying pure water	another AIR card should preserve motion while allowing a different liquid
CHEO_EXACT_LIQUID	extract or carrier liquid	two Herbal events do not distinguish water oil wine or decoction	extract liquid	another CHEO compound should preserve carrier/extract behavior
LDDY_PORTABILITY	application close read as fastening a poultice	one exact card at one local owner	learned qokylddy construction only	a second LDDY carrier should close an application rather than a transfer
IIN_LOCAL_DIMENSION	portable grade or setting	the two recurrent and two extended cards do not identify heat concentration duration or aperture	grade or work stage	another IIN card should contrast two settings of the same operation
LONG_AIIN_HULLS	several long exact cards admit an AIIN contribution	CHO D SOLK and SHFY hulls are not independently complete paradigms	use the selected concrete whole construction	a second occurrence should preserve the measure slot under a new owner
OR_INTERNAL_STRINGS	OR composes in OR OLOR OTCHOR and ORAIN	Y CHE OYK and CHO hulls may merely contain the same surface letters	do not split ycheor oykchor or chochor	a minimal pair must preserve preparation while changing only the hull
