statement_id	record_unit_id	page	loci	field_ids	event_ids	event_count	revised_event_count	surface_sequence	card_sequence_de	event_slot_trace	canonical_slots_present	workshop_sentence_de	physical_line_note
H1-S001	H1	f10r	f10r.2	F001	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	10	1	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	Wurzelteil · säubern · aus demselben Vorrat · zerkleinern · Gefäß · Flüssigkeitszulauf · ersten Auszug auffangen · den laufenden Posten anwenden oder in Arbeit nehmen · vorgeschriebenes Maß · Wurzelteil	E001[OWNER_ITEM] | E002[OPERATION] | E003[SOURCE] | E004[OPERATION] | E005[OPERATION] | E006[FLOW_TRANSFER] | E007[PREPARATION] | E008[OWNER_ITEM+OPERATION] | E009[QUANTITY] | E010[OWNER_ITEM]	OWNER_ITEM>SOURCE>QUANTITY>PREPARATION>OPERATION>FLOW_TRANSFER	Wurzelteil; säubern; aus demselben Vorrat; zerkleinern; Gefäß; Flüssigkeitszulauf; ersten Auszug auffangen; den laufenden Posten anwenden oder in Arbeit nehmen; vorgeschriebenes Maß; Wurzelteil	LOCAL_SEQUENCE
H1-S002	H1	f10r	f10r.5	F002	E011|E012|E013|E014	4	0	qokchy · qotchol · chol · cthy	den laufenden Posten anwenden oder in Arbeit nehmen · gelind erwärmen · mit Vorigem weiter · bereit	E011[OWNER_ITEM+OPERATION] | E012[OPERATION] | E013[OPERATION] | E014[STATE_GRADE]	OWNER_ITEM>OPERATION>STATE_GRADE	Den laufenden Posten anwenden oder in Arbeit nehmen; gelind erwärmen; mit Vorigem weiter; bereit	LOCAL_SEQUENCE
H2-S001	H2	f10r	f10r.6	F003	E015|E016|E017|E018|E019|E020|E021|E022|E023	9	2	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	Pflanzenspitzen · bereit · Zubereitung · Kraut zerstoßen · durch Tuch · der laufende Posten; dies oder es · der laufende Posten; dies oder es · vorgeschriebenes Maß · der laufende Posten; dies oder es	E015[OWNER_ITEM] | E016[STATE_GRADE] | E017[PREPARATION] | E018[OPERATION] | E019[OPERATION] | E020[OWNER_ITEM] | E021[OWNER_ITEM] | E022[QUANTITY] | E023[OWNER_ITEM]	OWNER_ITEM>QUANTITY>PREPARATION>OPERATION>STATE_GRADE	Pflanzenspitzen; bereit; Zubereitung; Kraut zerstoßen; durch Tuch; der laufende Posten; dies oder es; der laufende Posten; dies oder es; vorgeschriebenes Maß; der laufende Posten; dies oder es	LOCAL_SEQUENCE
H2-S002	H2	f10r	f10r.8	F004	E024|E025|E026|E027|E028|E029|E030|E031	8	5	qotchor · chor · otol · chol · cholor · chol · daiin · dar	die nächste Zubereitung · Zubereitung · danach weiter · mit Vorigem weiter · mit der vorigen Zubereitung · mit Vorigem weiter · vorgeschriebenes Maß · aus demselben Vorrat	E024[PREPARATION] | E025[PREPARATION] | E026[OPERATION] | E027[OPERATION] | E028[PREPARATION] | E029[OPERATION] | E030[QUANTITY] | E031[SOURCE]	SOURCE>QUANTITY>PREPARATION>OPERATION	Die nächste Zubereitung; Zubereitung; danach weiter; mit Vorigem weiter; mit der vorigen Zubereitung; mit Vorigem weiter; vorgeschriebenes Maß; aus demselben Vorrat	LOCAL_SEQUENCE
H2-S003	H2	f10r	f10r.9	F005	E032|E033|E034|E035|E036|E037|E038	7	3	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	glasiertes Gefäß · Zubereitung · Zubereitung · der laufende Posten; dies oder es · weiche Konsistenz · der laufende Posten; dies oder es · Geschwür	E032[OPERATION] | E033[PREPARATION] | E034[PREPARATION] | E035[OWNER_ITEM] | E036[QUANTITY+STATE_GRADE] | E037[OWNER_ITEM] | E038[OPERATION]	OWNER_ITEM>QUANTITY>PREPARATION>OPERATION>STATE_GRADE	Glasiertes Gefäß; Zubereitung; Zubereitung; der laufende Posten; dies oder es; weiche Konsistenz; der laufende Posten; dies oder es; Geschwür	LOCAL_SEQUENCE
H3-S001	H3	f11r	f11r.1	F006	E039|E040|E041|E042|E043|E044|E045	7	1	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Blütenkraut · in Wein kochen · durch Tuch wringen · für die vorgeschriebene Zeit stehen lassen · nochmals seihen · klare Flüssigkeit · abkühlen; Ende	E039[OWNER_ITEM] | E040[OPERATION] | E041[OPERATION] | E042[QUANTITY+STATE_GRADE] | E043[OPERATION] | E044[FLOW_TRANSFER] | E045[CLOSE]	OWNER_ITEM>QUANTITY>OPERATION>FLOW_TRANSFER>STATE_GRADE>CLOSE	Blütenkraut; in Wein kochen; durch Tuch wringen; für die vorgeschriebene Zeit stehen lassen; nochmals seihen; klare Flüssigkeit; abkühlen; Ende	LOCAL_SEQUENCE
H3-S002	H3	f11r	f11r.1	F007	E046	1	0	shoyty	Blütenanteil zurückhalten	E046[OWNER_ITEM]	OWNER_ITEM	Blütenanteil zurückhalten	LOCAL_SEQUENCE
H3-S003	H3	f11r	f11r.4	F008	E047|E048|E049|E050|E051	5	1	dchol · chy · kchy · dy · daiin	vom vorigen Posten nehmen · der laufende Posten; dies oder es · als Trank geben · der laufende Posten; dies oder es · vorgeschriebenes Maß	E047[OWNER_ITEM+SOURCE+OPERATION] | E048[OWNER_ITEM] | E049[OPERATION] | E050[OWNER_ITEM] | E051[QUANTITY]	OWNER_ITEM>SOURCE>QUANTITY>OPERATION	Vom vorigen Posten nehmen; der laufende Posten; dies oder es; als Trank geben; der laufende Posten; dies oder es; vorgeschriebenes Maß	LOCAL_SEQUENCE
H3-S004	H3	f11r	f11r.7	F009	E052|E053|E054|E055	4	0	qotchy · okchol · cthy · dy	zurückbehaltene Blüten · mit dem vorigen Arbeitsgut weiterarbeiten · bereit · der laufende Posten; dies oder es	E052[OWNER_ITEM] | E053[OPERATION] | E054[STATE_GRADE] | E055[OWNER_ITEM]	OWNER_ITEM>OPERATION>STATE_GRADE	Zurückbehaltene Blüten; mit dem vorigen Arbeitsgut weiterarbeiten; bereit; der laufende Posten; dies oder es	LOCAL_SEQUENCE
H4-S001	H4	f55v	f55v.5	F010	E056|E057|E058|E059|E060	5	4	qokaiin · chaiin · ykain · ykan · ody	auf das vorgeschriebene Maß einstellen · vorgeschriebenes Maß · eine Portion des laufenden Postens · diese Portion · kühl lagern; Ende	E056[QUANTITY+OPERATION] | E057[QUANTITY] | E058[OWNER_ITEM+QUANTITY] | E059[OWNER_ITEM+QUANTITY] | E060[STATE_GRADE+CLOSE]	OWNER_ITEM>QUANTITY>OPERATION>STATE_GRADE>CLOSE	Auf das vorgeschriebene Maß einstellen; vorgeschriebenes Maß; eine Portion des laufenden Postens; diese Portion; kühl lagern; Ende	LOCAL_SEQUENCE
H4-S002	H4	f55v	f55v.5	F011	E061|E062|E063	3	1	daiin · chedy · talam	vorgeschriebenes Maß · den laufenden Posten umsetzen oder durcharbeiten · klaren Auszug verwahren	E061[QUANTITY] | E062[OWNER_ITEM+OPERATION] | E063[PREPARATION]	OWNER_ITEM>QUANTITY>PREPARATION>OPERATION	Vorgeschriebenes Maß; den laufenden Posten umsetzen oder durcharbeiten; klaren Auszug verwahren	LOCAL_SEQUENCE
H4-S003	H4	f55v	f55v.11	F012	E064|E065|E066|E067	4	1	ykaiin · cheoar · cheeky · oldy	Maß des laufenden Postens · Auszug daraus entnehmen · länger warm halten · weiterführen; Ende	E064[OWNER_ITEM+QUANTITY] | E065[SOURCE+PREPARATION+OPERATION] | E066[STATE_GRADE] | E067[CLOSE]	OWNER_ITEM>SOURCE>QUANTITY>PREPARATION>OPERATION>STATE_GRADE>CLOSE	Maß des laufenden Postens; Auszug daraus entnehmen; länger warm halten; weiterführen; Ende	LOCAL_SEQUENCE
H4-S004	H4	f55v	f55v.11	F013	E068|E069|E070|E071|E072|E073	6	3	aiin · okal · oltchy · or · y · orain	vorgeschriebenes Maß · an der Zielstelle einsetzen · gelind erwärmen · Zubereitung · der laufende Posten; dies oder es · eine Portion der Zubereitung	E068[QUANTITY] | E069[OPERATION+TARGET] | E070[OPERATION] | E071[PREPARATION] | E072[OWNER_ITEM] | E073[QUANTITY+PREPARATION]	OWNER_ITEM>QUANTITY>PREPARATION>OPERATION>TARGET	Vorgeschriebenes Maß; an der Zielstelle einsetzen; gelind erwärmen; Zubereitung; der laufende Posten; dies oder es; eine Portion der Zubereitung	LOCAL_SEQUENCE
H5-S001	H5	f56r	f56r.5|f56r.7	F014|F015	E074|E075|E076|E077|E078|E079|E080|E081|E082	9	3	chochor · cho · chodaly · daiin · sho · kchol · otchor · choky · dal	Pflanzenzubereitung · Pflanze · Blütebeginn · vorgeschriebenes Maß · Pflanze · auflegen · die nächste Zubereitung · den laufenden Posten anwenden oder in Arbeit nehmen · Zielstelle	E074[OWNER_ITEM+PREPARATION] | E075[OWNER_ITEM] | E076[OWNER_ITEM] | E077[QUANTITY] | E078[OWNER_ITEM] | E079[OPERATION] | E080[PREPARATION] | E081[OWNER_ITEM+OPERATION] | E082[TARGET]	OWNER_ITEM>QUANTITY>PREPARATION>OPERATION>TARGET	Pflanzenzubereitung; Pflanze; Blütebeginn; vorgeschriebenes Maß; Pflanze; auflegen; die nächste Zubereitung; den laufenden Posten anwenden oder in Arbeit nehmen; Zielstelle	CONTINUES_ACROSS_LINE
H5-S002	H5	f56r	f56r.8	F016	E083|E084|E085|E086	4	0	schol · choy · choky · cheeckhody	vom vorigen Posten nehmen · mit Wasser waschen · den laufenden Posten anwenden oder in Arbeit nehmen · äußerlich anwenden; Ende	E083[OWNER_ITEM+SOURCE+OPERATION] | E084[FLOW_TRANSFER] | E085[OWNER_ITEM+OPERATION] | E086[OPERATION+CLOSE]	OWNER_ITEM>SOURCE>OPERATION>FLOW_TRANSFER>CLOSE	Vom vorigen Posten nehmen; mit Wasser waschen; den laufenden Posten anwenden oder in Arbeit nehmen; äußerlich anwenden; Ende	LOCAL_SEQUENCE
H5-S003	H5	f56r	f56r.12	F017	E087|E088|E089|E090	4	0	sh · cho · kchey · qokokchy	Pflanzenteil · Pflanze · grob zerreiben · den laufenden Posten erneut in Arbeit nehmen	E087[OWNER_ITEM] | E088[OWNER_ITEM] | E089[OPERATION] | E090[OWNER_ITEM+OPERATION]	OWNER_ITEM>OPERATION	Pflanzenteil; Pflanze; grob zerreiben; den laufenden Posten erneut in Arbeit nehmen	LOCAL_SEQUENCE
H5-S004	H5	f56r	f56r.13	F018	E091|E092|E093	3	0	okchy · chokcheo · kchal	den laufenden Posten anwenden oder in Arbeit nehmen · Auszugsflüssigkeit zugeben · durch Tuch	E091[OWNER_ITEM+OPERATION] | E092[PREPARATION+OPERATION+FLOW_TRANSFER] | E093[OPERATION]	OWNER_ITEM>PREPARATION>OPERATION>FLOW_TRANSFER	Den laufenden Posten anwenden oder in Arbeit nehmen; Auszugsflüssigkeit zugeben; durch Tuch	LOCAL_SEQUENCE
