decision	joint_tuple_id	surface_family	event_count	event_inventory	pages	records	statement_ids	selected_parse	invariant_quantity_value_de	concrete_default_de	rival_de	full_local_consequence_de	strength
PRODUCTIVE_AIIN	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	E009@H1-S001|E022@H2-S001|E030@H2-S002|E051@H3-S003|E057@H4-S001|E061@H4-S002|E068@H4-S004|E077@H5-S001|E100@H5-S006|E116@B1-S002|E118@B1-S002|E207@B2-S012|E217@B2-S016|E233@B3-S003|E274@B3-S021|E299@B3-S030|E332@B4-S008|E338@B4-S011|E369@B5-S003|E377@B6-S001	f10r|f11r|f55v|f56r|f81v|f82r|f83r	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	H1-S001|H2-S001|H2-S002|H3-S003|H4-S001|H4-S002|H4-S004|H5-S001|H5-S006|B1-S002|B2-S012|B2-S016|B3-S003|B3-S021|B3-S030|B4-S008|B4-S011|B5-S003|B6-S001	AIIN_MEASURE	vorgeschriebenes Maß; Dimension kontextabhängig	vorgeschriebenes Maß	AIIN mit AIN als bloße Portion verschmelzen	Alle 20 Ereignisse heißen Maß; sichtbare Rendereranfänge bleiben ohne Zusatzbedeutung	SELECTED_STRONG
PRODUCTIVE_AIN	d784b2abcaf1a3703de2	chedain	1	E303@B3-S032	f83r	B3	B3-S032	CHED+AIN_PART_PORTION	AIN=abgegrenzte Portion	eine Portion verarbeiten	CHEDAIN als unzerlegtes Arbeitswort	B3-S032 beginnt mit einer Portion, die verarbeitet wird	SELECTED_COMPOSITIONAL
PRODUCTIVE_AIN	9da1b6ac2c929daea697	chkain|kain	3	E107@B1-S002|E257@B3-S013|E354@B4-S015	f81v|f83r	B1|B3|B4	B1-S002|B3-S013|B4-S015	K_RENDERER+AIN_PART_PORTION	AIN=abgegrenzte Portion	eine Portion oder ein Anteil	KAIN als Maß statt handhabbarer Teil	Alle drei Aussagen nennen denselben abgeteilten Arbeitsposten	SELECTED_RECURRENT
PARTIAL_AIIN	d72f71baff01cd0a0406	chldaiin	1	E286@B3-S026	f83r	B3	B3-S026	CHLD_SETTLE+AIIN_MEASURE	AIIN=Maß; lokale Dimension Dauer	für das vorgeschriebene Maß absetzen lassen	unbegrenzt absetzen lassen als Ganzwort	B3-S026 bindet das Absetzen an das vorgeschriebene Maß	SELECTED_PARTIAL
OPAQUE_RETAINED	834825c61d048a6b5628	chodaiin	1	E038@H2-S003	f10r	H2	H2-S003	OPAQUE_EXACT_CARD	kein produktiver Mengenwert lizenziert	Geschwür oder harte Schwellung	AIIN als Größe oder Schwere des Leidens hineinlesen	H2-S003 behält die konkrete Läsionskarte unverändert	RETAIN_EXACT_IDENTITY
OPAQUE_RETAINED	f3c23f42baf625639e1e	cthaiin	1	E018@H2-S001	f10r	H2	H2-S001	OPAQUE_EXACT_CARD	kein produktiver AIIN-Wert lizenziert	Kraut zerstoßen	CTH+AIIN; würde aber den ausgewählten Stamm CTH=bereit zu CTH=zerstoßen umdefinieren	H2-S001 behält den konkreten Zerkleinerungswert	RETAIN_EXACT_IDENTITY
PARTIAL_IIN	fcc1deda9e24ec268eb0	daiiin	1	E371@B5-S003	f83r	B5	B5-S003	DA_OPENING+IIN_GRADE_STAGE	IIN=Grad oder Stufe	zweite Öffnungsstufe	zweite Öffnung als unzerlegtes Wort	B5-S003 bezeichnet eine zweite erreichte Öffnungsstufe	SELECTED_PARTIAL
OPAQUE_RETAINED	53cd0637c6820ba5e91f	dain	2	E327@B4-S005|E379@B6-S001	f83r	B4|B6	B4-S005|B6-S001	OPAQUE_EXACT_CARD	kein produktiver AIN-Wert lizenziert	durch Tuch	portionweise durch Tuch allein aus der Oberfläche	Beide Aussagen behalten denselben Filterwert	RETAIN_RECURRENT_EXACT_IDENTITY
PARTIAL_IIN	409de02322e7b2ca0c62	kaiiin	1	E036@H2-S003	f10r	H2	H2-S003	K_SOFT_CONSISTENCY+IIN_GRADE_STAGE	IIN=Konsistenzgrad	weiche Salbenkonsistenz	weiche Salbe als völlig unzerlegte Karte	H2-S003 liest das Ergebnis als erreichten weichen Konsistenzgrad	SELECTED_PARTIAL
PRODUCTIVE_IIN	2c82523794dcb7d2b343	oiiin|soiiin	2	E161@B1-S018|E309@B3-S034	f81v|f83r	B1|B3	B1-S018|B3-S034	O_S_RENDERER+IIN_GRADE_STAGE	IIN=vorgeschriebener Grad oder Stufe	vorgeschriebener Arbeitsgrad	IIN als Schreibvariante von AIIN-Maß	Beide Aussagen nennen einen Grad vor weiterer Verarbeitung oder Abschluss	SELECTED_RECURRENT
