component_id	visible_realizations	working_meaning_de	status	licensed_environment	evidence_summary	important_limit
OK	ok|qok|chok	etwas in den laufenden Arbeitsgang setzen	FIXED_IN_WORKING_MODEL	vor bekannten Argumenten oder Arbeitskernen	23 Typen und 79 Ereignisse; 22 Typen mit explizitem OK-Beitrag, davon einer mit opakem Innenrest	Kein selbständiges Stoffwort und nicht immer deutsch als dasselbe Verb zu übersetzen
AIN	ain; kain in licensed exact cards	Teil; abgeteilte Portion	FIXED_IN_WORKING_MODEL	AIN, OK+AIN, OL+AIN, CHED+AIN and OR+AIN	3 base, 7 OK, 2 OL, 1 CHED and 1 OR events	the amount itself, never the rule by which it is measured
AIIN	aiin	Maß; vorgeschriebene Menge	FIXED_IN_WORKING_MODEL	base AIIN, OK+AIIN, OT+AIIN and selected contextual compounds	20 base and 12 recurrent OK/OT events plus bounded predictions	the measuring prescription, not the physical aliquot
AL	al	Ziel- oder Arbeitsstelle; an oder zu	FIXED_IN_WORKING_MODEL	base address card and OK/OT/CHED/P/L compounds	ten base-card events and sixteen compound events	lower, outlet, skin, basin, or plant part must come from the local owner or learned hull
AR	ar	Quelle oder Vorrat; aus oder von	FIXED_IN_WORKING_MODEL	base AR card plus OK/OT/CHEO/L+CHED compounds	six exact cards and ten events across Herbal and Biological records	does not name a specific vessel, material, height, or direction arrow
AIR	air	fließende Flüssigkeit im Lauf	FIXED_CONTEXT_BOUND	chair|kair|okair|schedair and predicted dairydy	five cards form inlet/current/activate/conduct/close readings	not necessarily pure water and not a bare pipe or visible arrow
OL	ol|chol|qol|sol|tol	weiter oder mit dem Vorigen	FIXED_IN_WORKING_MODEL	base continuation plus OK+OL, OL+CHED, OL+AIN and OL+OR	base card plus transfer, quantity and preparation compounds	continuation/previous relation, not oil
OT	ot|qot|sot	danach oder nächster	FIXED_IN_WORKING_MODEL	before AIIN, OR, OL, AL, CHED and E grades	next/after contribution across quantity preparation order target and operation	does not itself mean repeat or equality
CHD_CHED	chd|ched	umsetzen oder in einen Arbeitsgang führen	FIXED_IN_WORKING_MODEL	nackte CHD~CHED-Karte und produktive linke/rechte Erweiterungen	21 exakte Typen und 47 Ereignisse	Rühren, Ablassen oder Seihen sind mögliche lokale Ausführungen, nicht der Stammwert
L_CHED	l+chd|l+ched	hinaus- oder wegführen	FIXED_CONTEXT_BOUND	nur als linke Hülle der CHD~CHED-Familie	lched/lchedy/lchedal/lchedar plus local lochedy	only licensed before the CHED family
