family	joint_tuple_id	surface_forms	occurrences	event_ids	records	pages	loci	field_ids	status	selected_segmentation	selected_default_de	prior_default_de	context_summary
OR_CORE	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	E017|E025|E033|E034|E071|E254|E348	H2|H4|B3|B4	f10r|f55v|f83r	f10r.6|f10r.8|f10r.9|f55v.11|f83r.11|f83r.38	F003|F004|F005|F013|F082|F124	CORE_CONFIRMED	OR_PREPARATION	Zubereitung	Zubereitung	OR invariant in chor/or/shor/sor; ch/sh/s are renderers.
OL_OR	dec401773c1f0347793d	cholor|olor	2	E028|E113	H2|B1	f10r|f81v	f10r.8|f81v.7	F004|F023	CORE_CONFIRMED	OL_CONTINUE+OR_PREPARATION	vorige Zubereitung	vorige Zubereitung	OL supplies previous/continuation; OR stays preparation.
OT_OR	10488b911aae52b3b334	otchor|qotchor	2	E024|E080	H2|H5	f10r|f56r	f10r.8|f56r.7	F004|F015	CORE_CONFIRMED	OT_NEXT+OR_PREPARATION	nächste Zubereitung	die nächste Zubereitung	OT supplies next/thereafter; q/ch are renderers.
HO_OR	b9d7b6d68209a9019e7a	chochor	1	E074	H5	f56r	f56r.5	F014	CORE_REVISED	HO_PLANT+OR_PREPARATION	Pflanzenzubereitung	Pflanzenteil	H5 immediately names plant, flowering and measure; OR stays preparation.
OR_AIN	6afeb5c9ab9f6cbdea0d	orain	1	E073	H4	f55v	f55v.11	F013	CORE_REVISED	OR_PREPARATION+AIN_PORTION	Zubereitungsportion	warm auflegen	AIN belongs to portion/measure; warming is already oltchy.
OT_OL	497cbd9c7401810ff56b	otol	1	E026	H2	f10r	f10r.8	F004	CORE_REVISED	OT_THEREAFTER+OL_CONTINUE	danach weiter	Handvoll	Handful follows from neither component; OT and OL recur as sequence links.
OL_OT_AR_SUPPORT	0f15effeca7ab10bb026	lchedar	1	E215	B2	f82r	f82r.26	F063	SUPPORT	L+CHED+AR_SOURCE	aus der Quelle hinausführen	aus der Quelle hinausführen	Existing selected OL/OT/AR connection; retained as support.
OL_OT_AR_SUPPORT	232195d6ff2f326322f7	qokol	1	E346	B4	f83r	f83r.37	F123	SUPPORT	OK+OL	vorigen Arbeitsgang weiterführen	vorigen Arbeitsgang weiterführen	Existing selected OL/OT/AR connection; retained as support.
OL_OT_AR_SUPPORT	28ffbc88b97772a75f1e	olchedy|qolchedy	3	E126|E168|E242	B1|B2|B3	f81v|f82r|f83r	f81v.17|f82r.2|f83r.6	F027|F046|F076	SUPPORT	OL+CHED+TERMINAL_Y / RENDERER_Q+OL+CHED+TERMINAL_Y	weiterführen; Schluss	weiterführen; Schluss	Existing selected OL/OT/AR connection; retained as support.
OL_OT_AR_SUPPORT	3ae9a121ba0045b913e8	qokar	1	E191	B2	f82r	f82r.7	F054	SUPPORT	Q_RENDERER+OK+AR_SOURCE	daraus in den Arbeitsgang nehmen	daraus in den Arbeitsgang nehmen	Existing selected OL/OT/AR connection; retained as support.
