case_id	edition	page	physical_leaf	model	direction	source_names	plants_without_known_mask	plants_without_upper_component	status	joint_lexicon_assessed	independent_confirmation_leaves
ZL3b|f103r|f103r.1-f103r.4|MATERIAL|ORIGINAL	ZL3b	f103r	103	MATERIAL	ORIGINAL	34	Mandrake | Mugwort | Succory | Trifoile	Mugwort	CONTRADICTED	False	0
ZL3b|f103r|f103r.1-f103r.4|MATERIAL|REVERSED	ZL3b	f103r	103	MATERIAL	REVERSED	34	Mugwort	Mugwort	CONTRADICTED	False	0
ZL3b|f103r|f103r.1-f103r.4|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	103	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Succory | Trifoile	Mandrake | Mugwort	CONTRADICTED	False	0
ZL3b|f103r|f103r.1-f103r.4|PLANT_IDENTITY|REVERSED	ZL3b	f103r	103	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort	Mugwort	CONTRADICTED	False	0
ZL3b|f103r|f103r.5-f103r.7|MATERIAL|ORIGINAL	ZL3b	f103r	103	MATERIAL	ORIGINAL	34	Mandrake | Mugwort | Trifoile		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f103r|f103r.5-f103r.7|MATERIAL|REVERSED	ZL3b	f103r	103	MATERIAL	REVERSED	34	Mandrake | Mugwort | Trifoile		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f103r|f103r.5-f103r.7|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	103	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Trifoile		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f103r|f103r.5-f103r.7|PLANT_IDENTITY|REVERSED	ZL3b	f103r	103	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Trifoile		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f103r|f103r.8-f103r.12|MATERIAL|ORIGINAL	ZL3b	f103r	103	MATERIAL	ORIGINAL	34	Mugwort | Trifoile	Mugwort	CONTRADICTED	False	0
ZL3b|f103r|f103r.8-f103r.12|MATERIAL|REVERSED	ZL3b	f103r	103	MATERIAL	REVERSED	34	Mugwort | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f103r|f103r.8-f103r.12|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	103	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle | Trifoile	Mugwort	CONTRADICTED	False	0
ZL3b|f103r|f103r.8-f103r.12|PLANT_IDENTITY|REVERSED	ZL3b	f103r	103	PLANT_IDENTITY	REVERSED	32	Mandrake | Mugwort | Succory		ALL_NECESSARY_UPPER_DOMAINS_NONEMPTY	False	0
ZL3b|f103r|f103r.13-f103r.15|MATERIAL|ORIGINAL	ZL3b	f103r	103	MATERIAL	ORIGINAL	34	Mandrake | Mugwort	Mugwort	CONTRADICTED	False	0
ZL3b|f103r|f103r.13-f103r.15|MATERIAL|REVERSED	ZL3b	f103r	103	MATERIAL	REVERSED	34	Mugwort | Succory	Mugwort	CONTRADICTED	False	0
ZL3b|f103r|f103r.13-f103r.15|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	103	PLANT_IDENTITY	ORIGINAL	32	Mandrake | Mugwort | Perwinkle	Mugwort	CONTRADICTED	False	0
