case_id	edition	page	direction	required_rows	status	known_mask_components	upper_components	fresh_unseen_component_possible	maximum_known_required_rows	minimum_required_rows_from_unknown
ZL3b|f103r|f103r.1-f103r.4|MATERIAL|ORIGINAL	ZL3b	f103r	ORIGINAL	1,4,5,7,8,10,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f103r|f103r.1-f103r.4|MATERIAL|REVERSED	ZL3b	f103r	REVERSED	1,6,8,9,11,12,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f103r|f103r.1-f103r.4|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	ORIGINAL	1,4,5,7,8,10,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f103r|f103r.1-f103r.4|PLANT_IDENTITY|REVERSED	ZL3b	f103r	REVERSED	1,6,8,9,11,12,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f103r|f103r.5-f103r.7|MATERIAL|ORIGINAL	ZL3b	f103r	ORIGINAL	1,4,5,7,8,10,15	UNKNOWN_ONLY		ld | ldy	False	3	4
ZL3b|f103r|f103r.5-f103r.7|MATERIAL|REVERSED	ZL3b	f103r	REVERSED	1,6,8,9,11,12,15	UNKNOWN_ONLY		aly | hdal | ked | kedy | ly | oked | okedy | pchy | shec | sheck | sheckh | sheckhy | so	False	4	3
ZL3b|f103r|f103r.5-f103r.7|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	ORIGINAL	1,4,5,7,8,10,15	UNKNOWN_ONLY		ld | ldy	False	3	4
ZL3b|f103r|f103r.5-f103r.7|PLANT_IDENTITY|REVERSED	ZL3b	f103r	REVERSED	1,6,8,9,11,12,15	UNKNOWN_ONLY		aly | hdal | ked | kedy | ly | oked | okedy | pchy | shec | sheck | sheckh | sheckhy | so	False	4	3
ZL3b|f103r|f103r.8-f103r.12|MATERIAL|ORIGINAL	ZL3b	f103r	ORIGINAL	1,4,5,7,8,10,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f103r|f103r.8-f103r.12|MATERIAL|REVERSED	ZL3b	f103r	REVERSED	1,6,8,9,11,12,15	UNKNOWN_ONLY		cho | chol | qokey	False	4	3
ZL3b|f103r|f103r.8-f103r.12|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	ORIGINAL	1,4,5,7,8,10,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f103r|f103r.8-f103r.12|PLANT_IDENTITY|REVERSED	ZL3b	f103r	REVERSED	1,6,8,9,11,12,15	UNKNOWN_ONLY		cho | chol | qokey	False	4	3
ZL3b|f103r|f103r.13-f103r.15|MATERIAL|ORIGINAL	ZL3b	f103r	ORIGINAL	1,4,5,7,8,10,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f103r|f103r.13-f103r.15|MATERIAL|REVERSED	ZL3b	f103r	REVERSED	1,6,8,9,11,12,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f103r|f103r.13-f103r.15|PLANT_IDENTITY|ORIGINAL	ZL3b	f103r	ORIGINAL	1,4,5,7,8,10,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f103r|f103r.13-f103r.15|PLANT_IDENTITY|REVERSED	ZL3b	f103r	REVERSED	1,6,8,9,11,12,15	CONTRADICTED			False	0	NO_COMPLETION
ZL3b|f106r|f106r.1-f106r.3|MATERIAL|ORIGINAL	ZL3b	f106r	ORIGINAL	1,4,5,7,8,10,15	UNKNOWN_ONLY		cheok | cheoke | cheokey | cheoly | chg | chokar | cholk | cholky | dc | dch | dche | dched | dchedy | eesh | eeshe | eeshed | eeshedy | eok | eoke | eokey | eoly | esh | eshe | eshed | eshedy | g | heok | heoke | heokey | heoly | hg | hoa | hoai | hoair | hokar | holk | holky | kedy | keees | kees | keesh | keeshe | keeshed | keeshedy | key | lchee | lcheed | lcheedy | lchg | lkees | lkeesh | lkeeshe | lkeeshed | lkeeshedy | oai | oair | okedy | okeee | okeees | okeey | okey | olkeey | olky | oly | otok | otoky | pshoa | pshoai | pshoair | qokedy | qotok | qotoky | sa | sar | shoa | shoai | shoair | tok | toky	False	4	3
ZL3b|f106r|f106r.1-f106r.3|MATERIAL|REVERSED	ZL3b	f106r	REVERSED	1,6,8,9,11,12,15	UNKNOWN_ONLY		arain | aram | cheda | chedar | chedara | chedaram | chees | chkc | chkch | chkche | chkched | chkcheda | chkchedar | chkchedara | chkchedaram | chodar | dara | daram | dshed | dshedy | echo | echor | edara | edaram | heda | hedar | hedara | hedaram | hees | hkc | hkch | hkche | hkched | hkcheda | hkchedar | hkchedara | hkchedaram | hodar | kara | karai | karain | kcheda | kchedar | kchedara | kchedaram | kec | kech | kecho | kechor | lchey | lkec | lkech | lkecho | lkechor | odar | ods | odsh | odshe | odshed | odshedy | otcho | otchod | otchoda | otchodar | pod | pods | podsh | podshe | podshed | podshedy | rain | shea | shear | so | sor | sora | sorai | soraii | soraiin | tchodar | ykar | ykara | ykarai | ykarain	False	3	4
