statement_id	page	record	y_events	posten_tokens	revision	working_reading_de
H1-S001	f10r	H1	5	2	NONE	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.
H1-S002	f10r	H1	2	1	NONE	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
H2-S001	f10r	H2	6	2	NONE	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
H2-S003	f10r	H2	3	1	NONE	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
H3-S001	f11r	H3	4	1	ANSATZ_TO_POSTEN	Bei der dicht bluehenden Kronenpflanze: Den Posten an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
H3-S002	f11r	H3	1	1	NONE	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.
H3-S003	f11r	H3	3	1	NONE	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
H3-S004	f11r	H3	3	1	NONE	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
H4-S001	f55v	H4	2	1	NONE	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
H4-S002	f55v	H4	1	1	NONE	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.
