event_id	page	statement_id	surface	component_recipe	old_reading_de	new_reading_de
E001	f10r	H1-S001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · POSTEN
E004	f10r	H1-S001	chty	T+Y	BEARBEITEN · DIES	BEARBEITEN · POSTEN
E007	f10r	H1-S001	otytchol	OT+Y+T+CH+OL	DANACH · DIES · BEARBEITEN · ENTNEHMEN · WEITER	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER
E008	f10r	H1-S001	oky	OK+Y	ANSETZEN · DIES	ANSETZEN · POSTEN
E010	f10r	H1-S001	etyd	E+T+Y	KURZ · BEARBEITEN · DIES	KURZ · BEARBEITEN · POSTEN
E011	f10r	H1-S002	qokchy	OK+Y	ANSETZEN · DIES	ANSETZEN · POSTEN
E014	f10r	H1-S002	cthy	CTH+Y	BEREITEN · DIES	BEREITEN · POSTEN
E015	f10r	H2-S001	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	POSTEN · ENTNEHMEN · KURZ · ANSATZ
E016	f10r	H2-S001	cthy	CTH+Y	BEREITEN · DIES	BEREITEN · POSTEN
E019	f10r	H2-S001	qoctholy	O+CTH+OL+Y	VORGANG · BEREITEN · WEITER · DIES	VORGANG · BEREITEN · WEITER · POSTEN
E020	f10r	H2-S001	dy	Y	DIES	POSTEN
E021	f10r	H2-S001	chy	Y	DIES	POSTEN
E023	f10r	H2-S001	shy	Y	DIES	POSTEN
E032	f10r	H2-S003	oykchor	O+Y+K+OR	VORGANG · DIES · ZUGEBEN · ANSATZ	VORGANG · POSTEN · ZUGEBEN · ANSATZ
E035	f10r	H2-S003	chy	Y	DIES	POSTEN
E037	f10r	H2-S003	dy	Y	DIES	POSTEN
E041	f11r	H3-S001	cfhy	CFH+Y	AUSPRESSEN · DIES	AUSPRESSEN · POSTEN
E042	f11r	H3-S001	shfydaiin	SH+Y+AIIN	HALTEN · DIES · SOLLMASS	HALTEN · POSTEN · SOLLMASS
E043	f11r	H3-S001	cphy	P+Y	EINBRINGEN · DIES	EINBRINGEN · POSTEN
E044	f11r	H3-S001	shey	SH+EE+Y	HALTEN · LANG · DIES	HALTEN · LANG · POSTEN
E046	f11r	H3-S002	shoyty	SH+O+Y+T+Y	HALTEN · VORGANG · DIES · BEARBEITEN · DIES	HALTEN · VORGANG · POSTEN · BEARBEITEN · POSTEN
E048	f11r	H3-S003	chy	Y	DIES	POSTEN
E049	f11r	H3-S003	kchy	K+Y	ZUGEBEN · DIES	ZUGEBEN · POSTEN
E050	f11r	H3-S003	dy	Y	DIES	POSTEN
E052	f11r	H3-S004	qotchy	OT+Y	DANACH · DIES	DANACH · POSTEN
E054	f11r	H3-S004	cthy	CTH+Y	BEREITEN · DIES	BEREITEN · POSTEN
E055	f11r	H3-S004	dy	Y	DIES	POSTEN
E058	f55v	H4-S001	ykain	Y+K+AIN	DIES · ZUGEBEN · PORTION	POSTEN · ZUGEBEN · PORTION
E059	f55v	H4-S001	ykan	Y+K+AN	DIES · ZUGEBEN · NACHGABE	POSTEN · ZUGEBEN · NACHGABE
E062	f55v	H4-S002	chedy	CHD+Y	UMSETZEN · DIES	UMSETZEN · POSTEN
E064	f55v	H4-S003	ykaiin	Y+K+AIIN	DIES · ZUGEBEN · SOLLMASS	POSTEN · ZUGEBEN · SOLLMASS
E066	f55v	H4-S003	cheeky	CHK+EE+Y	WAERMEN · LANG · DIES	WAERMEN · LANG · POSTEN
E070	f55v	H4-S004	oltchy	OL+T+Y	WEITER · BEARBEITEN · DIES	WEITER · BEARBEITEN · POSTEN
E072	f55v	H4-S004	y	Y	DIES	POSTEN
E076	f56r	H5-S001	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · DIES	ZUTAT · ZIELSTELLE · POSTEN
E081	f56r	H5-S001	choky	OK+Y	ANSETZEN · DIES	ANSETZEN · POSTEN
E084	f56r	H5-S002	choy	HO+Y	ZUTAT · DIES	ZUTAT · POSTEN
E085	f56r	H5-S002	choky	OK+Y	ANSETZEN · DIES	ANSETZEN · POSTEN
E089	f56r	H5-S003	kchey	K+E+Y	ZUGEBEN · KURZ · DIES	ZUGEBEN · KURZ · POSTEN
E090	f56r	H5-S003	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	ANSETZEN · ANSETZEN · POSTEN
E091	f56r	H5-S004	okchy	OK+Y	ANSETZEN · DIES	ANSETZEN · POSTEN
E095	f56r	H5-S005	chokchy	OK+Y	ANSETZEN · DIES	ANSETZEN · POSTEN
E098	f56r	H5-S006	otchey	OT+Y	DANACH · DIES	DANACH · POSTEN
E119	f81v	B1-S002	chckhy	CKH+Y	DURCHLASS · DIES	DURCHLASS · POSTEN
E123	f81v	B1-S004	chedy	CHD+Y	UMSETZEN · DIES	UMSETZEN · POSTEN
E128	f81v	B1-S006	shckhy	CKH+Y	DURCHLASS · DIES	DURCHLASS · POSTEN
E132	f81v	B1-S008	chey	Y	DIES	POSTEN
E134	f81v	B1-S008	cheky	CHK+E+Y	WAERMEN · KURZ · DIES	WAERMEN · KURZ · POSTEN
E139	f81v	B1-S011	chckhy	CKH+Y	DURCHLASS · DIES	DURCHLASS · POSTEN
E140	f81v	B1-S011	qoky	OK+Y	ANSETZEN · DIES	ANSETZEN · POSTEN
E142	f81v	B1-S012	qokey	OK+E+Y	ANSETZEN · KURZ · DIES	ANSETZEN · KURZ · POSTEN
E145	f81v	B1-S014	chedy	CHD+Y	UMSETZEN · DIES	UMSETZEN · POSTEN
E146	f81v	B1-S014	qolky	SOLK+Y	SAMMELN · DIES	SAMMELN · POSTEN
E150	f81v	B1-S015	ytey	T+E+Y	BEARBEITEN · KURZ · DIES	BEARBEITEN · KURZ · POSTEN
E153	f81v	B1-S016	okeey	OK+EE+Y	ANSETZEN · LANG · DIES	ANSETZEN · LANG · POSTEN
E159	f81v	B1-S018	ly	L+Y	LEITEN · DIES	LEITEN · POSTEN
E164	f81v	B1-S020	cheky	CHK+E+Y	WAERMEN · KURZ · DIES	WAERMEN · KURZ · POSTEN
E170	f82r	B2-S003	dy	Y	DIES	POSTEN
E173	f82r	B2-S004	lcheckhy	L+CKH+Y	LEITEN · DURCHLASS · DIES	LEITEN · DURCHLASS · POSTEN
E175	f82r	B2-S004	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	ANSETZEN · LANG · POSTEN
E177	f82r	B2-S005	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · DIES	ANSETZEN · ZIELSTELLE · POSTEN
E179	f82r	B2-S005	chckhy	CKH+Y	DURCHLASS · DIES	DURCHLASS · POSTEN
E183	f82r	B2-S005	chkeey	CHK+EE+Y	WAERMEN · LANG · DIES	WAERMEN · LANG · POSTEN
E185	f82r	B2-S006	oteey	OT+EE+Y	DANACH · LANG · DIES	DANACH · LANG · POSTEN
E187	f82r	B2-S006	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	HALTEN · KURZ · DURCHLASS · POSTEN
E188	f82r	B2-S006	qoky	OK+Y	ANSETZEN · DIES	ANSETZEN · POSTEN
E194	f82r	B2-S010	qokeey	OK+EE+Y	ANSETZEN · LANG · DIES	ANSETZEN · LANG · POSTEN
E195	f82r	B2-S010	qoky	OK+Y	ANSETZEN · DIES	ANSETZEN · POSTEN
E197	f82r	B2-S010	cheey	SH+EE+Y	HALTEN · LANG · DIES	HALTEN · LANG · POSTEN
E202	f82r	B2-S012	lchy	L+CH+Y	LEITEN · ENTNEHMEN · DIES	LEITEN · ENTNEHMEN · POSTEN
E203	f82r	B2-S012	cheey	SH+EE+Y	HALTEN · LANG · DIES	HALTEN · LANG · POSTEN
