exact_card_id	surfaces	component_recipe	events	old_reading_de	new_reading_de
PROC001	dchey	CH+E+Y	1	ENTNEHMEN · KURZ · DIES	ENTNEHMEN · KURZ · POSTEN
PROC004	chety|chty	T+Y	2	BEARBEITEN · DIES	BEARBEITEN · POSTEN
PROC007	otytchol	OT+Y+T+CH+OL	1	DANACH · DIES · BEARBEITEN · ENTNEHMEN · WEITER	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER
PROC008	choky|oky|qoky	OK+Y	10	ANSETZEN · DIES	ANSETZEN · POSTEN
PROC011	chokchy|okchy|qokchy	OK+Y	3	ANSETZEN · DIES	ANSETZEN · POSTEN
PROC010	etyd	E+T+Y	1	KURZ · BEARBEITEN · DIES	KURZ · BEARBEITEN · POSTEN
PROC014	checthy|cthy|shcthy	CTH+Y	7	BEREITEN · DIES	BEREITEN · POSTEN
PROC015	ycheor	Y+CH+E+OR	1	DIES · ENTNEHMEN · KURZ · ANSATZ	POSTEN · ENTNEHMEN · KURZ · ANSATZ
PROC018	qoctholy	O+CTH+OL+Y	1	VORGANG · BEREITEN · WEITER · DIES	VORGANG · BEREITEN · WEITER · POSTEN
PROC019	chey|chy|dy|shy|sy|y	Y	18	DIES	POSTEN
PROC023	oykchor	O+Y+K+OR	1	VORGANG · DIES · ZUGEBEN · ANSATZ	VORGANG · POSTEN · ZUGEBEN · ANSATZ
PROC028	cfhy	CFH+Y	1	AUSPRESSEN · DIES	AUSPRESSEN · POSTEN
PROC029	shfydaiin	SH+Y+AIIN	1	HALTEN · DIES · SOLLMASS	HALTEN · POSTEN · SOLLMASS
PROC030	cphy	P+Y	1	EINBRINGEN · DIES	EINBRINGEN · POSTEN
PROC031	cheey|shey	SH+EE+Y	4	HALTEN · LANG · DIES	HALTEN · LANG · POSTEN
PROC157	sheey	SH+EE+Y	1	HALTEN · LANG · DIES	HALTEN · LANG · POSTEN
PROC033	shoyty	SH+O+Y+T+Y	1	HALTEN · VORGANG · DIES · BEARBEITEN · DIES	HALTEN · VORGANG · POSTEN · BEARBEITEN · POSTEN
PROC035	kchy	K+Y	1	ZUGEBEN · DIES	ZUGEBEN · POSTEN
PROC036	qotchy	OT+Y	1	DANACH · DIES	DANACH · POSTEN
PROC065	otchey	OT+Y	2	DANACH · DIES	DANACH · POSTEN
PROC039	ykain	Y+K+AIN	1	DIES · ZUGEBEN · PORTION	POSTEN · ZUGEBEN · PORTION
PROC040	ykan	Y+K+AN	1	DIES · ZUGEBEN · NACHGABE	POSTEN · ZUGEBEN · NACHGABE
PROC042	chdy|chedy	CHD+Y	11	UMSETZEN · DIES	UMSETZEN · POSTEN
