page_position	event_id	statement_id	surface	exact_card_id	component_recipe	card_meaning_de	semantic_atom_count	source_phrase	workshop_shorthand	picture_owner	is_close	is_resume_whole_card	same_card_meaning
1	E039	H3-S001	tshol	PROC026	T+SH+OL	BEARBEITEN · HALTEN · WEITER	3	rem opera, tene et continua	opera / tene / cont.	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
2	E040	H3-S001	schoal	PROC027	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	3	in opere ad locum tene	in op. / ad loc. / tene	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
3	E041	H3-S001	cfhy	PROC028	CFH+Y	AUSPRESSEN · POSTEN	2	rem exprime	exprime rem	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
4	E042	H3-S001	shfydaiin	PROC029	SH+Y+AIIN	HALTEN · POSTEN · SOLLMASS	3	rem ad mensuram tene	rem / ad mens. / tene	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
5	E043	H3-S001	cphy	PROC030	P+Y	EINBRINGEN · POSTEN	2	rem in receptaculum mitte	in recip. / mitte	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
6	E044	H3-S001	shey	PROC031	SH+EE+Y	HALTEN · LANG · POSTEN	3	rem diu tene	rem / tene diu	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
7	E045	H3-S001	tchody	PROC032	T+CH+O+DY	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	4	in opere rem tracta et sume; fini	in op. / tracta-sume / f.	abgebildete dicht blau blühende Kronenpflanze	YES	NO	YES
8	E046	H3-S002	shoyty	PROC033	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	5	in opere rem tene et opera	in op. / rem tene-opera	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
9	E047	H3-S003	dchol	PROC034	RESUME_CARD	DAVON	1	ex eo	ex eo	abgebildete dicht blau blühende Kronenpflanze	NO	YES	YES
10	E048	H3-S003	chy	PROC019	Y	POSTEN	1	res currens	rem	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
11	E049	H3-S003	kchy	PROC035	K+Y	ZUGEBEN · POSTEN	2	rem adde	rem / adde	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
12	E050	H3-S003	dy	PROC019	Y	POSTEN	1	res currens	rem	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
13	E051	H3-S003	daiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
14	E052	H3-S004	qotchy	PROC036	OT+Y	DANACH · POSTEN	2	deinde rem	deinde rem	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
15	E053	H3-S004	okchol	PROC037	OK+OL	ANSETZEN · WEITER	2	pone et continua	pone / cont.	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
16	E054	H3-S004	cthy	PROC014	CTH+Y	BEREITEN · POSTEN	2	rem para	rem / para	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
17	E055	H3-S004	dy	PROC019	Y	POSTEN	1	res currens	rem	abgebildete dicht blau blühende Kronenpflanze	NO	NO	YES
