system	query	grammar_status	world_status
P0-3	EXISTS	sat	sat
P0-3	okaiin=ALL	unsat	unsat
P0-3	okaiin=ALONE	sat	unsat
P0-3	okaiin=ATTENDED_BY	unsat	unsat
P0-3	okaiin=AT_MOST_ONE	unsat	unsat
P0-3	okaiin=B	unsat	unsat
P0-3	okaiin=BESIDES	unsat	unsat
P0-3	okaiin=C	sat	sat
P0-3	okaiin=CARGOS	unsat	unsat
P0-3	okaiin=COLOC	unsat	unsat
P0-3	okaiin=CONVEY_OUT	unsat	unsat
P0-3	okaiin=EXAMPLE	unsat	unsat
P0-3	okaiin=FAR_BANK	unsat	unsat
P0-3	okaiin=FERRY	unsat	unsat
P0-3	okaiin=FINALLY	unsat	unsat
P0-3	okaiin=FIRST_CARGO	sat	sat
P0-3	okaiin=FORBIDDEN	unsat	unsat
P0-3	okaiin=G	sat	sat
P0-3	okaiin=GOAL	unsat	unsat
P0-3	okaiin=HARM	sat	sat
P0-3	okaiin=HOME	unsat	unsat
P0-3	okaiin=INIT	unsat	unsat
P0-3	okaiin=JOINING_RESULT	unsat	unsat
P0-3	okaiin=LEAVE	unsat	unsat
P0-3	okaiin=LIKEWISE	unsat	unsat
P0-3	okaiin=M	unsat	unsat
P0-3	okaiin=NEXT	unsat	unsat
P0-3	okaiin=OTHER_CARGO	sat	sat
P0-3	okaiin=OUTWARD	unsat	unsat
P0-3	okaiin=PAIRED_WITH	unsat	unsat
P0-3	okaiin=PAIRS	unsat	unsat
P0-3	okaiin=REST_CARGO	unsat	unsat
P0-3	okaiin=RETURN	sat	unsat
P0-3	okaiin=RETURN_EXCLUDING	unsat	unsat
P0-3	okaiin=TAKE_OUT	unsat	unsat
P0-3	okaiin=THEN	sat	sat
P0-3	okaiin=THERE	sat	sat
P0-3	okaiin=THUS	unsat	unsat
P0-3	okaiin=TRAVEL_TOGETHER	unsat	unsat
P0-3	okaiin=UNATTENDED	unsat	unsat
P0-3	okaiin=UNHARMED	unsat	unsat
P0-3	okaiin=UNSAFE	unsat	unsat
P0-3	okaiin=W	sat	sat
P0-3	okaiin=WHEN	unsat	unsat
