id	system	shared_values	grammar_possible	some_coherent_world_possible	independent_meaning_capacity
P0-3-S01	P0-3	"{""okaiin"": ""G""}"	True	True	0
P0-3-S02	P0-3	"{""okaiin"": ""W""}"	True	True	0
P0-3-S03	P0-3	"{""okaiin"": ""C""}"	True	True	0
P0-3-S04	P0-3	"{""okaiin"": ""THERE""}"	True	True	0
P0-3-S05	P0-3	"{""okaiin"": ""HARM""}"	True	True	0
P0-3-S06	P0-3	"{""okaiin"": ""RETURN""}"	True	False	0
P0-3-S07	P0-3	"{""okaiin"": ""OTHER_CARGO""}"	True	True	0
P0-3-S08	P0-3	"{""okaiin"": ""THEN""}"	True	True	0
P0-3-S09	P0-3	"{""okaiin"": ""ALONE""}"	True	False	0
P0-3-S10	P0-3	"{""okaiin"": ""FIRST_CARGO""}"	True	True	0
P2-4-S01	P2-4	"{""dcheor"": ""W"", ""s"": ""W"", ""shodol"": ""M""}"	True	True	0
P2-4-S02	P2-4	"{""dcheor"": ""THERE"", ""s"": ""W"", ""shodol"": ""M""}"	True	False	0
P2-4-S03	P2-4	"{""dcheor"": ""OTHER_CARGO"", ""s"": ""W"", ""shodol"": ""M""}"	True	True	0
P2-4-S04	P2-4	"{""dcheor"": ""OTHER_CARGO"", ""s"": ""G"", ""shodol"": ""M""}"	True	True	0
P2-4-S05	P2-4	"{""dcheor"": ""M"", ""s"": ""THEN"", ""shodol"": ""M""}"	True	True	0
P2-4-S06	P2-4	"{""dcheor"": ""M"", ""s"": ""W"", ""shodol"": ""M""}"	True	True	0
P2-4-S07	P2-4	"{""dcheor"": ""M"", ""s"": ""G"", ""shodol"": ""M""}"	True	True	0
P2-4-S08	P2-4	"{""dcheor"": ""M"", ""s"": ""C"", ""shodol"": ""M""}"	True	True	0
P2-4-S09	P2-4	"{""dcheor"": ""THEN"", ""s"": ""G"", ""shodol"": ""M""}"	True	True	0
P2-4-S10	P2-4	"{""dcheor"": ""THEN"", ""s"": ""C"", ""shodol"": ""M""}"	True	True	0
P2-4-S11	P2-4	"{""dcheor"": ""THEN"", ""s"": ""W"", ""shodol"": ""M""}"	True	True	0
P2-4-S12	P2-4	"{""dcheor"": ""ALONE"", ""s"": ""G"", ""shodol"": ""M""}"	True	False	0
P2-4-S13	P2-4	"{""dcheor"": ""ALONE"", ""s"": ""C"", ""shodol"": ""M""}"	True	False	0
P2-4-S14	P2-4	"{""dcheor"": ""ALONE"", ""s"": ""W"", ""shodol"": ""M""}"	True	False	0
P2-4-S15	P2-4	"{""dcheor"": ""FIRST_CARGO"", ""s"": ""G"", ""shodol"": ""M""}"	True	True	0
P2-4-S16	P2-4	"{""dcheor"": ""G"", ""s"": ""G"", ""shodol"": ""M""}"	True	True	0
P2-4-S17	P2-4	"{""dcheor"": ""C"", ""s"": ""G"", ""shodol"": ""M""}"	True	False	0
P2-4-S18	P2-4	"{""dcheor"": ""W"", ""s"": ""G"", ""shodol"": ""M""}"	True	False	0
P2-4-S19	P2-4	"{""dcheor"": ""THERE"", ""s"": ""G"", ""shodol"": ""M""}"	True	False	0
P2-4-S20	P2-4	"{""dcheor"": ""THERE"", ""s"": ""C"", ""shodol"": ""M""}"	True	False	0
P2-4-S21	P2-4	"{""dcheor"": ""FIRST_CARGO"", ""s"": ""C"", ""shodol"": ""M""}"	True	True	0
P2-4-S22	P2-4	"{""dcheor"": ""C"", ""s"": ""C"", ""shodol"": ""M""}"	True	True	0
P2-4-S23	P2-4	"{""dcheor"": ""G"", ""s"": ""C"", ""shodol"": ""M""}"	True	False	0
P2-4-S24	P2-4	"{""dcheor"": ""W"", ""s"": ""C"", ""shodol"": ""M""}"	True	False	0
P2-4-S25	P2-4	"{""dcheor"": ""OTHER_CARGO"", ""s"": ""C"", ""shodol"": ""M""}"	True	True	0
P2-4-S26	P2-4	"{""dcheor"": ""FIRST_CARGO"", ""s"": ""W"", ""shodol"": ""M""}"	True	True	0
P2-4-S27	P2-4	"{""dcheor"": ""G"", ""s"": ""W"", ""shodol"": ""M""}"	True	False	0
P2-4-S28	P2-4	"{""dcheor"": ""C"", ""s"": ""W"", ""shodol"": ""M""}"	True	False	0
