rule_id	rule_kind	modality_code	source_form	participle	begin_degree	middle_degree	end_degree	exact_old_meaning_de	exact_new_spoken_de	note_de
P01	MODALITY	HEISS	heiß	erhitzt	leicht	bis zur Mittelstufe	vollständig	NONE	NONE	Nur innerhalb derselben exakten Ganzwortlesung; kein geerbtes Verb und kein Patient aus Nachbarzellen.
P02	MODALITY	KALT	kalt	abgekühlt	leicht	bis zur Mittelstufe	vollständig	NONE	NONE	Abgekühlt bezeichnet hier nur den bereits ausgesagten erreichten Kältezustand; keine selbständige Kühlhandlung wird exportiert.
P03	MODALITY	TROCKEN	trocken	getrocknet	leicht	bis zur Mittelstufe	vollständig	NONE	NONE	Nur eine bereits im Ganzwort ausgesprochene Trockenachse wird flektiert.
P04	MODALITY	FEUCHT	feucht	angefeuchtet	leicht	bis zur Mittelstufe	vollständig	NONE	NONE	Nicht zu eingeweicht verstärken; Einweichen bleibt einer eigens lizenzierten Ganzwortlesung vorbehalten.
P05	NEUTRAL	MULTI	NONE	NONE	Anfangsstufe	Mittelstufe	Endstufe	NONE	NONE	Mehrere Zustandsachsen bleiben hörbar und erhalten nur eine neutrale Stufenangabe.
P06	NEUTRAL	NONE	NONE	NONE	Anfangsstufe	Mittelstufe	Endstufe	NONE	NONE	Ohne ausgesprochene Modalität darf keine Hitze-, Kälte-, Trocken- oder Feuchthandlung entstehen.
P07	EXACT	MULTI_STAGE	NONE	NONE	NONE	NONE	NONE	trocken am Gradende, dann heiß am Gradanfang	vollständig getrocknet, dann leicht erhitzt	Zwei ausdrücklich getrennte Klauseln behalten ihre Reihenfolge und je eine lokale Stufe.
P08	EXACT	MULTI_STAGE	NONE	NONE	NONE	NONE	NONE	Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang	Rohstoffklasse I: bis zur Mittelstufe getrocknet; leicht erhitzt	Semikolon trennt die beiden bereits ausgesprochenen Achsen.
P09	EXACT	MULTI_STAGE	NONE	NONE	NONE	NONE	NONE	Rohstoffklasse I: feucht in der Gradmitte; heiß am Gradanfang	Rohstoffklasse I: bis zur Mittelstufe angefeuchtet; leicht erhitzt	Feucht wird nicht zu eingeweicht verstärkt.
P10	EXACT	MULTI_STAGE	NONE	NONE	NONE	NONE	NONE	Rohstoffklasse I: trocken am Gradende, kalt am Gradanfang	Rohstoffklasse I: vollständig getrocknet; leicht abgekühlt	Die beiden ausdrücklich getrennten Zustandsklauseln bleiben getrennt.
