source_group_id	edition	page	locus	source_group_index	source_group_count	left_separator	right_separator	ivtff_group_raw	clean_ascii_fragments	clean_ascii_fragment_count	legacy_surface_positions_1based	legacy_mapping_status
RF1b|f100r.12|G001	RF1b	f100r	f100r.12	1	9	LINE_START	DEFINITE_SPACE	pcheol	pcheol	1	1	ONE_ASCII_FRAGMENT
RF1b|f100r.12|G002	RF1b	f100r	f100r.12	2	9	DEFINITE_SPACE	DEFINITE_SPACE	sheod	sheod	1	2	ONE_ASCII_FRAGMENT
RF1b|f100r.12|G003	RF1b	f100r	f100r.12	3	9	DEFINITE_SPACE	DEFINITE_SPACE	qocpheeckhy	qocpheeckhy	1	3	ONE_ASCII_FRAGMENT
RF1b|f100r.12|G004	RF1b	f100r	f100r.12	4	9	DEFINITE_SPACE	DEFINITE_SPACE	shodol	shodol	1	4	ONE_ASCII_FRAGMENT
RF1b|f100r.12|G005	RF1b	f100r	f100r.12	5	9	DEFINITE_SPACE	DEFINITE_SPACE	{c@132;h}da@168;oto	da oto	2	5,6	MULTI_ASCII_FRAGMENT
RF1b|f100r.12|G006	RF1b	f100r	f100r.12	6	9	DEFINITE_SPACE	DEFINITE_SPACE	chqeos	chqeos	1	7	ONE_ASCII_FRAGMENT
RF1b|f100r.12|G007	RF1b	f100r	f100r.12	7	9	DEFINITE_SPACE	DEFINITE_SPACE	sheey	sheey	1	8	ONE_ASCII_FRAGMENT
RF1b|f100r.12|G008	RF1b	f100r	f100r.12	8	9	DEFINITE_SPACE	DEFINITE_SPACE	ch{cthh'}o	cho	1	9	ONE_ASCII_FRAGMENT
RF1b|f100r.12|G009	RF1b	f100r	f100r.12	9	9	DEFINITE_SPACE	LINE_END	s	s	1	10	ONE_ASCII_FRAGMENT
RF1b|f100r.15|G001	RF1b	f100r	f100r.15	1	7	LINE_START	DEFINITE_SPACE	dcheor	dcheor	1	1	ONE_ASCII_FRAGMENT
RF1b|f100r.15|G002	RF1b	f100r	f100r.15	2	7	DEFINITE_SPACE	DEFINITE_SPACE	shol	shol	1	2	ONE_ASCII_FRAGMENT
RF1b|f100r.15|G003	RF1b	f100r	f100r.15	3	7	DEFINITE_SPACE	DEFINITE_SPACE	qokeeol	qokeeol	1	3	ONE_ASCII_FRAGMENT
RF1b|f100r.15|G004	RF1b	f100r	f100r.15	4	7	DEFINITE_SPACE	DEFINITE_SPACE	chor	chor	1	4	ONE_ASCII_FRAGMENT
RF1b|f100r.15|G005	RF1b	f100r	f100r.15	5	7	DEFINITE_SPACE	DEFINITE_SPACE	chol	chol	1	5	ONE_ASCII_FRAGMENT
RF1b|f100r.15|G006	RF1b	f100r	f100r.15	6	7	DEFINITE_SPACE	DEFINITE_SPACE	qokeeody	qokeeody	1	6	ONE_ASCII_FRAGMENT
RF1b|f100r.15|G007	RF1b	f100r	f100r.15	7	7	DEFINITE_SPACE	LINE_END	d@221;rea	d rea	2	7,8	MULTI_ASCII_FRAGMENT
RF1b|f100r.24|G001	RF1b	f100r	f100r.24	1	9	LINE_START	DEFINITE_SPACE	saiichor	saiichor	1	1	ONE_ASCII_FRAGMENT
RF1b|f100r.24|G002	RF1b	f100r	f100r.24	2	9	DEFINITE_SPACE	DEFINITE_SPACE	sheor	sheor	1	2	ONE_ASCII_FRAGMENT
RF1b|f100r.24|G003	RF1b	f100r	f100r.24	3	9	DEFINITE_SPACE	DEFINITE_SPACE	qockhody	qockhody	1	3	ONE_ASCII_FRAGMENT
RF1b|f100r.24|G004	RF1b	f100r	f100r.24	4	9	DEFINITE_SPACE	DEFINITE_SPACE	odeor	odeor	1	4	ONE_ASCII_FRAGMENT
RF1b|f100r.24|G005	RF1b	f100r	f100r.24	5	9	DEFINITE_SPACE	DEFINITE_SPACE	yksheey	yksheey	1	5	ONE_ASCII_FRAGMENT
RF1b|f100r.24|G006	RF1b	f100r	f100r.24	6	9	DEFINITE_SPACE	DEFINITE_SPACE	cholsheody	cholsheody	1	6	ONE_ASCII_FRAGMENT
RF1b|f100r.24|G007	RF1b	f100r	f100r.24	7	9	DEFINITE_SPACE	DEFINITE_SPACE	sai	sai	1	7	ONE_ASCII_FRAGMENT
RF1b|f100r.24|G008	RF1b	f100r	f100r.24	8	9	DEFINITE_SPACE	DEFINITE_SPACE	cheol	cheol	1	8	ONE_ASCII_FRAGMENT
RF1b|f100r.24|G009	RF1b	f100r	f100r.24	9	9	DEFINITE_SPACE	LINE_END	saiin	saiin	1	9	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G001	RF1b	f100r	f100r.25	1	10	LINE_START	DEFINITE_SPACE	sheor	sheor	1	1	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G002	RF1b	f100r	f100r.25	2	10	DEFINITE_SPACE	DEFINITE_SPACE	qkeeody	qkeeody	1	2	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G003	RF1b	f100r	f100r.25	3	10	DEFINITE_SPACE	DEFINITE_SPACE	chol	chol	1	3	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G004	RF1b	f100r	f100r.25	4	10	DEFINITE_SPACE	DEFINITE_SPACE	daiin	daiin	1	4	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G005	RF1b	f100r	f100r.25	5	10	DEFINITE_SPACE	DEFINITE_SPACE	ctheol	ctheol	1	5	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G006	RF1b	f100r	f100r.25	6	10	DEFINITE_SPACE	DEFINITE_SPACE	olcheol	olcheol	1	6	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G007	RF1b	f100r	f100r.25	7	10	DEFINITE_SPACE	DEFINITE_SPACE	cheky	cheky	1	7	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G008	RF1b	f100r	f100r.25	8	10	DEFINITE_SPACE	DEFINITE_SPACE	cheol	cheol	1	8	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G009	RF1b	f100r	f100r.25	9	10	DEFINITE_SPACE	DEFINITE_SPACE	cheockhy	cheockhy	1	9	ONE_ASCII_FRAGMENT
RF1b|f100r.25|G010	RF1b	f100r	f100r.25	10	10	DEFINITE_SPACE	LINE_END	okeol	okeol	1	10	ONE_ASCII_FRAGMENT
RF1b|f100r.26|G001	RF1b	f100r	f100r.26	1	11	LINE_START	UNCERTAIN_SMALL_SPACE	y	y	1	1	ONE_ASCII_FRAGMENT
RF1b|f100r.26|G002	RF1b	f100r	f100r.26	2	11	UNCERTAIN_SMALL_SPACE	DEFINITE_SPACE	aiin	aiin	1	2	ONE_ASCII_FRAGMENT
RF1b|f100r.26|G003	RF1b	f100r	f100r.26	3	11	DEFINITE_SPACE	DEFINITE_SPACE	chekeey	chekeey	1	3	ONE_ASCII_FRAGMENT
RF1b|f100r.26|G004	RF1b	f100r	f100r.26	4	11	DEFINITE_SPACE	DEFINITE_SPACE	chol	chol	1	4	ONE_ASCII_FRAGMENT
RF1b|f100r.26|G005	RF1b	f100r	f100r.26	5	11	DEFINITE_SPACE	DEFINITE_SPACE	cholody	cholody	1	5	ONE_ASCII_FRAGMENT
