field_id	record_unit_id	loci	statement_ids	events	event_ids	owner_zones	card_sequence_de
F021	B1	f81v.2	B1-S001	1	E101	B1_SHARED_POOL_WORKSTATION	kurz ansetzen; Schluss
F022	B1	f81v.2	B1-S002	11	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112	B1_SHARED_POOL_WORKSTATION	bemessen > Beckenwasser > an die Stelle setzen > dasselbe > fortsetzen > eine Portion > weitere Portion > Stelle > fortsetzen > noch warm > Zusatz
F023	B1	f81v.7	B1-S002	8	E113|E114|E115|E116|E117|E118|E119|E120	B1_SHARED_POOL_WORKSTATION	weiterer Ansatz > fortsetzen > kurz an der Durchlassstelle > Mass > länger an der Stelle halten > Mass > durchführen > überführen; Schluss
F024	B1	f81v.7	B1-S003	1	E121	B1_SHARED_POOL_WORKSTATION	fortsetzen
F025	B1	f81v.17	B1-S003	1	E122	B1_SHARED_POOL_WORKSTATION	Sonderumsetzung; Schluss
F026	B1	f81v.17	B1-S004	3	E123|E124|E125	B1_SHARED_POOL_WORKSTATION	dies umsetzen > fortsetzen > kurz absetzen; Schluss
F027	B1	f81v.17	B1-S005	1	E126	B1_SHARED_POOL_WORKSTATION	weiterführen; Schluss
F028	B1	f81v.17	B1-S006	4	E127|E128|E129|E130	B1_SHARED_POOL_WORKSTATION	eine Portion zugeben > durchführen > Zusatz > abkühlen
F029	B1	f81v.18	B1-S007	1	E131	B1_SHARED_POOL_WORKSTATION	Ansatz umsetzen; Schluss
F030	B1	f81v.18	B1-S008	5	E132|E133|E134|E135|E136	B1_SHARED_POOL_WORKSTATION	dies > fortsetzen > kurz wärmen > fortsetzen > kurz absetzen; Schluss
F031	B1	f81v.18	B1-S009	1	E137	B1_SHARED_POOL_WORKSTATION	kurz ansetzen; Schluss
F032	B1	f81v.18	B1-S010	1	E138	B1_SHARED_POOL_WORKSTATION	kurz ansetzen; Schluss
F033	B1	f81v.18	B1-S011	2	E139|E140	B1_SHARED_POOL_WORKSTATION	durchführen > verwende dies
F034	B1	f81v.21	B1-S012	3	E141|E142|E143	B1_SHARED_POOL_WORKSTATION	Waschgang > kurz ansetzen > waschen; Schluss
F035	B1	f81v.21	B1-S013	1	E144	B1_SHARED_POOL_WORKSTATION	waschen; Schluss
F036	B1	f81v.21	B1-S014	5	E145|E146|E147|E148|E149	B1_SHARED_POOL_WORKSTATION	dies umsetzen > Arbeitsstelle > zum Auslass führen > fortsetzen > danach von dort
F037	B1	f81v.24	B1-S015	2	E150|E151	B1_SHARED_POOL_WORKSTATION	füllen > Ansatz umsetzen; Schluss
F038	B1	f81v.24	B1-S016	4	E152|E153|E154|E155	B1_SHARED_POOL_WORKSTATION	an die Stelle setzen > länger ansetzen > fortsetzen > kurz absetzen; Schluss
F039	B1	f81v.24	B1-S017	3	E156|E157|E158	B1_SHARED_POOL_WORKSTATION	Stelle > erste Öffnung > umsetzen; Schluss
F040	B1	f81v.24	B1-S018	1	E159	B1_SHARED_POOL_WORKSTATION	Empfangsgefäß
F041	B1	f81v.27	B1-S018	3	E160|E161|E162	B1_SHARED_POOL_WORKSTATION	kurz halten > Sollstand > länger auffangen; Schluss
F042	B1	f81v.27	B1-S019	1	E163	B1_SHARED_POOL_WORKSTATION	kurz absetzen; Schluss
F043	B1	f81v.27	B1-S020	2	E164|E165	B1_SHARED_POOL_WORKSTATION	kurz wärmen > seihen; Schluss
F044	B1	f81v.27	B1-S021	1	E166	B1_SHARED_POOL_WORKSTATION	Stelle
F045	B2	f82r.2	B2-S001	1	E167	B2_ZONE_A_UPPER_STATIONS	überführen; Schluss
F046	B2	f82r.2	B2-S002	1	E168	B2_ZONE_A_UPPER_STATIONS	weiterführen; Schluss
F047	B2	f82r.2	B2-S003	3	E169|E170|E171	B2_ZONE_A_UPPER_STATIONS	eine Portion zugeben > dies > länger ansetzen; Schluss
F048	B2	f82r.2	B2-S004	3	E172|E173|E174	B2_ZONE_A_UPPER_STATIONS	an die Stelle setzen > dies zum Durchlass führen > hinausführen
F049	B2	f82r.3	B2-S004	2	E175|E176	B2_ZONE_A_UPPER_STATIONS	länger ansetzen > hinaus seihen; Schluss
F050	B2	f82r.3	B2-S005	4	E177|E178|E179|E180	B2_ZONE_A_UPPER_STATIONS	dies an die Stelle setzen > Seihtuch > durchführen > bemessen
F051	B2	f82r.4	B2-S005	4	E181|E182|E183|E184	B2_ZONE_A_UPPER_STATIONS	bemessen > gleiche Einstellung > dies länger wärmen > abführen; Schluss
F052	B2	f82r.4	B2-S006	4	E185|E186|E187|E188	B2_ZONE_A_UPPER_STATIONS	nächsten Posten länger halten > an die Stelle setzen > dies kurz durchführen > verwende dies
F053	B2	f82r.7	B2-S007	1	E189	B2_ZONE_B_SIDE_POOL	Frischwasser; Schluss
F054	B2	f82r.7	B2-S008	3	E190|E191|E192	B2_ZONE_B_SIDE_POOL	nächstes Maß > von dort einsetzen > kurz absetzen; Schluss
F055	B2	f82r.7	B2-S009	1	E193	B2_ZONE_B_SIDE_POOL	mit dem Vorigen kurz absetzen; Schluss
F056	B2	f82r.7	B2-S010	4	E194|E195|E196|E197	B2_ZONE_B_SIDE_POOL	länger ansetzen > verwende dies > erste Öffnung > Klarauszug
F057	B2	f82r.19	B2-S011	4	E198|E199|E200|E201	B2_ZONE_C_CENTRAL_VESSEL	eine Portion zugeben > dasselbe > eine Portion zugeben > länger ansetzen; Schluss
F058	B2	f82r.19	B2-S012	1	E202	B2_ZONE_C_CENTRAL_VESSEL	dies abziehen
F059	B2	f82r.23	B2-S012	7	E203|E204|E205|E206|E207|E208|E209	B2_ZONE_D_LOWER_STATIONS	Klarauszug > dies kurz bereithalten > länger ansetzen > dies länger abziehen > Mass > dies > vollständig ansetzen; Schluss
F060	B2	f82r.23	B2-S013	1	E210	B2_ZONE_D_LOWER_STATIONS	hinausführen; Schluss
F061	B2	f82r.23	B2-S014	1	E211	B2_ZONE_D_LOWER_STATIONS	von dort abführen
F062	B2	f82r.26	B2-S015	2	E212|E213	B2_ZONE_E_TERMINAL_CELL_ROW	Spülwasser > länger ansetzen; Schluss
F063	B2	f82r.26	B2-S016	7	E214|E215|E216|E217|E218|E219|E220	B2_ZONE_E_TERMINAL_CELL_ROW	Stelle > von dort hinausführen > gleiche Anteile > Mass > nächsten Posten länger halten > bemessen > kurz ansetzen
F064	B2	f82r.27	B2-S016	1	E221	B2_ZONE_E_TERMINAL_CELL_ROW	hineinführen; Schluss
F065	B2	f82r.27	B2-S017	2	E222|E223	B2_ZONE_E_TERMINAL_CELL_ROW	Waschflüssigkeit an die Stelle > zweite Öffnung; Ende
F066	B2	f82r.27	B2-S018	1	E224	B2_ZONE_E_TERMINAL_CELL_ROW	länger ansetzen; Schluss
F067	B2	f82r.27	B2-S019	1	E225	B2_ZONE_E_TERMINAL_CELL_ROW	Waschung; Schluss
F068	B2	f82r.27	B2-S020	1	E226	B2_ZONE_E_TERMINAL_CELL_ROW	nächsten Schritt länger halten; Schluss
F069	B2	f82r.27	B2-S021	1	E227	B2_ZONE_E_TERMINAL_CELL_ROW	länger ansetzen; Schluss
F070	B2	f82r.27	B2-S022	1	E228	B2_ZONE_E_TERMINAL_CELL_ROW	hinausführen; Schluss
F071	B3	f83r.3	B3-S001	1	E229	B3_ZONE_A_UPPER_PAIRED_STATION	länger auffangen; Schluss
F072	B3	f83r.3	B3-S002	2	E230|E231	B3_ZONE_A_UPPER_PAIRED_STATION	Folgestelle > länger wärmen; Schluss
F073	B3	f83r.3	B3-S003	4	E232|E233|E234|E235	B3_ZONE_A_UPPER_PAIRED_STATION	dies > Mass > dies > hinausführen; Schluss
F074	B3	f83r.3	B3-S004	3	E236|E237|E238	B3_ZONE_A_UPPER_PAIRED_STATION	bemessen > Folgestelle > dasselbe
F075	B3	f83r.6	B3-S005	1	E239	B3_ZONE_A_UPPER_PAIRED_STATION	überführen; Schluss
F076	B3	f83r.6	B3-S006	3	E240|E241|E242	B3_ZONE_A_UPPER_PAIRED_STATION	dies überführen > an die Stelle setzen > weiterführen; Schluss
F077	B3	f83r.6	B3-S007	3	E243|E244|E245	B3_ZONE_A_UPPER_PAIRED_STATION	bemessen > dies umsetzen > länger ansetzen; Schluss
F078	B3	f83r.6	B3-S008	1	E246	B3_ZONE_A_UPPER_PAIRED_STATION	hinausführen; Schluss
F079	B3	f83r.6	B3-S009	1	E247	B3_ZONE_A_UPPER_PAIRED_STATION	verwende dies
F080	B3	f83r.8	B3-S010	2	E248|E249	B3_ZONE_A_UPPER_PAIRED_STATION	an der Stelle hineinführen > kurzer Folgeschritt; Schluss
F081	B3	f83r.8	B3-S011	4	E250|E251|E252|E253	B3_ZONE_A_UPPER_PAIRED_STATION	aufstreichen > verwende dies > dies umsetzen > abkühlen
F082	B3	f83r.11	B3-S012	2	E254|E255	B3_ZONE_A_UPPER_PAIRED_STATION	Ansatz > kurz absetzen; Schluss
F083	B3	f83r.11	B3-S013	4	E256|E257|E258|E259	B3_ZONE_A_UPPER_PAIRED_STATION	bemessen > eine Portion > dies kurz bereithalten > kurz ansetzen; Schluss
F084	B3	f83r.11	B3-S014	2	E260|E261	B3_ZONE_A_UPPER_PAIRED_STATION	Laufflüssigkeit in Gang setzen > länger absetzen; Schluss
F085	B3	f83r.11	B3-S015	1	E262	B3_ZONE_A_UPPER_PAIRED_STATION	hinausführen; Schluss
F086	B3	f83r.11	B3-S016	1	E263	B3_ZONE_A_UPPER_PAIRED_STATION	Abgang
F087	B3	f83r.14	B3-S016	1	E264	B3_ZONE_B_MIDDLE_STATION	Ansatz umsetzen; Schluss
F088	B3	f83r.14	B3-S017	1	E265	B3_ZONE_B_MIDDLE_STATION	länger ansetzen; Schluss
F089	B3	f83r.14	B3-S018	1	E266	B3_ZONE_B_MIDDLE_STATION	kurz absetzen; Schluss
F090	B3	f83r.14	B3-S019	1	E267	B3_ZONE_B_MIDDLE_STATION	kurz absetzen; Schluss
F091	B3	f83r.14	B3-S020	2	E268|E269	B3_ZONE_B_MIDDLE_STATION	Stelle > hinausführen; Schluss
F092	B3	f83r.14	B3-S021	4	E270|E271|E272|E273	B3_ZONE_B_MIDDLE_STATION	bemessen > bereit > Stelle > dies
F093	B3	f83r.15	B3-S021	7	E274|E275|E276|E277|E278|E279|E280	B3_ZONE_B_MIDDLE_STATION	Mass > an der Stelle absetzen > temperiert > dies > Stelle > bereit > an der Stelle überführen; Schluss
F094	B3	f83r.15	B3-S022	1	E281	B3_ZONE_B_MIDDLE_STATION	Folgeüberführung; Schluss
F095	B3	f83r.15	B3-S023	1	E282	B3_ZONE_B_MIDDLE_STATION	hinausführen; Schluss
F096	B3	f83r.16	B3-S024	1	E283	B3_ZONE_B_MIDDLE_STATION	überführen; Schluss
F097	B3	f83r.16	B3-S025	1	E284	B3_ZONE_B_MIDDLE_STATION	Ansatz umsetzen; Schluss
