card_no	joint_tuple_id	surfaces	events	event_ids	records	origin_deck	origin_drawer	union_drawer	small_value_de
BIOC003	22fb87a5a83e5c3fb510	kair	1	E103	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Beckenwasser
BIOC010	1496a731803a9f48d2e1	rol	1	E111	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	noch warm
BIOC011	0f18de177ed7c878bf95	dl	2	E112|E129	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Zusatz
BIOC018	54e32e9c1414b20640e9	sshkchdy	1	E122	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Sonderumsetzung; Schluss
BIOC023	4da0f0f7b5fc7ac20067	ral	1	E130	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	abkühlen
BIOC028	be0974b366c981dc1eef	lsho	1	E141	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Waschgang
BIOC030	2e7e89e0bd12b999c280	lshedy	2	E143|E144	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	waschen; Schluss
BIOC031	c205570c49d4d93c23d3	qolky	1	E146	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Arbeitsstelle
BIOC034	a7af89ab31ce5e247395	ytey	1	E150	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	füllen
BIOC037	a06244ef1f2b37ca44c1	teol	1	E157	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	erste Öffnung
BIOC038	d225b7a7b95da7aee437	dchdy	1	E158	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	umsetzen; Schluss
BIOC039	b38d70daefd663d74625	ly	1	E159	B1	B1	POOL_LOCAL_LEARNED_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Empfangsgefäß
BIOC049	2d2e37ccb2dacc53ee5a	solkaiin	1	E178	B2	B2	B2_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Seihtuch
BIOC050	a8f891de626fc00028e9	octheol	1	E182	B2	B2	B2_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	gleiche Einstellung
BIOC055	cbb42a4fe68068325d6b	dshedy	1	E189	B2	B2	B2_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Frischwasser; Schluss
BIOC059	5eff216ba51fbfb21f22	ls	1	E196	B2	B2	B2_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	erste Öffnung
BIOC067	d4a31dbcf1ed6d9e5aa9	tshey	1	E212	B2	B2	B2_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Spülwasser
BIOC069	db729b598e89e11452e0	ches	1	E216	B2	B2	B2_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	gleiche Anteile
BIOC072	78b3b3140714da19090d	daldy	1	E223	B2	B2	B2_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	zweite Öffnung; Ende
BIOC073	7f68f60279efe6b28cd7	rshedy	1	E225	B2	B2	B2_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Waschung; Schluss
BIOC081	348e81ba084c5acdb32b	shecthedchy	1	E250	B3	B3	B3_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	aufstreichen
BIOC082	0bdc8b6db811b4e67a63	chary	1	E253	B3	B3	B3_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	abkühlen
BIOC086	2b7fa918d1b2f5c656e3	lo	1	E263	B3	B3	B3_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Abgang
BIOC090	cb57b696b815fdef9cb7	shecthy	1	E276	B3	B3	B3_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	temperiert
BIOC093	342c3f0777337648f4b3	cheedar	1	E285	B3	B3	B3_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Quellstation
BIOC094	d72f71baff01cd0a0406	chldaiin	1	E286	B3	B3	B3_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Absetzmaß
BIOC095	d788d8d72d41b25a3c71	chealror	1	E290	B3	B3	B3_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Auffangpunkt
BIOC100	80ebbbbf238eee9f0aef	chety	1	E311	B3	B3	B3_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	zerkleinern
BIOC116	883a6708116c342cb10b	skar	1	E360	B4	B4	B4_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	Ausguss
BIOC118	8c97dfde96fbc78e3355	lol	1	E367	B5	B56	B5_B6_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	warm
BIOC122	43eb9aa12959b4d5cdc9	qekey	1	E374	B6	B56	B5_B6_LOCAL_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	roh
