order	event_id	record_unit_id	page	locus	field_id	statement_id	surface	joint_tuple_id	small_value_de	owner_zone	selected_record_deck	union_drawer
1	E101	B1	f81v	f81v.2	F021	B1-S001	qokedy	7db18b2f0fb7ed0fcfd3	kurz ansetzen; Schluss	B1_SHARED_POOL_WORKSTATION	B1	PRODUCTIVE_COMPOSITION
2	E102	B1	f81v	f81v.2	F022	B1-S002	okaiin	b5fcea1eaed06b2f2291	bemessen	B1_SHARED_POOL_WORKSTATION	B1	PRODUCTIVE_COMPOSITION
3	E103	B1	f81v	f81v.2	F022	B1-S002	kair	22fb87a5a83e5c3fb510	Beckenwasser	B1_SHARED_POOL_WORKSTATION	B1	RECORD_LOCAL_LEARNED_WHOLE_CARD
4	E104	B1	f81v	f81v.2	F022	B1-S002	okal	308e8ea2d5d190c498e8	an die Stelle setzen	B1_SHARED_POOL_WORKSTATION	B1	PRODUCTIVE_COMPOSITION
5	E105	B1	f81v	f81v.2	F022	B1-S002	sar	4d4559019a961b834aa1	dasselbe	B1_SHARED_POOL_WORKSTATION	B1	PORTABLE_LEARNED_WHOLE_CARD
6	E106	B1	f81v	f81v.2	F022	B1-S002	ol	dcda95c81a5460feb191	fortsetzen	B1_SHARED_POOL_WORKSTATION	B1	PRODUCTIVE_COMPOSITION
7	E107	B1	f81v	f81v.2	F022	B1-S002	kain	9da1b6ac2c929daea697	eine Portion	B1_SHARED_POOL_WORKSTATION	B1	PRODUCTIVE_COMPOSITION
8	E108	B1	f81v	f81v.2	F022	B1-S002	olkain	94df4847b7b16c98394a	weitere Portion	B1_SHARED_POOL_WORKSTATION	B1	PRODUCTIVE_COMPOSITION
9	E109	B1	f81v	f81v.2	F022	B1-S002	al	dd0ecaf5e27d81befffc	Stelle	B1_SHARED_POOL_WORKSTATION	B1	PRODUCTIVE_COMPOSITION
10	E110	B1	f81v	f81v.2	F022	B1-S002	ol	dcda95c81a5460feb191	fortsetzen	B1_SHARED_POOL_WORKSTATION	B1	PRODUCTIVE_COMPOSITION
11	E111	B1	f81v	f81v.2	F022	B1-S002	rol	1496a731803a9f48d2e1	noch warm	B1_SHARED_POOL_WORKSTATION	B1	RECORD_LOCAL_LEARNED_WHOLE_CARD
