record	at	word	mode	reading
F83_P1	f83r.1:1	tchedy	A	⟦tchedy⟧
F83_P1	f83r.1:2	lpchedy	A	⟦lpchedy⟧
F83_P1	f83r.1:3	opedy	A	⟦opedy⟧
F83_P1	f83r.1:4	chepol	A	⟦chepol⟧
F83_P1	f83r.1:5	pchedar	A	⟦pchedar⟧
F83_P1	f83r.1:6	shedy	A	⟦shedy⟧
F83_P1	f83r.1:7	qopchedy	A	⟦qopchedy⟧
F83_P1	f83r.1:1	tchedy	U	⟦tchedy⟧
F83_P1	f83r.1:2	lpchedy	U	⟦lpchedy⟧
F83_P1	f83r.1:3	opedy	U	⟦opedy⟧
F83_P1	f83r.1:4	chepol	U	⟦chepol⟧
F83_P1	f83r.1:5	pchedar	U	⟦pchedar⟧
F83_P1	f83r.1:6	shedy	U	⟦shedy⟧
F83_P1	f83r.1:7	qopchedy	U	⟦qopchedy⟧
F83_P1	f83r.2:1	sol	A	[folglich?]
F83_P1	f83r.2:2	cheey	A	⟦cheey⟧
F83_P1	f83r.2:3	qokaiin	A	⟦qokaiin⟧
F83_P1	f83r.2:4	shol	A	⟦shol⟧
F83_P1	f83r.2:5	lchs	A	⟦lchs⟧
F83_P1	f83r.2:6	shey	A	⟦shey⟧
F83_P1	f83r.2:7	qoteedy	A	P
F83_P1	f83r.2:8	rches	A	⟦rches⟧
F83_P1	f83r.2:9	ar	A	⟦ar⟧
F83_P1	f83r.2:10	chedy	A	R
F83_P1	f83r.2:11	dor	A	⟦dor⟧
F83_P1	f83r.2:1	sol	U	[ferner gilt?]
F83_P1	f83r.2:2	cheey	U	⟦cheey⟧
F83_P1	f83r.2:3	qokaiin	U	⟦qokaiin⟧
F83_P1	f83r.2:4	shol	U	⟦shol⟧
F83_P1	f83r.2:5	lchs	U	⟦lchs⟧
F83_P1	f83r.2:6	shey	U	⟦shey⟧
F83_P1	f83r.2:7	qoteedy	U	P
F83_P1	f83r.2:8	rches	U	⟦rches⟧
F83_P1	f83r.2:9	ar	U	⟦ar⟧
F83_P1	f83r.2:10	chedy	U	R
F83_P1	f83r.2:11	dor	U	⟦dor⟧
F83_P1	f83r.3:1	olkeedy	A	⟦olkeedy⟧
F83_P1	f83r.3:2	qotal	A	⟦qotal⟧
F83_P1	f83r.3:3	chkeedy	A	⟦chkeedy⟧
F83_P1	f83r.3:4	chey	A	⟦chey⟧
F83_P1	f83r.3:5	daiin	A	⟦daiin⟧
F83_P1	f83r.3:6	chey	A	⟦chey⟧
F83_P1	f83r.3:7	lchedy	A	⟦lchedy⟧
F83_P1	f83r.3:8	qokaiin	A	⟦qokaiin⟧
F83_P1	f83r.3:9	qotal	A	⟦qotal⟧
F83_P1	f83r.3:10	dar	A	⟦dar⟧
F83_P1	f83r.3:1	olkeedy	U	⟦olkeedy⟧
F83_P1	f83r.3:2	qotal	U	⟦qotal⟧
F83_P1	f83r.3:3	chkeedy	U	⟦chkeedy⟧
F83_P1	f83r.3:4	chey	U	⟦chey⟧
F83_P1	f83r.3:5	daiin	U	⟦daiin⟧
F83_P1	f83r.3:6	chey	U	⟦chey⟧
F83_P1	f83r.3:7	lchedy	U	⟦lchedy⟧
F83_P1	f83r.3:8	qokaiin	U	⟦qokaiin⟧
F83_P1	f83r.3:9	qotal	U	⟦qotal⟧
F83_P1	f83r.3:10	dar	U	⟦dar⟧
F83_P1	f83r.4:1	qokshedy	A	⟦qokshedy⟧
F83_P1	f83r.4:2	chedy	A	R
F83_P1	f83r.4:3	qokedy	A	Q
F83_P1	f83r.4:4	chkedy	A	⟦chkedy⟧
F83_P1	f83r.4:5	daiin	A	⟦daiin⟧
F83_P1	f83r.4:6	shetar	A	⟦shetar⟧
F83_P1	f83r.4:7	shedy	A	⟦shedy⟧
F83_P1	f83r.4:8	qekaiin	A	⟦qekaiin⟧
F83_P1	f83r.4:9	chedy	A	R
F83_P1	f83r.4:1	qokshedy	U	⟦qokshedy⟧
F83_P1	f83r.4:2	chedy	U	R
F83_P1	f83r.4:3	qokedy	U	Q
F83_P1	f83r.4:4	chkedy	U	⟦chkedy⟧
F83_P1	f83r.4:5	daiin	U	⟦daiin⟧
F83_P1	f83r.4:6	shetar	U	⟦shetar⟧
F83_P1	f83r.4:7	shedy	U	⟦shedy⟧
F83_P1	f83r.4:8	qekaiin	U	⟦qekaiin⟧
F83_P1	f83r.4:9	chedy	U	R
F83_P1	f83r.5:1	deey	A	⟦deey⟧
F83_P1	f83r.5:2	qotaiin	A	⟦qotaiin⟧
F83_P1	f83r.5:3	checkhy	A	⟦checkhy⟧
F83_P1	f83r.5:4	qoty	A	⟦qoty⟧
F83_P1	f83r.5:5	cheg	A	⟦cheg⟧
F83_P1	f83r.5:6	shedy	A	⟦shedy⟧
F83_P1	f83r.5:7	qokeey	A	[wenn … dann …?]
F83_P1	f83r.5:8	rchedy	A	⟦rchedy⟧
F83_P1	f83r.5:9	qoteedy	A	P
F83_P1	f83r.5:10	lo	A	⟦lo⟧
F83_P1	f83r.5:1	deey	U	⟦deey⟧
F83_P1	f83r.5:2	qotaiin	U	⟦qotaiin⟧
F83_P1	f83r.5:3	checkhy	U	⟦checkhy⟧
F83_P1	f83r.5:4	qoty	U	⟦qoty⟧
F83_P1	f83r.5:5	cheg	U	⟦cheg⟧
F83_P1	f83r.5:6	shedy	U	⟦shedy⟧
F83_P1	f83r.5:7	qokeey	U	[wenn … dann …?]
F83_P1	f83r.5:8	rchedy	U	⟦rchedy⟧
F83_P1	f83r.5:9	qoteedy	U	P
F83_P1	f83r.5:10	lo	U	⟦lo⟧
F83_P1	f83r.6:1	schedy	A	⟦schedy⟧
F83_P1	f83r.6:2	chedchy	A	⟦chedchy⟧
F83_P1	f83r.6:3	qokal	A	⟦qokal⟧
F83_P1	f83r.6:4	olchedy	A	⟦olchedy⟧
F83_P1	f83r.6:5	qokaiin	A	⟦qokaiin⟧
F83_P1	f83r.6:6	chedy	A	R
F83_P1	f83r.6:7	qokeedy	A	⟦qokeedy⟧
F83_P1	f83r.6:8	lchedy	A	⟦lchedy⟧
F83_P1	f83r.6:9	qoky	A	⟦qoky⟧
F83_P1	f83r.6:1	schedy	U	⟦schedy⟧
F83_P1	f83r.6:2	chedchy	U	⟦chedchy⟧
F83_P1	f83r.6:3	qokal	U	⟦qokal⟧
F83_P1	f83r.6:4	olchedy	U	⟦olchedy⟧
