record	at	word	status	left	right	left_atom	right_atom	intervening
F83_P1	f83r.2:1	sol	BOUND		f83r.2:7		P	"{""right"": [""f83r.2:2"", ""f83r.2:3"", ""f83r.2:4"", ""f83r.2:5"", ""f83r.2:6""]}"
F83_P1	f83r.5:7	qokeey	BOUND	f83r.4:9	f83r.5:9	R	P	"{""left"": [""f83r.5:1"", ""f83r.5:2"", ""f83r.5:3"", ""f83r.5:4"", ""f83r.5:5"", ""f83r.5:6""], ""right"": [""f83r.5:8""]}"
F83_P3	f83r.20:3	qokeey	BOUND	f83r.20:2	f83r.20:4	P	Q	"{""left"": [], ""right"": []}"
F83_P3	f83r.20:5	sol	BOUND		f83r.20:7		Q	"{""right"": [""f83r.20:6""]}"
F83_P3	f83r.21:4	sol	BOUND		f83r.21:5		R	"{""right"": []}"
F83_P4	f83r.25:3	qokeey	UNBOUND		f83r.25:4		Q	"{""right"": []}"
F83_P4	f83r.26:2	qokeey	BOUND	f83r.25:5	f83r.27:2	R	R	"{""left"": [""f83r.25:6"", ""f83r.26:1""], ""right"": [""f83r.26:3"", ""f83r.26:4"", ""f83r.26:5"", ""f83r.26:6"", ""f83r.27:1""]}"
F83_P5	f83r.37:1	sol	UNBOUND					{}
F83_P5	f83r.42:1	sol	BOUND		f83r.42:5		R	"{""right"": [""f83r.42:2"", ""f83r.42:3"", ""f83r.42:4""]}"
F83_Q1	f83r.49:1	sol	BOUND		f83r.49:3		R	"{""right"": [""f83r.49:2""]}"
F83_Q2	f83r.55:1	sol	UNBOUND					{}
