record	at	kind	formula	available_after
F83_P1	f83r.2:10	bare	R	f83r.2:10
F83_P1	f83r.4:2	bare	R	f83r.4:2
F83_P1	f83r.4:3	bare	Q	f83r.4:3
F83_P1	f83r.5:7	conditional	R -> P	f83r.5:9
F83_P1	f83r.6:6	bare	R	f83r.6:6
F83_P1	f83r.7:8	bare	Q	f83r.7:8
F83_P1	f83r.7:9	bare	P	f83r.7:9
F83_P1	f83r.7:10	bare	P	f83r.7:10
F83_P1	f83r.8:5	bare	R	f83r.8:5
F83_P2	f83r.9:3	bare	Q	f83r.9:3
F83_P2	f83r.11:6	bare	Q	f83r.11:6
F83_P2	f83r.12:8	bare	Q	f83r.12:8
F83_P2	f83r.13:7	bare	Q	f83r.13:7
F83_P2	f83r.16:5	bare	R	f83r.16:5
F83_P3	f83r.20:3	conditional	P -> Q	f83r.20:4
F83_P3	f83r.21:2	bare	Q	f83r.21:2
F83_P3	f83r.21:8	bare	Q	f83r.21:8
F83_P3	f83r.22:5	bare	R	f83r.22:5
F83_P3	f83r.23:5	bare	Q	f83r.23:5
F83_P3	f83r.23:9	bare	R	f83r.23:9
F83_P4	f83r.25:4	bare	Q	f83r.25:4
F83_P4	f83r.26:2	conditional	R -> R	f83r.27:2
F83_P4	f83r.28:4	bare	Q	f83r.28:4
F83_P5	f83r.43:3	bare	R	f83r.43:3
