branch	edition	paragraph	grammar	operation	form	meaning	patient	patient_form	coingredient	rule	debts	shared_run	additional_grammar_assumption	completion	row_status
C_A	ZL3b	f103r|f103r.27-f103r.29	B	f103r.27:2	okeey	erwärme vorsichtig				MISSING	MISSING_PATIENT			1	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	B	f103r.27:3	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			2	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	B	f103r.27:5	sheey	benetze				MISSING	MISSING_PATIENT			4	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	B	f103r.27:6	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			5	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	B	f103r.27:9	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			8	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	B	f103r.27:10	okeey	erwärme vorsichtig				MISSING	MISSING_PATIENT			9	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	B	f103r.28:6	qokeey	erhitze anhaltend	f103r.28:4	okaiin		LOCAL_LEFT	UNREAD_BETWEEN:f103r.28:5			16	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	B	f103r.28:10	cheey	zerreibe fein	f103r.28:4	okaiin		LOCAL_LEFT	UNREAD_BETWEEN:f103r.28:5;UNREAD_BETWEEN:f103r.28:7			20	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	B	f103r.29:4	qokeey	erhitze anhaltend	f103r.28:4	okaiin		PARAGRAPH_CARRY	UNREAD_BETWEEN:f103r.28:5;UNREAD_BETWEEN:f103r.28:7;UNREAD_BETWEEN:f103r.28:11;UNREAD_BETWEEN:f103r.29:1;UNREAD_BETWEEN:f103r.29:2;UNREAD_BETWEEN:f103r.29:3;IMPLICIT_SUBJECT_CONTINUATION			25	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	J	f103r.27:2	okeey	erwärme vorsichtig				MISSING	MISSING_PATIENT			1	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	J	f103r.27:3	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			2	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	J	f103r.27:5	sheey	benetze				MISSING	MISSING_PATIENT			4	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	J	f103r.27:6	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			5	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	J	f103r.27:9	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			8	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	J	f103r.27:10	okeey	erwärme vorsichtig				MISSING	MISSING_PATIENT			9	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	J	f103r.28:6	qokeey	erhitze anhaltend	f103r.28:4	okaiin		LOCAL_LEFT	UNREAD_BETWEEN:f103r.28:5			16	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	J	f103r.28:10	cheey	zerreibe fein	f103r.28:4	okaiin		LOCAL_LEFT	UNREAD_BETWEEN:f103r.28:5;UNREAD_BETWEEN:f103r.28:7			20	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	J	f103r.29:4	qokeey	erhitze anhaltend	f103r.28:4	okaiin		PARAGRAPH_CARRY	UNREAD_BETWEEN:f103r.28:5;UNREAD_BETWEEN:f103r.28:7;UNREAD_BETWEEN:f103r.28:11;UNREAD_BETWEEN:f103r.29:1;UNREAD_BETWEEN:f103r.29:2;UNREAD_BETWEEN:f103r.29:3;IMPLICIT_SUBJECT_CONTINUATION			25	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	M	f103r.27:2	okeey	erwärme vorsichtig				MISSING	MISSING_PATIENT			1	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	M	f103r.27:3	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			2	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	M	f103r.27:5	sheey	benetze				MISSING	MISSING_PATIENT			4	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	M	f103r.27:6	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			5	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	M	f103r.27:9	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			8	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	M	f103r.27:10	okeey	erwärme vorsichtig				MISSING	MISSING_PATIENT			9	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	M	f103r.28:6	qokeey	erhitze anhaltend	f103r.28:4	okaiin		LOCAL_LEFT	UNREAD_BETWEEN:f103r.28:5			16	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	M	f103r.28:10	cheey	zerreibe fein	f103r.28:4	okaiin		LOCAL_LEFT	UNREAD_BETWEEN:f103r.28:5;UNREAD_BETWEEN:f103r.28:7			20	recorded
C_A	ZL3b	f103r|f103r.27-f103r.29	M	f103r.29:4	qokeey	erhitze anhaltend	f103r.28:4	okaiin		PARAGRAPH_CARRY	UNREAD_BETWEEN:f103r.28:5;UNREAD_BETWEEN:f103r.28:7;UNREAD_BETWEEN:f103r.28:11;UNREAD_BETWEEN:f103r.29:1;UNREAD_BETWEEN:f103r.29:2;UNREAD_BETWEEN:f103r.29:3;IMPLICIT_SUBJECT_CONTINUATION			25	recorded
C_A	ZL3b	f103r|f103r.43-f103r.44	B	f103r.43:4	sheey	benetze				MISSING	MISSING_PATIENT			3	recorded
C_A	ZL3b	f103r|f103r.43-f103r.44	B	f103r.44:2	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			12	recorded
C_A	ZL3b	f103r|f103r.43-f103r.44	J	f103r.43:4	sheey	benetze				MISSING	MISSING_PATIENT			3	recorded
C_A	ZL3b	f103r|f103r.43-f103r.44	J	f103r.44:2	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			12	recorded
C_A	ZL3b	f103r|f103r.43-f103r.44	M	f103r.43:4	sheey	benetze				MISSING	MISSING_PATIENT			3	recorded
C_A	ZL3b	f103r|f103r.43-f103r.44	M	f103r.44:2	qokeey	erhitze anhaltend				MISSING	MISSING_PATIENT			12	recorded
