card_no	surfaces	graphic_component_parse	semantic_component_parse	consolidated_short_default_de	component_count	slot_signature	distinct_slots	repeated_slot	silent_fill_needed	occurrences	records	composition_status	action_components	grade_scope_assignments	grade_doctrine_names
PROC001	dchey	CH+E+Y	CH+E+Y	ABZIEHEN·KURZ·DIES	3	ACTION>GRADE>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H1	COMPOSITIONAL	CH	E->CH	SHORT_OR_LONG_DRAW
PROC002	cthoor	CTH+O+OR	CTH+O+OR	BEREIT·GANG·ANSATZ	3	STATE>OBJECT_MATERIAL>OBJECT_MATERIAL	2	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	1	H1	COMPOSITIONAL	NONE	NONE	NONE
PROC003	char|dar|sar	AR	AR	QUELLE	1	SOURCE_PATH_TARGET	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	5	H1|H2|B1|B2|B3	COMPOSITIONAL	NONE	NONE	NONE
PROC004	chety|chty	T+Y	T+Y	EINTRAGEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	2	H1|B3	COMPOSITIONAL	T	NONE	SHORT_OR_COMPLETE_ENTRY
PROC005	os	OS	OS	FACH	1	SOURCE_PATH_TARGET	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|NONACTION_ARGUMENT_OR_STATE_CARD	1	H1	LEARNED_WHOLE_CARD	NONE	NONE	NONE
PROC006	chair	CH+AIR	CH+AIR	ABZIEHEN·LAUF	2	ACTION>SOURCE_PATH_TARGET	2	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM	1	H1	COMPOSITIONAL	CH	NONE	SHORT_OR_LONG_DRAW
PROC007	otytchol	OT+Y+T+CH+OL	OT+Y+T+CH+OL	DANACH·DIES·EINTRAGEN·ABZIEHEN·FORTSETZEN	5	SEQUENCE>OBJECT_MATERIAL>ACTION>ACTION>SEQUENCE	3	YES	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H1	COMPOSITIONAL	T|CH	NONE	SHORT_OR_COMPLETE_ENTRY|SHORT_OR_LONG_DRAW
PROC008	choky|oky|qoky	OK+Y	OK+Y	ANSETZEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	10	H1|H5|B1|B2|B3|B4	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	AIIN	MASS	1	QUANTITY_STAGE	1	NO	OBJECT_FROM_IMAGE_OR_ACTIVE_ITEM|ADDRESS_FROM_OWNER_OR_CURRENT_STATION|NONACTION_ARGUMENT_OR_STATE_CARD	20	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	COMPOSITIONAL	NONE	NONE	NONE
PROC010	etyd	E+T+Y	E+T+Y	KURZ·EINTRAGEN·DIES	3	GRADE>ACTION>OBJECT_MATERIAL	3	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	1	H1	COMPOSITIONAL	T	E->T	SHORT_OR_COMPLETE_ENTRY
PROC011	chokchy|okchy|qokchy	OK+Y	OK+Y	ANSETZEN·DIES	2	ACTION>OBJECT_MATERIAL	2	NO	ADDRESS_FROM_OWNER_OR_CURRENT_STATION	3	H1|H5	COMPOSITIONAL	OK	NONE	SHORT_LONG_OR_FULL_APPLICATION
