action_component	action_word_de	doctrine	observed_grades	permitted_grades	practically_blocked_or_unneeded_grades	grade_card_ids	grade_card_types	grade_events	explanation_de	unobserved_permitted_grade
CFH	AUSWRINGEN	INHERENT_COMPLETION	NONE	NONE__INHERENT_OR_POINT_ACTION	KURZ|LANG|VOLL	NONE	0	0	AUSWRINGEN endet mit dem gewonnenen Auszug; kein eigener Zeitgrad nötig.	NONE
CH	ABZIEHEN	SHORT_OR_LONG_DRAW	KURZ|LANG	KURZ|LANG	VOLL	PROC001|PROC015|PROC045|PROC057|PROC061|PROC124	6	6	ABZIEHEN darf kurz oder länger laufen; VOLL wird durch Menge oder Ergebnis ersetzt.	NONE
CHD	UMSETZEN	UNIT_TRANSFER	NONE	NONE__INHERENT_OR_POINT_ACTION	KURZ|LANG|VOLL	NONE	0	0	UMSETZEN ist ein einzelner Transfer; weitere Dauer entsteht durch Wiederholung oder Folge.	NONE
CHK	WAERMEN	SHORT_OR_LONG_HEAT	KURZ|LANG	KURZ|LANG	VOLL	PROC046|PROC083|PROC107|PROC132	4	7	WAERMEN darf kurz oder lang sein; VOLL wäre praktisch Überbearbeitung und bleibt gesperrt.	NONE
K	ZUFUEHREN	PULSED_FEED	KURZ	KURZ	LANG|VOLL	PROC059|PROC066|PROC159|PROC171	4	4	ZUFUEHREN erfolgt kurz/stoßweise; Gesamtmenge kommt aus MASS oder PORTION.	NONE
L	FUEHREN	SHORT_OR_LONG_ROUTE	KURZ|LANG	KURZ|LANG	VOLL	PROC103|PROC118	2	2	FUEHREN kann einen kurzen oder längeren Lauf bezeichnen; der Weg setzt das Ende.	NONE
LD	BEFESTIGEN	FASTEN_ONCE	NONE	NONE__INHERENT_OR_POINT_ACTION	KURZ|LANG|VOLL	NONE	0	0	BEFESTIGEN geschieht einmal; die Haltezeit steht bei HALTEN, nicht im Befestigungswort.	NONE
LSH	WASCHEN	SHORT_WASH_CYCLE	KURZ	KURZ	LANG|VOLL	PROC086	1	2	WASCHEN erscheint als kurzer geschlossener Gang; längere Wirkung wird separat gehalten.	NONE
OK	ANSETZEN	SHORT_LONG_OR_FULL_APPLICATION	KURZ|LANG|VOLL	KURZ|LANG|VOLL	NONE	PROC067|PROC074|PROC085|PROC092|PROC100|PROC119|PROC158	7	30	ANSETZEN ist die volle Gradachse; VOLL erscheint nur mit SCHLUSS.	NONE
P	HINEIN	INSTANT_LOAD	NONE	NONE__INHERENT_OR_POINT_ACTION	KURZ|LANG|VOLL	NONE	0	0	HINEIN ist eine punktuelle Einfüllhandlung; Menge und Folge tragen die Ausdehnung.	NONE
R	KUEHLEN	COOL_TO_STATE	NONE	NONE__INHERENT_OR_POINT_ACTION	KURZ|LANG|VOLL	NONE	0	0	KUEHLEN läuft bis zum Fallzustand; das benachbarte KURZ gehört in der belegten Karte zu HALTEN.	NONE
S	TEILEN	DIVIDE_ONCE	NONE	NONE__INHERENT_OR_POINT_ACTION	KURZ|LANG|VOLL	NONE	0	0	TEILEN ist punktuell; das benachbarte KURZ gehört zu ABZIEHEN.	NONE
SH	HALTEN	SHORT_OR_LONG_HOLD	KURZ|LANG	KURZ|LANG	VOLL	PROC031|PROC073|PROC096|PROC099|PROC110|PROC111|PROC114|PROC122|PROC126|PROC136|PROC139|PROC141|PROC143|PROC157	14	19	HALTEN darf kurz oder lang sein; ein eigener VOLL-Grad ist unnötig, weil BEREIT/Schluss beendet.	NONE
SHED	ABSETZEN	SETTLE_TO_RESULT	NONE	NONE__INHERENT_OR_POINT_ACTION	KURZ|LANG|VOLL	NONE	0	0	ABSETZEN enthält sein Ende im sichtbaren Ergebnis; keine extra Gradkarte nötig.	NONE
SOLK	AUFFANGEN	SHORT_OR_LONG_COLLECTION	KURZ|LANG	KURZ|LANG	VOLL	PROC098|PROC164|PROC170	3	5	AUFFANGEN hat kurze und lange Sammelstufen; VOLL wird durch Gefäß/Schluss angezeigt.	NONE
T	EINTRAGEN	SHORT_OR_COMPLETE_ENTRY	KURZ|VOLL	KURZ|VOLL	LANG	PROC010|PROC090|PROC149	3	3	EINTRAGEN ist entweder kurz oder vollständig; eine lange Zwischenstufe wird nicht gebraucht.	NONE
TALAM	VERWAHREN	STORE_ONCE	NONE	NONE__INHERENT_OR_POINT_ACTION	KURZ|LANG|VOLL	NONE	0	0	VERWAHREN setzt den Lagerzustand; seine Dauer liegt außerhalb der Karte.	NONE
