source_group_id	unit_id	page	visible_surface	clause_shape_id	source_slots	workshop_vernacular_clause	latin_formulary_clause	tabular_notation_clause	historical_mechanism	concrete_value_source
E001	H1-S001	f10r	dchey	C01	LEARNED_OR_LOCAL_BODY>REFERENT	Setze die gelernte Fachkarte: Wurzel als aktueller Posten.	NOMEN: Wurzel als aktueller Posten.	N | Wurzel als aktueller Posten.	Ganzkürzel, Nomenklatorwert oder gelernte technische Brevigrafe	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E002	H1-S001	f10r	cthoor	C05	ACTION>SOURCE_OR_PREPARATION	Führe es aus dem Vorrat oder am Ansatz aus: Ansatz bereit.	EX MATERIA / IN PRAEPARATIONE: Ansatz bereit.	OP+EX | Ansatz bereit.	Rezeptquelle oder laufende Zubereitung als geerbtes Argument	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E003	H1-S001	f10r	char	C09	SOURCE_OR_PREPARATION	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	EX / LIQUOR / PRAEPARATIO: aus dem Ansatz.	SRC | aus dem Ansatz.	Stoff- und Zwischenproduktfeld der Rezept- oder Werkstattprosa	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E004	H1-S001	f10r	chty	C06	ACTION>QUANTITY_OR_STAGE	Führe es in der angegebenen Portion oder Stufe aus: Teil abtrennen.	OPERA AD MENSURAM / GRADUM: Teil abtrennen.	OP+Q | Teil abtrennen.	Apothekermaß, Anteil oder Arbeitsstufe	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E005	H1-S001	f10r	os	C01	LEARNED_OR_LOCAL_BODY	Setze die gelernte Fachkarte: Mischgefäß.	NOMEN: Mischgefäß.	N | Mischgefäß.	Ganzkürzel, Nomenklatorwert oder gelernte technische Brevigrafe	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E006	H1-S001	f10r	chair	C09	SOURCE_OR_PREPARATION	Nenne Quelle, Lauf, Auszug oder Ansatz: Wasserzulauf.	EX / LIQUOR / PRAEPARATIO: Wasserzulauf.	SRC | Wasserzulauf.	Stoff- und Zwischenproduktfeld der Rezept- oder Werkstattprosa	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E007	H1-S001	f10r	otytchol	C02	ORDER>QUANTITY_OR_STAGE	Danach oder in demselben Gang: naechsten Teilposten weiterfuehren.	DEINDE / IDEM: naechsten Teilposten weiterfuehren.	ORD | naechsten Teilposten weiterfuehren.	parataktische Rezeptfolge und wiederaufgenommener Arbeitsposten	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E008	H1-S001	f10r	oky	C07	ACTION>REFERENT	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	HOC OPERA: aktuellen Posten ansetzen.	OP+HOC | aktuellen Posten ansetzen.	elliptischer aktueller Gegenstand wie hoc/idem	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E009	H1-S001	f10r	daiin	C10	QUANTITY_OR_STAGE	Setze Maß, Portion oder Stufe: Sollmaß.	MENSURA / PORTIO / GRADUS: Sollmaß.	Q | Sollmaß.	Zahl-, Gewichts-, ana- oder Stufenfeld	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E010	H1-S001	f10r	etyd	C10	QUANTITY_OR_STAGE>GRADE	Setze Maß, Portion oder Stufe: kleiner Restteil.	MENSURA / PORTIO / GRADUS: kleiner Restteil.	Q | kleiner Restteil.	Zahl-, Gewichts-, ana- oder Stufenfeld	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E011	H1-S002	f10r	qokchy	C07	ACTION>REFERENT	Führe es mit diesem laufenden Posten aus: Posten zur Weiterbearbeitung ansetzen.	HOC OPERA: Posten zur Weiterbearbeitung ansetzen.	OP+HOC | Posten zur Weiterbearbeitung ansetzen.	elliptischer aktueller Gegenstand wie hoc/idem	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E012	H1-S002	f10r	qotchol	C02	ORDER	Danach oder in demselben Gang: danach weiterfuehren.	DEINDE / IDEM: danach weiterfuehren.	ORD | danach weiterfuehren.	parataktische Rezeptfolge und wiederaufgenommener Arbeitsposten	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E013	H1-S002	f10r	chol	C02	ORDER	Danach oder in demselben Gang: fortsetzen.	DEINDE / IDEM: fortsetzen.	ORD | fortsetzen.	parataktische Rezeptfolge und wiederaufgenommener Arbeitsposten	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E014	H1-S002	f10r	cthy	C07	ACTION>REFERENT	Führe es mit diesem laufenden Posten aus: bereit.	HOC OPERA: bereit.	OP+HOC | bereit.	elliptischer aktueller Gegenstand wie hoc/idem	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E015	H2-S001	f10r	ycheor	C09	SOURCE_OR_PREPARATION>REFERENT	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszugsansatz.	EX / LIQUOR / PRAEPARATIO: Auszugsansatz.	SRC | Auszugsansatz.	Stoff- und Zwischenproduktfeld der Rezept- oder Werkstattprosa	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E016	H2-S001	f10r	cthy	C07	ACTION>REFERENT	Führe es mit diesem laufenden Posten aus: bereit.	HOC OPERA: bereit.	OP+HOC | bereit.	elliptischer aktueller Gegenstand wie hoc/idem	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E017	H2-S001	f10r	chor	C09	SOURCE_OR_PREPARATION	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	EX / LIQUOR / PRAEPARATIO: Ansatz.	SRC | Ansatz.	Stoff- und Zwischenproduktfeld der Rezept- oder Werkstattprosa	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E018	H2-S001	f10r	cthaiin	C06	ACTION>QUANTITY_OR_STAGE	Führe es in der angegebenen Portion oder Stufe aus: Fertigmaß.	OPERA AD MENSURAM / GRADUM: Fertigmaß.	OP+Q | Fertigmaß.	Apothekermaß, Anteil oder Arbeitsstufe	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E019	H2-S001	f10r	qoctholy	C02	ORDER>ACTION>REFERENT	Danach oder in demselben Gang: bereiten Posten weiterfuehren.	DEINDE / IDEM: bereiten Posten weiterfuehren.	ORD | bereiten Posten weiterfuehren.	parataktische Rezeptfolge und wiederaufgenommener Arbeitsposten	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E020	H2-S001	f10r	dy	C12	REFERENT	Nimm diesen Posten wieder auf: dieser Posten.	HOC / IDEM: dieser Posten.	REF | dieser Posten.	verkürzte Anapher oder residuale Kurzform	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E021	H2-S001	f10r	chy	C12	REFERENT	Nimm diesen Posten wieder auf: dieser Posten.	HOC / IDEM: dieser Posten.	REF | dieser Posten.	verkürzte Anapher oder residuale Kurzform	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E022	H2-S001	f10r	taiin	C10	QUANTITY_OR_STAGE	Setze Maß, Portion oder Stufe: Sollmaß.	MENSURA / PORTIO / GRADUS: Sollmaß.	Q | Sollmaß.	Zahl-, Gewichts-, ana- oder Stufenfeld	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E023	H2-S001	f10r	shy	C12	REFERENT	Nimm diesen Posten wieder auf: dieser Posten.	HOC / IDEM: dieser Posten.	REF | dieser Posten.	verkürzte Anapher oder residuale Kurzform	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
E024	H2-S002	f10r	qotchor	C02	ORDER>SOURCE_OR_PREPARATION	Danach oder in demselben Gang: Folgeansatz.	DEINDE / IDEM: Folgeansatz.	ORD | Folgeansatz.	parataktische Rezeptfolge und wiederaufgenommener Arbeitsposten	SHARED_DICTIONARY_PLUS_OWNER_CONTEXT
