shape_id	shape_family	composition_rule	apprentice_instruction	historical_analogue	group_count	portable_rule
C01	LEARNED_BODY_CHAIN	NOMEN + optionale Adresse/Handlung/Schluss	Gelernte Fachkarte einsetzen; nur ihre beobachteten Anhänge ergänzen.	Ganzkürzel, Nomenklatorwert oder gelernte technische Brevigrafe	54	YES
C02	ORDER_CHAIN	FOLGE/FORTSETZUNG + folgende Klausel	Den nächsten, fortgesetzten oder vorigen Posten setzen.	parataktische Rezeptfolge und wiederaufgenommener Arbeitsposten	70	YES
C03	ACTION_GRADE_ENDPOINT	HANDLUNG + GRAD + POSTEN/SCHLUSS	Handlung kurz, länger oder vollständig ausführen; Posten halten oder schließen.	Handlung plus sichtbarer Endpunkt, Zeit oder gebundener Grad	65	YES
C04	ACTION_TARGET	HANDLUNG + ZIELSTELLE	Eine Handlung an die sichtbare oder geerbte Zielstelle binden.	medizinisches oder technisches Ziel aus Bild und laufendem Record	13	YES
C05	ACTION_SOURCE	HANDLUNG + QUELLE/ANSATZ	Eine Handlung aus einer Quelle oder am laufenden Ansatz ausführen.	Rezeptquelle oder laufende Zubereitung als geerbtes Argument	7	YES
C06	ACTION_QUANTITY	HANDLUNG + PORTION/STUFE	Eine Handlung auf eine Portion, ein Maß oder eine Arbeitsstufe beziehen.	Apothekermaß, Anteil oder Arbeitsstufe	23	YES
C07	ACTION_REFERENT	HANDLUNG + DIESER POSTEN	Die Handlung am aktuell gemeinten Arbeitsposten ausführen.	elliptischer aktueller Gegenstand wie hoc/idem	41	YES
C08	ACTION_CLOSE_OR_BARE	HANDLUNG + optionaler SCHLUSS	Eine nackte Handlung ausführen und nur bei gelernter Endkarte schließen.	kurze Imperativklausel mit optionalem lokalem Abschlusszeichen	20	YES
C09	SOURCE_PREPARATION	QUELLE/LAUF/ANSATZ + optionale Adresse	Quelle, Flüssigkeitslauf, Auszug oder Ansatz nennen.	Stoff- und Zwischenproduktfeld der Rezept- oder Werkstattprosa	22	YES
C10	QUANTITY_STAGE	MASS/PORTION/STUFE + optionaler GRAD	Den örtlich geltenden Wert, die Portion oder Stufe einsetzen.	Zahl-, Gewichts-, ana- oder Stufenfeld	33	YES
C11	TARGET_ADDRESS	ZIELSTELLE + optionaler POSTEN/SCHLUSS	Die bezeichnete Stelle setzen; das Bild liefert den konkreten Besitzer.	Bild-, Gefäß-, Körper- oder Stationsadresse	15	YES
C12	REFERENT_CLOSE_RESIDUE	DIESER POSTEN + optionaler SCHLUSS	Den laufenden Posten wiederaufnehmen oder eine residuale Kurzform lesen.	verkürzte Anapher oder residuale Kurzform	18	YES
