shape_id	shape_family	source_style	source_clause_template	historical_mechanism	style_purpose	language_identification
C01	LEARNED_BODY_CHAIN	WORKSHOP_VERNACULAR	Setze die gelernte Fachkarte: {value}.	Ganzkürzel, Nomenklatorwert oder gelernte technische Brevigrafe	knappe praktische Rezept- oder Arbeitsprosa	NONE
C01	LEARNED_BODY_CHAIN	LATIN_FORMULARY	NOMEN: {value}.	Ganzkürzel, Nomenklatorwert oder gelernte technische Brevigrafe	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C01	LEARNED_BODY_CHAIN	TABULAR_NOTATION	N | {value}.	Ganzkürzel, Nomenklatorwert oder gelernte technische Brevigrafe	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C02	ORDER_CHAIN	WORKSHOP_VERNACULAR	Danach oder in demselben Gang: {value}.	parataktische Rezeptfolge und wiederaufgenommener Arbeitsposten	knappe praktische Rezept- oder Arbeitsprosa	NONE
C02	ORDER_CHAIN	LATIN_FORMULARY	DEINDE / IDEM: {value}.	parataktische Rezeptfolge und wiederaufgenommener Arbeitsposten	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C02	ORDER_CHAIN	TABULAR_NOTATION	ORD | {value}.	parataktische Rezeptfolge und wiederaufgenommener Arbeitsposten	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C03	ACTION_GRADE_ENDPOINT	WORKSHOP_VERNACULAR	Führe aus und beachte Dauer oder Endpunkt: {value}.	Handlung plus sichtbarer Endpunkt, Zeit oder gebundener Grad	knappe praktische Rezept- oder Arbeitsprosa	NONE
C03	ACTION_GRADE_ENDPOINT	LATIN_FORMULARY	OPERA USQUE / FIAT: {value}.	Handlung plus sichtbarer Endpunkt, Zeit oder gebundener Grad	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C03	ACTION_GRADE_ENDPOINT	TABULAR_NOTATION	OP+GR | {value}.	Handlung plus sichtbarer Endpunkt, Zeit oder gebundener Grad	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C04	ACTION_TARGET	WORKSHOP_VERNACULAR	Führe es an der bezeichneten Stelle aus: {value}.	medizinisches oder technisches Ziel aus Bild und laufendem Record	knappe praktische Rezept- oder Arbeitsprosa	NONE
C04	ACTION_TARGET	LATIN_FORMULARY	AD LOCUM: {value}.	medizinisches oder technisches Ziel aus Bild und laufendem Record	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C04	ACTION_TARGET	TABULAR_NOTATION	OP+AD | {value}.	medizinisches oder technisches Ziel aus Bild und laufendem Record	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C05	ACTION_SOURCE	WORKSHOP_VERNACULAR	Führe es aus dem Vorrat oder am Ansatz aus: {value}.	Rezeptquelle oder laufende Zubereitung als geerbtes Argument	knappe praktische Rezept- oder Arbeitsprosa	NONE
C05	ACTION_SOURCE	LATIN_FORMULARY	EX MATERIA / IN PRAEPARATIONE: {value}.	Rezeptquelle oder laufende Zubereitung als geerbtes Argument	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C05	ACTION_SOURCE	TABULAR_NOTATION	OP+EX | {value}.	Rezeptquelle oder laufende Zubereitung als geerbtes Argument	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C06	ACTION_QUANTITY	WORKSHOP_VERNACULAR	Führe es in der angegebenen Portion oder Stufe aus: {value}.	Apothekermaß, Anteil oder Arbeitsstufe	knappe praktische Rezept- oder Arbeitsprosa	NONE
C06	ACTION_QUANTITY	LATIN_FORMULARY	OPERA AD MENSURAM / GRADUM: {value}.	Apothekermaß, Anteil oder Arbeitsstufe	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C06	ACTION_QUANTITY	TABULAR_NOTATION	OP+Q | {value}.	Apothekermaß, Anteil oder Arbeitsstufe	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C07	ACTION_REFERENT	WORKSHOP_VERNACULAR	Führe es mit diesem laufenden Posten aus: {value}.	elliptischer aktueller Gegenstand wie hoc/idem	knappe praktische Rezept- oder Arbeitsprosa	NONE
C07	ACTION_REFERENT	LATIN_FORMULARY	HOC OPERA: {value}.	elliptischer aktueller Gegenstand wie hoc/idem	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C07	ACTION_REFERENT	TABULAR_NOTATION	OP+HOC | {value}.	elliptischer aktueller Gegenstand wie hoc/idem	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
C08	ACTION_CLOSE_OR_BARE	WORKSHOP_VERNACULAR	Führe die Handlung aus; schließe nur bei Endkarte: {value}.	kurze Imperativklausel mit optionalem lokalem Abschlusszeichen	knappe praktische Rezept- oder Arbeitsprosa	NONE
C08	ACTION_CLOSE_OR_BARE	LATIN_FORMULARY	OPERA; CLAUDE SI SIGNATUM: {value}.	kurze Imperativklausel mit optionalem lokalem Abschlusszeichen	lateinisch aussehende Rubrikenfolge, keine Sprachidentifikation	NONE
C08	ACTION_CLOSE_OR_BARE	TABULAR_NOTATION	OP(+FIN) | {value}.	kurze Imperativklausel mit optionalem lokalem Abschlusszeichen	Schreiberliste aus Slotkürzeln und gelerntem Kartenwert	NONE
