edition	paragraph	model	at	word	hypothesis
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G001	tolsheor	⟦tolsheor⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G002	qokal	⟦qokal⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G003	dar	Teilmenge
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G004	olked	⟦olked⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G005	orol	⟦orol⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G006	kchey	⟦kchey⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G007	okain	⟦okain⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G008	olchey	⟦olchey⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G009	okar	⟦okar⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G010	sheky	⟦sheky⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G011	dedy	⟦dedy⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.38|G012	kedy	⟦kedy⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G001	qoqokeey	⟦qoqokeey⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G002	olkain	⟦olkain⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G003	qol	⟦qol⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G004	sheedy	Zubereitung A
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G005	qokeor	erhitze den Auszug
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G006	sheedy	Zubereitung A
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G007	qokal	⟦qokal⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G008	or	Anteil
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G009	chey	prüfe
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G010	qokar	erwärmter Anteil
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G011	ol	mit
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.39|G012	aiin	Maßzahl Q
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.40|G001	dlshedy	⟦dlshedy⟧
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.40|G002	qokain	erwärmte Dosis P
ZL3b	f75v|f75v.38-f75v.42	N	ZL3b|f75v.40|G003	dal	Maß
