support_cell_id	target_realization_cell_id	frozen_frame	target_action_root	target_action_recipe	register	alternate_action_root	alternate_action_recipe	event_count	page_count	pages	observed_clause_form_count	observed_clauses_de	all_roundtrip_exact	exact_same_register_frame_support
G494-TRS001	G493-C001	@ACTION	T	T	SOURCE_SECTION_T	R	R	1	1	f1r	1	Kennzeichne den laufenden Eintrag [wie zuvor].	YES	YES
G494-TRS002	G493-C003	@ACTION	T	T	BIOLOGICAL	R	R	12	6	f75r|f76r|f77r|f81v|f82r|f83r	2	Markiere den Stationsposten [wie zuvor]. || Markiere.	YES	YES
G494-TRS003	G493-C004	@ACTION	T	T	CELESTIAL	R	R	2	2	f67r2|f72r	2	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	YES	YES
G494-TRS004	G493-C005	@ACTION	T	T	PHARMA	R	R	3	2	f88v|f89r	2	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	YES	YES
G494-TRS005	G493-C020	@ACTION+AIIN	R	R+AIIN	PHARMA	T	T+AIIN	1	1	f89r	1	Stelle den Mengenwert ein.	YES	YES
G494-TRS006	G493-C030	@ACTION+AIN	R	R+AIN	PHARMA	T	T+AIN	1	1	f89r	1	Stelle den Drogenanteil ein.	YES	YES
G494-TRS007	G493-C035	@ACTION+AL	T	T+AL	PHARMA	R	R+AL	1	1	f88r	1	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	YES	YES
G494-TRS008	G493-C039	@ACTION+AL	R	R+AL	CELESTIAL	T	T+AL	1	1	f71v	1	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	YES	YES
G494-TRS009	G493-C043	@ACTION+AL+Y	T	T+AL+Y	BIOLOGICAL	R	R+AL+Y	1	1	f83r	1	Markiere den Stationsposten; zur Zielstation.	YES	YES
G494-TRS010	G493-C049	@ACTION+AL+Y	R	R+AL+Y	CELESTIAL	T	T+AL+Y	1	1	f72r	1	Stelle den Positionsposten ein; zur Zielposition.	YES	YES
G494-TRS011	G493-C053	@ACTION+CH+E+Y	T	T+CH+E+Y	BIOLOGICAL	R	R+CH+E+Y	1	1	f82r	1	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	YES	YES
G494-TRS012	G493-C056	@ACTION+CH+E+Y	R	R+CH+E+Y	SOURCE_SECTION_T	T	T+CH+E+Y	1	1	f1r	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	YES	YES
G494-TRS013	G493-C067	@ACTION+CHD+Y	R	R+CHD+Y	HERBAL	T	T+CHD+Y	1	1	f95v	1	Stelle den Pflanzenposten ein und bearbeite den Pflanzenposten.	YES	YES
G494-TRS014	G493-C076	@ACTION+OL	R	R+OL	SOURCE_SECTION_T	T	T+OL	1	1	f1r	1	Weiter lege den laufenden Eintrag [wie zuvor] fest.	YES	YES
G494-TRS015	G493-C077	@ACTION+OL	R	R+OL	HERBAL	T	T+OL	3	2	f11r|f56r	2	Weiter stelle den Arbeitswert [wie zuvor] ein. || Weiter stelle den Pflanzenposten [wie zuvor] ein.	YES	YES
G494-TRS016	G493-C080	@ACTION+OL	R	R+OL	PHARMA	T	T+OL	2	2	f88v|f89r	2	Weiter stelle den Drogenanteil [wie zuvor] ein. || Weiter stelle den Drogenposten [wie zuvor] ein.	YES	YES
G494-TRS017	G493-C083	@ACTION+OR+Y	T	T+OR+Y	BIOLOGICAL	R	R+OR+Y	1	1	f76r	1	Markiere die Stationseinheit und den Stationsposten.	YES	YES
G494-TRS018	G493-C087	@ACTION+OR+Y	R	R+OR+Y	HERBAL	T	T+OR+Y	1	1	f13r	1	Stelle die Arbeitseinheit und den Pflanzenposten ein.	YES	YES
G494-TRS019	G493-C097	@ACTION+Y	R	R+Y	HERBAL	T	T+Y	2	2	f10r|f13r	1	Stelle den Pflanzenposten ein.	YES	YES
G494-TRS020	G493-C103	CH+@ACTION	T	CH+T	BIOLOGICAL	R	CH+R	1	1	f77r	1	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	YES	YES
G494-TRS021	G493-C107	CH+@ACTION	R	CH+R	HERBAL	T	CH+T	1	1	f10r	1	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	YES	YES
