global_priority_rank	tier_rank	priority_tier	priority_reason	source_realization_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_slot_trace_de	composed_working_phrase_de	evidence_status_retained	state_requirement	state_warning	same_register_nontr_head_count	same_register_nontr_roots	same_register_nontr_event_count	same_register_nontr_clause_form_count	opposite_tr_observed	opposite_tr_root	opposite_tr_event_count	same_action_other_register_count	same_action_other_registers	same_action_cross_register_event_count	same_register_family_supported	cross_register_same_action_anchored	all_slot_values_old	composed_working_label_retained	surface_prediction_made	occurrence_prediction_made
28	1	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C005	@ACTION	T	T	PHARMA	EINSTELLEN	T=ANSATZWERT EINSTELLEN	Stelle den Drogenposten [wie zuvor] ein.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	1	S	13	4	YES	R	3	1	HERBAL	1	YES	YES	YES	YES	NO	NO
29	2	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C080	@ACTION+OL	R	R+OL	PHARMA	MARKIEREN · FORTSETZEN	R=POSTEN MARKIEREN · OL=ANSATZ FORTSETZEN	Weiter markiere den Drogenposten [wie zuvor].	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	1	OK	10	2	YES	T	2	1	BIOLOGICAL	4	YES	YES	YES	YES	NO	NO
30	3	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C004	@ACTION	T	T	CELESTIAL	EINSTELLEN	T=WERT EINSTELLEN	Stelle den Positionsposten [wie zuvor] ein.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	1	S	3	3	YES	R	2	1	HERBAL	1	YES	YES	YES	YES	NO	NO
31	4	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C067	@ACTION+CHD+Y	R	R+CHD+Y	HERBAL	MARKIEREN · BEARBEITEN · POSTEN	R=TEIL MARKIEREN · CHD=MATERIAL BEARBEITEN · Y=PFLANZENPOSTEN	Markiere den Pflanzenposten und bearbeite den Pflanzenposten.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	1	K	2	1	YES	T	1	1	BIOLOGICAL	2	YES	YES	YES	YES	NO	NO
32	5	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C049	@ACTION+AL+Y	R	R+AL+Y	CELESTIAL	MARKIEREN · ZIELORT · POSTEN	R=POSITION MARKIEREN · AL=ZIELPOSITION · Y=POSITIONSPOSTEN	Markiere den Positionsposten; zur Zielposition.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	1	OK	2	1	YES	T	1	1	BIOLOGICAL	1	YES	YES	YES	YES	NO	NO
33	6	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C094	@ACTION+Y	T	T+Y	CELESTIAL	EINSTELLEN · POSTEN	T=WERT EINSTELLEN · Y=POSITIONSPOSTEN	Stelle den Positionsposten ein.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	1	CHD	2	1	NO	NONE	0	2	HERBAL|BIOLOGICAL	3	YES	YES	YES	YES	NO	NO
34	7	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C099	@ACTION+Y	R	R+Y	CELESTIAL	MARKIEREN · POSTEN	R=POSITION MARKIEREN · Y=POSITIONSPOSTEN	Markiere den Positionsposten.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	1	CHD	2	1	NO	NONE	0	1	BIOLOGICAL	2	YES	YES	YES	YES	NO	NO
35	8	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C050	@ACTION+AL+Y	R	R+AL+Y	PHARMA	MARKIEREN · ZIELORT · POSTEN	R=POSTEN MARKIEREN · AL=ZIELGEFÄSS · Y=DROGENPOSTEN	Markiere den Drogenposten; zum Zielgefäß.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	1	CH	2	1	NO	NONE	0	1	BIOLOGICAL	1	YES	YES	YES	YES	NO	NO
36	9	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C045	@ACTION+AL+Y	T	T+AL+Y	PHARMA	EINSTELLEN · ZIELORT · POSTEN	T=ANSATZWERT EINSTELLEN · AL=ZIELGEFÄSS · Y=DROGENPOSTEN	Stelle den Drogenposten ein; zum Zielgefäß.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	1	CH	2	1	NO	NONE	0	1	CELESTIAL	1	YES	YES	YES	YES	NO	NO
37	10	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C035	@ACTION+AL	T	T+AL	PHARMA	EINSTELLEN · ZIELORT	T=ANSATZWERT EINSTELLEN · AL=ZIELGEFÄSS	Stelle den Drogenposten [wie zuvor] ein; zum Zielgefäß.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	1	OK	1	1	YES	R	1	2	BIOLOGICAL|CELESTIAL	3	YES	YES	YES	YES	NO	NO
38	11	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C103	CH+@ACTION	T	CH+T	BIOLOGICAL	NEHMEN · EINSTELLEN	CH=POSTEN ENTNEHMEN · T=STATIONSWERT EINSTELLEN	Entnimm den Stationsposten [wie zuvor] und stelle den Stationsposten [wie zuvor] ein.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	1	K	1	1	YES	R	1	1	HERBAL	1	YES	YES	YES	YES	NO	NO
39	12	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C031	@ACTION+AL	T	T+AL	SOURCE_SECTION_T	EINSTELLEN · ZIELORT	T=FESTLEGEN · AL=ZIELSPALTE	Lege den laufenden Eintrag [wie zuvor] fest; zur Zielspalte.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	1	CH	1	1	NO	NONE	0	2	BIOLOGICAL|CELESTIAL	3	YES	YES	YES	YES	NO	NO
40	13	B_SINGLE_NONTR_HEAD	ONE_EXACT_NONTR_HEAD_IN_TARGET_REGISTER	G493-C036	@ACTION+AL	R	R+AL	SOURCE_SECTION_T	MARKIEREN · ZIELORT	R=KENNZEICHNEN · AL=ZIELSPALTE	Kennzeichne den laufenden Eintrag [wie zuvor]; zur Zielspalte.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	1	CH	1	1	NO	NONE	0	2	BIOLOGICAL|PHARMA	2	YES	YES	YES	YES	NO	NO
