cross_register_cell_id	target_realization_cell_id	frozen_frame	action_root	action_recipe	target_register	observed_other_register	event_count	page_count	pages	observed_clause_form_count	observed_clauses_de	same_action_and_formal_frame	exact_observed_other_register_cell
G494-CR001	G493-C001	@ACTION	T	T	SOURCE_SECTION_T	HERBAL	1	1	f56r	1	Stelle den Pflanzenposten [wie zuvor] ein.	YES	YES
G494-CR002	G493-C003	@ACTION	T	T	BIOLOGICAL	HERBAL	1	1	f56r	1	Stelle den Pflanzenposten [wie zuvor] ein.	YES	YES
G494-CR003	G493-C004	@ACTION	T	T	CELESTIAL	HERBAL	1	1	f56r	1	Stelle den Pflanzenposten [wie zuvor] ein.	YES	YES
G494-CR004	G493-C005	@ACTION	T	T	PHARMA	HERBAL	1	1	f56r	1	Stelle den Pflanzenposten [wie zuvor] ein.	YES	YES
G494-CR005	G493-C011	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	HERBAL	2	2	f10r|f95v	1	Stelle den Arbeitswert ein.	YES	YES
G494-CR006	G493-C011	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	BIOLOGICAL	2	2	f81r|f82r	1	Stelle den Stationswert ein.	YES	YES
G494-CR007	G493-C011	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	PHARMA	1	1	f89r	1	Stelle den Mengenwert ein.	YES	YES
G494-CR008	G493-C014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	HERBAL	2	2	f10r|f95v	1	Stelle den Arbeitswert ein.	YES	YES
G494-CR009	G493-C014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	BIOLOGICAL	2	2	f81r|f82r	1	Stelle den Stationswert ein.	YES	YES
G494-CR010	G493-C014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	PHARMA	1	1	f89r	1	Stelle den Mengenwert ein.	YES	YES
G494-CR011	G493-C016	@ACTION+AIIN	R	R+AIIN	SOURCE_SECTION_T	HERBAL	1	1	f95v	1	Markiere den Arbeitswert.	YES	YES
G494-CR012	G493-C016	@ACTION+AIIN	R	R+AIIN	SOURCE_SECTION_T	BIOLOGICAL	7	3	f76r|f77r|f82r	1	Markiere den Stationswert.	YES	YES
G494-CR013	G493-C019	@ACTION+AIIN	R	R+AIIN	CELESTIAL	HERBAL	1	1	f95v	1	Markiere den Arbeitswert.	YES	YES
G494-CR014	G493-C019	@ACTION+AIIN	R	R+AIIN	CELESTIAL	BIOLOGICAL	7	3	f76r|f77r|f82r	1	Markiere den Stationswert.	YES	YES
G494-CR015	G493-C020	@ACTION+AIIN	R	R+AIIN	PHARMA	HERBAL	1	1	f95v	1	Markiere den Arbeitswert.	YES	YES
G494-CR016	G493-C020	@ACTION+AIIN	R	R+AIIN	PHARMA	BIOLOGICAL	7	3	f76r|f77r|f82r	1	Markiere den Stationswert.	YES	YES
G494-CR017	G493-C021	@ACTION+AIN	T	T+AIN	SOURCE_SECTION_T	BIOLOGICAL	1	1	f77r	1	Stelle den Stationsanteil ein.	YES	YES
G494-CR018	G493-C021	@ACTION+AIN	T	T+AIN	SOURCE_SECTION_T	PHARMA	1	1	f89r	1	Stelle den Drogenanteil ein.	YES	YES
G494-CR019	G493-C022	@ACTION+AIN	T	T+AIN	HERBAL	BIOLOGICAL	1	1	f77r	1	Stelle den Stationsanteil ein.	YES	YES
G494-CR020	G493-C022	@ACTION+AIN	T	T+AIN	HERBAL	PHARMA	1	1	f89r	1	Stelle den Drogenanteil ein.	YES	YES
G494-CR021	G493-C024	@ACTION+AIN	T	T+AIN	CELESTIAL	BIOLOGICAL	1	1	f77r	1	Stelle den Stationsanteil ein.	YES	YES
G494-CR022	G493-C024	@ACTION+AIN	T	T+AIN	CELESTIAL	PHARMA	1	1	f89r	1	Stelle den Drogenanteil ein.	YES	YES
G494-CR023	G493-C026	@ACTION+AIN	R	R+AIN	SOURCE_SECTION_T	BIOLOGICAL	3	3	f76r|f81r|f82r	1	Markiere den Stationsanteil.	YES	YES
G494-CR024	G493-C027	@ACTION+AIN	R	R+AIN	HERBAL	BIOLOGICAL	3	3	f76r|f81r|f82r	1	Markiere den Stationsanteil.	YES	YES
G494-CR025	G493-C029	@ACTION+AIN	R	R+AIN	CELESTIAL	BIOLOGICAL	3	3	f76r|f81r|f82r	1	Markiere den Stationsanteil.	YES	YES
G494-CR026	G493-C030	@ACTION+AIN	R	R+AIN	PHARMA	BIOLOGICAL	3	3	f76r|f81r|f82r	1	Markiere den Stationsanteil.	YES	YES
G494-CR027	G493-C031	@ACTION+AL	T	T+AL	SOURCE_SECTION_T	BIOLOGICAL	2	2	f77r|f83r	1	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	YES	YES
G494-CR028	G493-C031	@ACTION+AL	T	T+AL	SOURCE_SECTION_T	CELESTIAL	1	1	f71v	1	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	YES	YES
G494-CR029	G493-C032	@ACTION+AL	T	T+AL	HERBAL	BIOLOGICAL	2	2	f77r|f83r	1	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	YES	YES
G494-CR030	G493-C032	@ACTION+AL	T	T+AL	HERBAL	CELESTIAL	1	1	f71v	1	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	YES	YES
G494-CR031	G493-C035	@ACTION+AL	T	T+AL	PHARMA	BIOLOGICAL	2	2	f77r|f83r	1	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	YES	YES
G494-CR032	G493-C035	@ACTION+AL	T	T+AL	PHARMA	CELESTIAL	1	1	f71v	1	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	YES	YES
G494-CR033	G493-C036	@ACTION+AL	R	R+AL	SOURCE_SECTION_T	BIOLOGICAL	1	1	f81v	1	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	YES	YES
