global_priority_rank	tier_rank	priority_tier	priority_reason	source_realization_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_slot_trace_de	composed_working_phrase_de	evidence_status_retained	state_requirement	state_warning	same_register_nontr_head_count	same_register_nontr_roots	same_register_nontr_event_count	same_register_nontr_clause_form_count	opposite_tr_observed	opposite_tr_root	opposite_tr_event_count	same_action_other_register_count	same_action_other_registers	same_action_cross_register_event_count	same_register_family_supported	cross_register_same_action_anchored	all_slot_values_old	composed_working_label_retained	surface_prediction_made	occurrence_prediction_made
1	1	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C003	@ACTION	T	T	BIOLOGICAL	EINSTELLEN	T=STATIONSWERT EINSTELLEN	Stelle den Stationsposten [wie zuvor] ein.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	5	OK|CH|SH|S|CHD	17	9	YES	R	12	1	HERBAL	1	YES	YES	YES	YES	NO	NO
2	2	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C039	@ACTION+AL	R	R+AL	CELESTIAL	MARKIEREN · ZIELORT	R=POSITION MARKIEREN · AL=ZIELPOSITION	Markiere den Positionsposten [wie zuvor]; zur Zielposition.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	5	OK|CH|K|S|CHD	11	7	YES	T	1	2	BIOLOGICAL|PHARMA	2	YES	YES	YES	YES	NO	NO
3	3	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	EINSTELLEN · WERT	T=WERT EINSTELLEN · AIIN=POSITIONSWERT	Stelle den Positionswert ein.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	4	OK|K|S|CHD	12	4	NO	NONE	0	3	HERBAL|BIOLOGICAL|PHARMA	5	YES	YES	YES	YES	NO	NO
4	4	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C019	@ACTION+AIIN	R	R+AIIN	CELESTIAL	MARKIEREN · WERT	R=POSITION MARKIEREN · AIIN=POSITIONSWERT	Markiere den Positionswert.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	4	OK|K|S|CHD	12	4	NO	NONE	0	2	HERBAL|BIOLOGICAL	8	YES	YES	YES	YES	NO	NO
5	5	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C022	@ACTION+AIN	T	T+AIN	HERBAL	EINSTELLEN · ANTEIL	T=ARBEITSSTUFE EINSTELLEN · AIN=MATERIALANTEIL	Stelle den Materialanteil ein.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	4	OK|K|S|CHD	12	4	NO	NONE	0	2	BIOLOGICAL|PHARMA	2	YES	YES	YES	YES	NO	NO
6	6	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C027	@ACTION+AIN	R	R+AIN	HERBAL	MARKIEREN · ANTEIL	R=TEIL MARKIEREN · AIN=MATERIALANTEIL	Markiere den Materialanteil.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	4	OK|K|S|CHD	12	4	NO	NONE	0	1	BIOLOGICAL	3	YES	YES	YES	YES	NO	NO
7	7	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C097	@ACTION+Y	R	R+Y	HERBAL	MARKIEREN · POSTEN	R=TEIL MARKIEREN · Y=PFLANZENPOSTEN	Markiere den Pflanzenposten.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|K|CHD	27	3	YES	T	2	1	BIOLOGICAL	2	YES	YES	YES	YES	NO	NO
8	8	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C077	@ACTION+OL	R	R+OL	HERBAL	MARKIEREN · FORTSETZEN	R=TEIL MARKIEREN · OL=PFLANZENBEHANDLUNG FORTSETZEN	Weiter markiere den Pflanzenposten [wie zuvor].	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	3	OK|SH|K	18	6	YES	T	3	1	BIOLOGICAL	4	YES	YES	YES	YES	NO	NO
9	9	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C032	@ACTION+AL	T	T+AL	HERBAL	EINSTELLEN · ZIELORT	T=ARBEITSSTUFE EINSTELLEN · AL=ZIELSTELLE	Stelle den Pflanzenposten [wie zuvor] ein; zur Zielstelle.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	3	OK|CH|K	9	5	NO	NONE	0	2	BIOLOGICAL|CELESTIAL	3	YES	YES	YES	YES	NO	NO
10	10	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C095	@ACTION+Y	T	T+Y	PHARMA	EINSTELLEN · POSTEN	T=ANSATZWERT EINSTELLEN · Y=DROGENPOSTEN	Stelle den Drogenposten ein.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|K|CHD	9	3	NO	NONE	0	2	HERBAL|BIOLOGICAL	3	YES	YES	YES	YES	NO	NO
11	11	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C037	@ACTION+AL	R	R+AL	HERBAL	MARKIEREN · ZIELORT	R=TEIL MARKIEREN · AL=ZIELSTELLE	Markiere den Pflanzenposten [wie zuvor]; zur Zielstelle.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	3	OK|CH|K	9	5	NO	NONE	0	2	BIOLOGICAL|PHARMA	2	YES	YES	YES	YES	NO	NO
12	12	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C100	@ACTION+Y	R	R+Y	PHARMA	MARKIEREN · POSTEN	R=POSTEN MARKIEREN · Y=DROGENPOSTEN	Markiere den Drogenposten.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|K|CHD	9	3	NO	NONE	0	1	BIOLOGICAL	2	YES	YES	YES	YES	NO	NO
13	13	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C020	@ACTION+AIIN	R	R+AIIN	PHARMA	MARKIEREN · WERT	R=POSTEN MARKIEREN · AIIN=MENGENWERT	Markiere den Mengenwert.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|CH|S	8	3	YES	T	1	2	HERBAL|BIOLOGICAL	8	YES	YES	YES	YES	NO	NO
14	14	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	EINSTELLEN · FORTSETZEN	T=WERT EINSTELLEN · OL=RINGFOLGE FORTSETZEN	Weiter stelle den Positionsposten [wie zuvor] ein.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	3	OK|SH|K	6	5	NO	NONE	0	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	7	YES	YES	YES	YES	NO	NO
15	15	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C079	@ACTION+OL	R	R+OL	CELESTIAL	MARKIEREN · FORTSETZEN	R=POSITION MARKIEREN · OL=RINGFOLGE FORTSETZEN	Weiter markiere den Positionsposten [wie zuvor].	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	3	OK|SH|K	6	5	NO	NONE	0	1	BIOLOGICAL	4	YES	YES	YES	YES	NO	NO
16	16	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C076	@ACTION+OL	R	R+OL	SOURCE_SECTION_T	MARKIEREN · FORTSETZEN	R=KENNZEICHNEN · OL=WEITERFÜHREN	Weiter kennzeichne den laufenden Eintrag [wie zuvor].	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	3	OK|SH|K	5	5	YES	T	1	1	BIOLOGICAL	4	YES	YES	YES	YES	NO	NO
17	17	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C001	@ACTION	T	T	SOURCE_SECTION_T	EINSTELLEN	T=FESTLEGEN	Lege den laufenden Eintrag [wie zuvor] fest.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	3	OK|SH|S	4	4	YES	R	1	1	HERBAL	1	YES	YES	YES	YES	NO	NO
18	18	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C011	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	EINSTELLEN · WERT	T=FESTLEGEN · AIIN=KENNWERT	Lege den Kennwert fest.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|SH|K	4	3	NO	NONE	0	3	HERBAL|BIOLOGICAL|PHARMA	5	YES	YES	YES	YES	NO	NO
19	19	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C016	@ACTION+AIIN	R	R+AIIN	SOURCE_SECTION_T	MARKIEREN · WERT	R=KENNZEICHNEN · AIIN=KENNWERT	Kennzeichne den Kennwert.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|SH|K	4	3	NO	NONE	0	2	HERBAL|BIOLOGICAL	8	YES	YES	YES	YES	NO	NO
20	20	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C091	@ACTION+Y	T	T+Y	SOURCE_SECTION_T	EINSTELLEN · POSTEN	T=FESTLEGEN · Y=LAUFENDER EINTRAG	Lege den laufenden Eintrag fest.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|K|CHD	4	3	NO	NONE	0	2	HERBAL|BIOLOGICAL	3	YES	YES	YES	YES	NO	NO
21	21	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C096	@ACTION+Y	R	R+Y	SOURCE_SECTION_T	MARKIEREN · POSTEN	R=KENNZEICHNEN · Y=LAUFENDER EINTRAG	Kennzeichne den laufenden Eintrag.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|K|CHD	4	3	NO	NONE	0	1	BIOLOGICAL	2	YES	YES	YES	YES	NO	NO
22	22	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C030	@ACTION+AIN	R	R+AIN	PHARMA	MARKIEREN · ANTEIL	R=POSTEN MARKIEREN · AIN=DROGENANTEIL	Markiere den Drogenanteil.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|S|CHD	3	3	YES	T	1	1	BIOLOGICAL	3	YES	YES	YES	YES	NO	NO
23	23	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C057	@ACTION+CH+E+Y	R	R+CH+E+Y	HERBAL	MARKIEREN · NEHMEN · GRAD I · POSTEN	R=TEIL MARKIEREN · CH=PFLANZENTEIL NEHMEN · E=GRAD I · Y=PFLANZENPOSTEN	Markiere den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|K|S	3	3	NO	NONE	0	1	BIOLOGICAL	1	YES	YES	YES	YES	NO	NO
24	24	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C052	@ACTION+CH+E+Y	T	T+CH+E+Y	HERBAL	EINSTELLEN · NEHMEN · GRAD I · POSTEN	T=ARBEITSSTUFE EINSTELLEN · CH=PFLANZENTEIL NEHMEN · E=GRAD I · Y=PFLANZENPOSTEN	Stelle den Pflanzenposten ein und nimm den Pflanzenposten; auf Grad I.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|K|S	3	3	NO	NONE	0	1	SOURCE_SECTION_T	1	YES	YES	YES	YES	NO	NO
25	25	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C043	@ACTION+AL+Y	T	T+AL+Y	BIOLOGICAL	EINSTELLEN · ZIELORT · POSTEN	T=STATIONSWERT EINSTELLEN · AL=ZIELSTATION · Y=STATIONSPOSTEN	Stelle den Stationsposten ein; zur Zielstation.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	2	OK|CH	4	2	YES	R	1	1	CELESTIAL	1	YES	YES	YES	YES	NO	NO
26	26	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C086	@ACTION+OR+Y	R	R+OR+Y	SOURCE_SECTION_T	MARKIEREN · EINHEIT · POSTEN	R=KENNZEICHNEN · OR=EINTRAGSEINHEIT · Y=LAUFENDER EINTRAG	Kennzeichne die Eintragseinheit und den laufenden Eintrag.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	2	SH|S	2	2	NO	NONE	0	1	BIOLOGICAL	1	YES	YES	YES	YES	NO	NO
27	27	A_MULTIHEAD_SAME_REGISTER	AT_LEAST_TWO_EXACT_NONTR_HEADS_IN_TARGET_REGISTER	G493-C081	@ACTION+OR+Y	T	T+OR+Y	SOURCE_SECTION_T	EINSTELLEN · EINHEIT · POSTEN	T=FESTLEGEN · OR=EINTRAGSEINHEIT · Y=LAUFENDER EINTRAG	Lege die Eintragseinheit und den laufenden Eintrag fest.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	2	SH|S	2	2	NO	NONE	0	1	HERBAL	1	YES	YES	YES	YES	NO	NO
