frame_id	frozen_frame	composed_cell_count	tier_a_count	tier_b_count	tier_c_count	tier_d_count	same_register_supported_count	cross_register_anchored_count
G494-F01	@ACTION	4	2	2	0	0	4	4
G494-F02	@ACTION+AIIN	5	5	0	0	0	5	5
G494-F03	@ACTION+AIN	7	3	4	0	0	7	7
G494-F04	@ACTION+AL	6	3	3	0	0	6	6
G494-F05	@ACTION+AL+Y	8	1	3	0	4	4	8
G494-F06	@ACTION+CH+E+Y	8	2	0	2	4	4	8
G494-F07	@ACTION+CHD+Y	7	0	1	0	6	1	7
G494-F08	@ACTION+OL	5	4	1	0	0	5	5
G494-F09	@ACTION+OR+Y	8	2	0	2	4	4	8
G494-F10	@ACTION+Y	7	5	2	0	0	7	7
G494-F11	CH+@ACTION	8	0	3	1	4	4	8
