event_id	statement_id	record	page	locus	surface	component_parse	state_transition	action_phase	closes_step	procedure_primitive	classification_reason	reading_de
E001	H1-S001	H1	f10r	f10r.2	dchey	CH+E+Y	FRACTION_CREATED	COLLECT	NO	SOURCE_DRAW	PASS500_OVERRIDE	Pflanzenmaterial kurz abziehen
E002	H1-S001	H1	f10r	f10r.2	cthoor	CTH+O+OR	BATCH_ACTIVATED	CHECK	NO	ACTIVATE_CHARGE	PASS500_OVERRIDE	Ansatz bereit
E003	H1-S001	H1	f10r	f10r.2	char	AR	ACTIVE_CARRIED	MOVE	NO	SOURCE_DRAW	PASS500_OVERRIDE	aus dem laufenden Pflanzenansatz
E004	H1-S001	H1	f10r	f10r.2	chty	T+Y	ACTIVE_CARRIED	MOVE	NO	ACTIVATE_CHARGE	PASS500_OVERRIDE	den laufenden Pflanzenansatz füllen
E005	H1-S001	H1	f10r	f10r.2	os	OS	TARGET_ONLY	CHECK	NO	TARGET_HANDOFF	PASS500_OVERRIDE	ARBEITSFACH
E006	H1-S001	H1	f10r	f10r.2	chair	CH+AIR	FLOW_ACTIVATED	COLLECT	NO	SOURCE_DRAW	PASS500_OVERRIDE	Flüssigkeit aus dem Lauf entnehmen
E007	H1-S001	H1	f10r	f10r.2	otytchol	OT+Y+T+CH+OL	FRACTION_CREATED	COLLECT	NO	SOURCE_DRAW	PASS500_OVERRIDE	danach Arbeitsflüssigkeit füllen und weiter abziehen
E008	H1-S001	H1	f10r	f10r.2	oky	OK+Y	ACTIVE_CARRIED	APPLY	NO	CONTINUE_USE	PASS500_OVERRIDE	verwende abgezogene Flüssigkeitsfraktion
E009	H1-S001	H1	f10r	f10r.2	daiin	AIIN	ACTIVE_CARRIED	MEASURE	NO	METER_CHECK	PASS500_OVERRIDE	Sollmaß
E010	H1-S001	H1	f10r	f10r.2	etyd	E+T+Y	ACTIVE_CARRIED	HOLD	NO	ACTIVATE_CHARGE	PASS500_OVERRIDE	abgezogene Flüssigkeitsfraktion kurz füllen
E011	H1-S002	H1	f10r	f10r.5	qokchy	OK+Y	ACTIVE_CARRIED	SELECT	NO	ACTIVATE_CHARGE	ACTIVATION_ROOT	abgezogene Flüssigkeitsfraktion ansetzen
E012	H1-S002	H1	f10r	f10r.5	qotchol	OT+CH+OL	FRACTION_CREATED	COLLECT	NO	SOURCE_DRAW	FRACTION_CREATED	danach weiter abziehen
E013	H1-S002	H1	f10r	f10r.5	chol	OL	ACTIVE_CARRIED	PREPARE	NO	CONTINUE_USE	REFERENCE_OR_CONTINUATION	fortsetzen
