subroutine	statement_id	record	page	start_event	end_event	event_ids	surfaces	primitive_sequence	status
SUB01	H5-S001	H5	f56r	E074	E076	E074|E075|E076	chochor|cho|chodaly	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF	PASS501_ORIGINAL
SUB01	H5-S004	H5	f56r	E091	E093	E091|E092|E093	okchy|chokcheo|kchal	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF	NEW_OUTSIDE_FIVE_MACROS
SUB01	B1-S002	B1	f81v	E107	E109	E107|E108|E109	kain|olkain|al	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF	PASS501_ORIGINAL
SUB02	H5-S001	H5	f56r	E079	E081	E079|E080|E081	kchol|otchor|choky	MOVE_PASS>ACTIVATE_CHARGE>CONTINUE_USE	PASS501_ORIGINAL
SUB02	B1-S002	B1	f81v	E112	E114	E112|E113|E114	dl|olor|ol	MOVE_PASS>ACTIVATE_CHARGE>CONTINUE_USE	PASS501_ORIGINAL
SUB03	H1-S001	H1	f10r	E008	E009	E008|E009	oky|daiin	CONTINUE_USE>METER_CHECK	PASS501_ORIGINAL
SUB03	H2-S001	H2	f10r	E021	E022	E021|E022	chy|taiin	CONTINUE_USE>METER_CHECK	PASS501_ORIGINAL
SUB03	H2-S002	H2	f10r	E029	E030	E029|E030	chol|daiin	CONTINUE_USE>METER_CHECK	NEW_OUTSIDE_FIVE_MACROS
SUB03	H2-S003	H2	f10r	E035	E036	E035|E036	chy|kaiiin	CONTINUE_USE>METER_CHECK	NEW_OUTSIDE_FIVE_MACROS
SUB03	H3-S003	H3	f11r	E050	E051	E050|E051	dy|daiin	CONTINUE_USE>METER_CHECK	NEW_OUTSIDE_FIVE_MACROS
SUB03	B3-S003	B3	f83r	E232	E233	E232|E233	chey|daiin	CONTINUE_USE>METER_CHECK	NEW_OUTSIDE_FIVE_MACROS
SUB03	B3-S021	B3	f83r	E273	E274	E273|E274	sy|saiin	CONTINUE_USE>METER_CHECK	PASS501_ORIGINAL
SUB03	B5-S003	B5	f83r	E370	E371	E370|E371	sol|daiiin	CONTINUE_USE>METER_CHECK	NEW_OUTSIDE_FIVE_MACROS
SUB03	B6-S001	B6	f83r	E376	E377	E376|E377	ol|daiin	CONTINUE_USE>METER_CHECK	NEW_OUTSIDE_FIVE_MACROS
