fusion_unit_order	fusion_unit_id	statement_id	record_unit_id	page	field_ids	final_owner_status	final_owner	final_owner_noun_de	primary_noun_source	owner_expanded_literal_clause_de
1	FU001	H1-S001	H1	f10r	F001	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=bereithalten; Posten=Wurzel+Posten+Ansatz; Quelle=gesetzt; Zustand=bereit
2	FU002	H1-S001	H1	f10r	F001	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=teilen; Posten=Teil+Gefäß
3	FU003	H1-S001	H1	f10r	F001	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Teil; Lauf=gesetzt
4	FU004	H1-S001	H1	f10r	F001	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=ansetzen; Posten=Posten+Teil; Wert=Sollmaß; Grad=kurz
5	FU005	H1-S002	H1	f10r	F002	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=ansetzen; Posten=Posten
6	FU006	H1-S002	H1	f10r	F002	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	OWNER_SUPPLIES_ELLIPTIC_PRIMARY_NOUN	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter
7	FU007	H1-S002	H1	f10r	F002	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	OWNER_SUPPLIES_ELLIPTIC_PRIMARY_NOUN	Vorgang=weiterführen; Reihenfolge=weiter
8	FU008	H1-S002	H1	f10r	F002	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=bereithalten; Posten=Posten; Zustand=bereit
9	FU009	H2-S001	H2	f10r	F003	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=bereithalten; Posten=Posten+Auszug+Ansatz; Zustand=bereit
10	FU010	H2-S001	H2	f10r	F003	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=bereithalten; Posten=Ansatz; Wert=Sollmaß; Zustand=bereit
11	FU011	H2-S001	H2	f10r	F003	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Posten=Posten; Wert=Sollmaß; Zustand=bereit
12	FU012	H2-S002	H2	f10r	F004	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Ansatz
13	FU013	H2-S002	H2	f10r	F004	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	OWNER_SUPPLIES_ELLIPTIC_PRIMARY_NOUN	Vorgang=weiterführen; Reihenfolge=weiter
14	FU014	H2-S002	H2	f10r	F004	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Ansatz
15	FU015	H2-S002	H2	f10r	F004	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	OWNER_SUPPLIES_ELLIPTIC_PRIMARY_NOUN	Vorgang=weiterführen; Reihenfolge=weiter; Quelle=gesetzt; Wert=Sollmaß
16	FU016	H2-S003	H2	f10r	F005	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=bearbeiten→zugeben; Posten=Posten+Ansatz+Zutat; Wert=Stufe+Sollmaß
17	FU017	H3-S001	H3	f11r	F006	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=zugeben→abführen; Posten=Zutat
