statement_order	statement_id	record_unit_id	page	clause_count	creative_resolution_count	owner_expanded_literal_statement_de	current_concrete_source_expansion_de
1	H1-S001	H1	f10r	4	0	Vorgang=bereithalten; Posten=Wurzel+Posten+Ansatz; Quelle=gesetzt; Zustand=bereit. Vorgang=teilen; Posten=Teil+Gefäß. Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Teil; Lauf=gesetzt. Vorgang=ansetzen; Posten=Posten+Teil; Wert=Sollmaß; Grad=kurz.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
2	H1-S002	H1	f10r	4	0	Vorgang=ansetzen; Posten=Posten. Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=bereithalten; Posten=Posten; Zustand=bereit.	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
3	H2-S001	H2	f10r	3	0	Vorgang=bereithalten; Posten=Posten+Auszug+Ansatz; Zustand=bereit. Vorgang=bereithalten; Posten=Ansatz; Wert=Sollmaß; Zustand=bereit. Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Posten=Posten; Wert=Sollmaß; Zustand=bereit.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
4	H2-S002	H2	f10r	4	0	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Ansatz. Vorgang=weiterführen; Reihenfolge=weiter. Vorgang=weiterführen; Reihenfolge=weiter; Posten=Ansatz. Vorgang=weiterführen; Reihenfolge=weiter; Quelle=gesetzt; Wert=Sollmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
5	H2-S003	H2	f10r	1	0	Vorgang=bearbeiten→zugeben; Posten=Posten+Ansatz+Zutat; Wert=Stufe+Sollmaß.	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
6	H3-S001	H3	f11r	4	0	Vorgang=zugeben→abführen; Posten=Zutat. Vorgang=zugeben→auswringen; Posten=Zutat+Posten; Ziel=gesetzt. Vorgang=halten; Wert=Sollmaß. Vorgang=nachseihen→zugeben; Posten=Posten+Ergebnis+Zutat; Zustand=Ergebnis; Schluss.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
7	H3-S002	H3	f11r	1	0	Vorgang=zugeben; Posten=Zutat+Posten+Teil.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
8	H3-S003	H3	f11r	1	0	Vorgang=bearbeiten; Reihenfolge=vorher; Posten=Vorposten+Posten; Wert=Sollmaß.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
9	H3-S004	H3	f11r	2	0	Vorgang=folgen→ansetzen→weiterführen; Reihenfolge=danach+weiter; Posten=Posten. Vorgang=bereithalten; Posten=Posten; Zustand=bereit.	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
10	H4-S001	H4	f55v	2	0	Vorgang=ansetzen; Posten=Posten; Wert=Sollmaß+Anteil. Vorgang=kühlen; Posten=Posten; Wert=Anteil.	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
