fusion_unit_id	statement_id	page	field_ids	old_owner	creative_owner	creative_primary_noun_de	resolution_status	visual_or_attachment_basis	connection_ceiling	literal_workshop_clause_de
FU125	B2-S011	f82r	F057	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	B2_MIDDLE_RIGHT_RECLINING_FIGURE_VESSEL	Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken	CREATIVE_VISIBLE_OWNER	The reclining figure visibly occupies its own small vessel; the nearby horizontal line is not inherited.	NO_CONNECTION_TO_HORIZONTAL_LINE	Vorgang=ansetzen; Quelle=gesetzt; Wert=Anteil
FU126	B2-S011	f82r	F057	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	B2_MIDDLE_RIGHT_RECLINING_FIGURE_VESSEL	Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken	CREATIVE_VISIBLE_OWNER	The reclining figure visibly occupies its own small vessel; the nearby horizontal line is not inherited.	NO_CONNECTION_TO_HORIZONTAL_LINE	Vorgang=ansetzen; Wert=Anteil
FU127	B2-S011	f82r	F057	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	B2_MIDDLE_RIGHT_RECLINING_FIGURE_VESSEL	Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken	CREATIVE_VISIBLE_OWNER	The reclining figure visibly occupies its own small vessel; the nearby horizontal line is not inherited.	NO_CONNECTION_TO_HORIZONTAL_LINE	Vorgang=ansetzen; Grad=länger; Schluss
FU128	B2-S012	f82r	F058	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	B2_MIDDLE_RIGHT_RECLINING_FIGURE_VESSEL	Posten der liegenden Figur im eigenständigen kleinen Trichter-/Liegebecken	CREATIVE_VISIBLE_OWNER	The reclining figure visibly occupies its own small vessel; the nearby horizontal line is not inherited.	NO_CONNECTION_TO_HORIZONTAL_LINE	Vorgang=abführen; Posten=Posten
FU172	B3-S016	f83r	F087	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3_LOCAL_TRANSITION_BATCH_FROM_EXEMPLAR	örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock	CREATIVE_REGISTER_BATCH	No drawn edge crosses the margin-to-main gap; treat the long intervening text as its own learned work batch.	NO_IMAGE_CONNECTION_CLAIM	Vorgang=ansetzen→umsetzen; Schluss
FU173	B3-S017	f83r	F088	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3_LOCAL_TRANSITION_BATCH_FROM_EXEMPLAR	örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock	CREATIVE_REGISTER_BATCH	No drawn edge crosses the margin-to-main gap; treat the long intervening text as its own learned work batch.	NO_IMAGE_CONNECTION_CLAIM	Vorgang=ansetzen; Grad=länger; Schluss
FU174	B3-S018	f83r	F089	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3_LOCAL_TRANSITION_BATCH_FROM_EXEMPLAR	örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock	CREATIVE_REGISTER_BATCH	No drawn edge crosses the margin-to-main gap; treat the long intervening text as its own learned work batch.	NO_IMAGE_CONNECTION_CLAIM	Vorgang=absetzen; Grad=kurz; Schluss
FU175	B3-S019	f83r	F090	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3_LOCAL_TRANSITION_BATCH_FROM_EXEMPLAR	örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock	CREATIVE_REGISTER_BATCH	No drawn edge crosses the margin-to-main gap; treat the long intervening text as its own learned work batch.	NO_IMAGE_CONNECTION_CLAIM	Vorgang=ansetzen→absetzen; Schluss
FU176	B3-S020	f83r	F091	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3_LOCAL_TRANSITION_BATCH_FROM_EXEMPLAR	örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock	CREATIVE_REGISTER_BATCH	No drawn edge crosses the margin-to-main gap; treat the long intervening text as its own learned work batch.	NO_IMAGE_CONNECTION_CLAIM	Vorgang=abführen→umsetzen; Ziel=gesetzt; Schluss
FU177	B3-S021	f83r	F092	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	B3_LOCAL_TRANSITION_BATCH_FROM_EXEMPLAR	örtlicher Übergangsansatz zwischen Randstation und nächstem Hauptblock	CREATIVE_REGISTER_BATCH	No drawn edge crosses the margin-to-main gap; treat the long intervening text as its own learned work batch.	NO_IMAGE_CONNECTION_CLAIM	Vorgang=ansetzen; Wert=Sollmaß
