track	unit_id	page	surface_sequence	minimal_dictionary_reading	owner_augmented_reading	selected_source_vocabulary	controlled_record_reading	apprentice_instruction
H3	H3-S001	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat entnehmen; Zutat an die Arbeitsstelle geben; auswringen + dies; halten + Sollwert; nachseihen + dies; klarer Auszug; Eingangsposten beiseitestellen; Schluss	Bei der ganzen dicht blau bekrönten Bildpflanze: Zutat entnehmen; Zutat an die Arbeitsstelle geben; auswringen + dies; halten + Sollwert; nachseihen + dies; klarer Auszug; Eingangsposten beiseitestellen; Schluss.	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Blüte und Blatt der Bildpflanze im Auszugsmedium ansetzen, durch Tuch auswringen, absetzen und nachseihen. Den Auszug als Endprodukt halten; einen Teil mit Träger als Auftrag verwenden.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
H3	H3-S002	f11r	shoyty	Zutatenteil	Bei der ganzen dicht blau bekrönten Bildpflanze: Zutatenteil.	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Blüte und Blatt der Bildpflanze im Auszugsmedium ansetzen, durch Tuch auswringen, absetzen und nachseihen. Den Auszug als Endprodukt halten; einen Teil mit Träger als Auftrag verwenden.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
H3	H3-S003	f11r	dchol chy kchy dy daiin	vorher + weiter; dies; bearbeiten + dies; dies; Sollwert	Bei der ganzen dicht blau bekrönten Bildpflanze: vorher + weiter; dies; bearbeiten + dies; dies; Sollwert.	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Blüte und Blatt der Bildpflanze im Auszugsmedium ansetzen, durch Tuch auswringen, absetzen und nachseihen. Den Auszug als Endprodukt halten; einen Teil mit Träger als Auftrag verwenden.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
H3	H3-S004	f11r	qotchy okchol cthy dy	danach + dies; ansetzen + weiter; bereit + dies; dies	Bei der ganzen dicht blau bekrönten Bildpflanze: danach + dies; ansetzen + weiter; bereit + dies; dies.	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Blüte und Blatt der Bildpflanze im Auszugsmedium ansetzen, durch Tuch auswringen, absetzen und nachseihen. Den Auszug als Endprodukt halten; einen Teil mit Träger als Auftrag verwenden.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S001	f82r	dchedy	umsetzen + Ende	Bei den oberen Paarbecken mit Zylinder: umsetzen + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S002	f82r	qolchedy	weiter + umsetzen + Ende	Bei den oberen Paarbecken mit Zylinder: weiter + umsetzen + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S003	f82r	qokain dy qokeedy	ansetzen + Anteil; dies; ansetzen + länger + Ende	Bei den oberen Paarbecken mit Zylinder: ansetzen + Anteil; dies; ansetzen + länger + Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S004	f82r	qokal lcheckhy lched qokeey lcheckhedy	ansetzen + Ziel; Ausgangsdurchlass; abführen; ansetzen + länger + dies; abseihen; Schluss	Bei den oberen Paarbecken mit Zylinder: ansetzen + Ziel; Ausgangsdurchlass; abführen; ansetzen + länger + dies; abseihen; Schluss.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S005	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	ansetzen + Ziel + dies; sammeln + Sollwert; Durchlass + dies; ansetzen + Sollwert; ansetzen + Sollwert; bereit + weiter; wärmen + länger + dies; abziehen; Ende	Bei den oberen Paarbecken mit Zylinder: ansetzen + Ziel + dies; sammeln + Sollwert; Durchlass + dies; ansetzen + Sollwert; ansetzen + Sollwert; bereit + weiter; wärmen + länger + dies; abziehen; Ende.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
B2	B2-S006	f82r	oteey qokal sheckhy qoky	danach + länger + dies; ansetzen + Ziel; Durchlass + kurz + dies; ansetzen + dies	Bei den oberen Paarbecken mit Zylinder: danach + länger + dies; ansetzen + Ziel; Durchlass + kurz + dies; ansetzen + dies.	Badende; Becken; Beckenstation; Öffnung; Einlass; Ablauf; Flüssigkeitslauf; Waschflüssigkeit; Zusatz; Temperatur; Dauer; örtliche Stelle; Teilbad; Filtern	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	Lies die Minimalfolge; setze nur passende Quellenwörter aus dem Recordprogramm ein; halte den Besitzer bis zum sichtbaren Reset.
