trace_serial	track	page	address	visible_or_opaque_form	forward_1_segment	forward_2_minimal_card	forward_3_owner_or_namespace	forward_4_licensed_source_slots	forward_5_selected_unit_vocabulary	forward_6_spoken_action	backward_1_required_address	backward_2_required_card_or_group	backward_recovery	concrete_content_without_owner_or_local_source
1	H3	f11r	E039	tshol	HO+L	Zutat entnehmen	der ganzen dicht blau bekrönten Bildpflanze	FLOWER;LEAF	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Setze die gelernte Fachkarte: Zutat entnehmen.	E039	tshol	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
2	H3	f11r	E040	schoal	HO+AL	Zutat an die Arbeitsstelle geben	der ganzen dicht blau bekrönten Bildpflanze	FLOWER;LEAF	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben.	E040	schoal	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
3	H3	f11r	E041	cfhy	CFH+Y	auswringen + dies	der ganzen dicht blau bekrönten Bildpflanze	EXTRACT	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen.	E041	cfhy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
4	H3	f11r	E042	shfydaiin	SH+AIIN	halten + Sollwert	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Führe es in der angegebenen Portion oder Stufe aus: Standmaß.	E042	shfydaiin	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
5	H3	f11r	E043	cphy	CPH+Y	nachseihen + dies	der ganzen dicht blau bekrönten Bildpflanze	EXTRACT	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen.	E043	cphy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
6	H3	f11r	E044	shey	CHEEY	klarer Auszug	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Setze die gelernte Fachkarte: klarer Auszug.	E044	shey	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
7	H3	f11r	E045	tchody	HO+CLOSE	Eingangsposten beiseitestellen; Schluss	der ganzen dicht blau bekrönten Bildpflanze	FLOWER;LEAF	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	E045	tchody	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
8	H3	f11r	E046	shoyty	HO+Y+TY	Zutatenteil	der ganzen dicht blau bekrönten Bildpflanze	FLOWER;LEAF	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Setze die gelernte Fachkarte: Zutatenteil.	E046	shoyty	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
9	H3	f11r	E047	dchol	PREV+OL	vorher + weiter	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Danach oder in demselben Gang: vorigen Posten fortsetzen.	E047	dchol	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
10	H3	f11r	E048	chy	Y	dies	der ganzen dicht blau bekrönten Bildpflanze	NONE	Bildpflanze; Blüte; Blatt; Auszugsmedium; Tuch; Auszug; Endprodukt; Träger; Auftrag	Nimm diesen Posten wieder auf: dieser Posten.	E048	chy	EXACT_WITH_REGISTERED_CARD_AND_ADDRESS	NOT_AVAILABLE
