id	paragraph	label	anchor_refs	producer	origin
17raw	H17	feuchtes Rohgut	f17r.4#1|f17r.4#2		external
17juice	H17	Saft	f17r.4#9	17E02	event
17pressrest	H17	nicht genannter Pressrückstand		17E02	event
17A	H17	Material A	f17r.5#2		external
17Apart	H17	Teil von A	f17r.5#2|f17r.5#5	17E03	event
17B	H17	Material B	f17r.5#3		external
17Bpart	H17	Teil von B	f17r.5#3|f17r.5#5	17E03	event
17C	H17	Material C	f17r.5#4		external
17Cpart	H17	Teil von C	f17r.5#4|f17r.5#5	17E03	event
17extract	H17	zusammengefügter Ansatz	f17r.5#8	17E04	event
17clear	H17	geklärter Anteil	f17r.6#4		external
21raw	H21	grobes Gut	f21r.8#3		external
21crushed	H21	zerkleinertes grobes Gut	f21r.8#3	21E01	event
21solid	H21	fester Anteil	f21r.8#5		external
21soft	H21	weicher Anteil	f21r.8#6		external
21A	H21	A-Portion	f21r.8#7|f21r.9#8		external
21mix1	H21	erste Zubereitung	f21r.9#6	21E02	event
21fluid	H21	Flüssigkeitsportion	f21r.9#2		external
21rest	H21	Rückstand	f21r.9#7		external
21sample	H21	entnommene Probe	f21r.10#5		external
21solid2	H21	fester Mischanteil	f21r.10#6		external
21clear	H21	geklärter Auszug	f21r.10#8		external
21mix2	H21	zweite Mischung		21E05	event
21dryrest	H21	trockene Portion A-Rest	f21r.11#4|f21r.11#5		external
21over	H21	Überstand	f21r.11#8	21E07	event
21wetrest	H21	feuchter Rest	f21r.11#9	21E07	event
21B	H21	ausgewählte B-Portion	f21r.12#2|f21r.12#5		external
21final	H21	B im Überstand		21E09	event
32raw	H32	implizites Ausgangsgut			external
32ground	H32	grobes zerkleinertes Material	f32v.7#5	32E01	event
32rest	H32	Rückstand	f32v.7#10		external
32fine	H32	Feinmaterial	f32v.8#1		external
32powder	H32	Pulvergemisch	f32v.8#4	32E03	event
32sample	H32	Probe als feiner Anteil	f32v.8#6|f32v.8#9	32E04	event
32left	H32	nicht benannter Entnahmerest		32E04	event
32coarseout	H32	Grobgut	f32v.9#4	32E05	event
32fineout	H32	Feingut	f32v.9#6	32E05	event
32liquid	H32	Flüssigkeit	f32v.10#1		external
32L	H32	Flüssigkeit L	f32v.10#2		external
32B	H32	Material B	f32v.10#3		external
32D	H32	Feststoff D	f32v.10#8|f32v.10#10		external
32liquid2	H32	weitere Flüssigkeit	f32v.11#2		external
32susp	H32	verrührtes Produkt		32E07	event
32final	H32	weitervermischtes Produkt		32E08	event
29R	H29	Ausgangsgut R	f29v.1#1		external
29C	H29	Material C	f29v.1#2		external
29A	H29	Material A	f29v.1#7|f29v.2#5|f29v.4#4		external
29Rcut	H29	R-Stücke		29E01	event
29Ccut	H29	C-Stücke		29E01	event
29Afine	H29	feiner A-Anteil	f29v.1#7|f29v.1#8|f29v.1#9|f29v.1#10|f29v.1#11	29E02	event
29separate	H29	abgetrennter Anteil	f29v.2#1		external
29Acoarse	H29	grober A-Anteil	f29v.2#7		external
29Bpart	H29	B-Anteil	f29v.2#8		external
29powder	H29	Pulverquelle		29E04	event
29portion	H29	abgeteilte Pulverportion	f29v.3#5	29E05	event
29left	H29	nicht benannter Abteilrest		29E05	event
29fraction	H29	abgenommener Anteil	f29v.3#7	29E06	event
29residue	H29	nicht genannter zweiter Trennausgang		29E06	event
29vessel	H29	Gefäß	f29v.4#3|f29v.4#9		external
29fluid	H29	Flüssigkeit	f29v.4#8		external
21mix3	H21	Mischung mit trockenem A-Rest		21E06	event
