form	frequency	process	catalogue	kind
ar	1	desselben	Identitätsbezug	LINK
cfhy	1	mit dem Sieb	Sieb als Werkzeug	THING
chcthy	1	Material-A-Rest	Material-A-Rest	THING
chetchy	1	zerteile	Zerteilen	ACTION
cheteg	1	verschlossen	verschlossen	QUALITY
chey	1	prüfe	Prüfung	ACTION
chkaiin	2	miss ab	Abmessen	ACTION
cho	2	hiervon	Bezug zum vorigen Material	LINK
chocthy	1	Grobgut	Grobgut	THING
chol	7	trocken	trocken	QUALITY
chor	4	Material B	Material B	THING
chy	2	vermische	Vermischung	ACTION
cphaldy	1	füge zusammen	Zusammenfügen	ACTION
cpho	1	verrühre	Verrühren	ACTION
cphor	1	je einen Teil	Teilmenge je Material	QUANTITY
cphos	1	zerkleinere	Zerkleinern	ACTION
cthaiin	1	Feingut	Feingut	THING
ctheey	1	geklärten Auszug	geklärter Auszug	THING
cthey	2	Ansatz	Ansatz	THING
ctho	1	Pulver	Pulver	THING
cthodaiin	1	Portion von Material A	Portion von Material A	THING
cthody	1	Rückstand	Rückstand	THING
cthol	1	Feststoff D	Feststoff D	THING
cthold	1	grober A-Anteil	grober A-Anteil	THING
cthy	5	Material A	Material A	THING
d	1	davon	Herkunftsbezug	LINK
da	1	einer Portion	Portion	QUANTITY
daiin	8	abgemessen	abgemessen	QUALITY
dain	1	wenig	kleine Menge	QUANTITY
dair	1	eine zweite Portion	zweite Portion	QUANTITY
dary	1	getrennt	getrennt	LINK
fcho	1	zur Zubereitung	Zubereitung	LINK
keol	1	Flüssigkeit L	Flüssigkeit L	THING
keor	1	einzeln	einzeln	LINK
kooiin	1	Ausgangsgut R	Ausgangsgut R	THING
kor	1	mahle	Mahlen	ACTION
ksho	1	zur Aufbereitung	Aufbereitung	LINK
kshy	1	zerkleinere	Zerkleinern	ACTION
ky	1	langsam	langsam	LINK
l	1	mit	mit	LINK
ls	1	Schneidwerkzeug	Schneidwerkzeug	THING
ocphal	1	festen Anteil	fester Anteil	THING
odaiin	1	Pulverportion	Pulverportion	THING
odan	1	Rückstand	Rückstand	THING
okaiin	3	Gefäß	Gefäß	THING
ol	2	mit	mit	LINK
olaiin	1	im Gefäß	Gefäßbezug	LINK
oltchy	1	lasse abkühlen	Abkühlenlassen	ACTION
opsheas	1	weichen Anteil	weicher Anteil	THING
opydg	1	bis zur Bindung	Bindungszustand als Ziel	QUALITY
otaiin	1	portionsweise	portionsweise	QUANTITY
otchol	1	Feinmaterial	Feinmaterial	THING
otchy	1	nimm	Entnahme	ACTION
otey	1	bis	Zielbedingung	LINK
otor	1	grobes Gut	grobes Gut	THING
otshcho	1	grobes Material	grobes Material	THING
otshy	1	kühl	kühl	QUALITY
oty	1	anschließend	folgender Eintrag	LINK
otyky	1	füge hinzu	Zugabe	ACTION
qody	1	bereit	bereit	QUALITY
qof	1	bewahre	Aufbewahren	ACTION
qokcheor	1	geklärten Anteil	geklärter Anteil	THING
qokol	1	rühre	Rühren	ACTION
qor	1	gleichmäßig	gleichmäßig	LINK
qotaiin	2	entnommene Probe	entnommene Probe	THING
qotcheaiin	1	abgetrennter Anteil	abgetrennter Anteil	THING
qotchol	1	festen Anteil	fester Anteil	THING
qotchy	2	trenne	Trennung	ACTION
r	1	daraus	Herkunftsbezug	LINK
s	5	jeweils	jeweils	LINK
sh	1	und	und	LINK
shan	1	feinen Anteil	feiner Anteil	THING
shckhy	1	füge zusammen	Zusammenfügen	ACTION
she	2	lasse ruhen	Ruhenlassen	ACTION
sheaiin	1	eine Weile	Zeitspanne	QUANTITY
sheey	1	wähle aus	Auswahl	ACTION
sheol	1	füge hinzu	Zugabe	ACTION
shey	2	teile ab	Abteilen	ACTION
sho	4	Flüssigkeit	Flüssigkeit	THING
shody	1	feuchten Rest	feuchter Rest	THING
shol	3	feucht	feucht	QUALITY
shor	2	Material C	Material C	THING
shot	1	erwärme	Erwärmen	ACTION
shy	2	fein	fein	QUALITY
shytchy	1	schneide klein	Kleinschneiden	ACTION
skey	1	behalte	Behalten	ACTION
som	1	danach	folgender Eintrag	LINK
sy	1	abgesetzt	abgesetzt	QUALITY
taiin	1	abgenommener Anteil	abgenommener Anteil	THING
tcho	1	Rohgut	Rohgut	THING
tchol	1	trockene Portion	trockene Portion	THING
totchy	1	prüfe	Prüfung	ACTION
tshaiin	1	einen Anteil	Anteil	QUANTITY
tsho	1	anschließend	folgender Eintrag	LINK
ty	1	sowie	sowie	LINK
ychekchy	1	sondere ab	Absonderung	ACTION
ykeey	1	zum Abschluss	Abschlusseintrag	LINK
ypaim	1	den Saft ab	Saftanteil	THING
ypchy	1	presse	Pressen	ACTION
ysheol	1	nimm hinzu	Zugabe	ACTION
ysho	1	zuletzt	Abschlusseintrag	LINK
ytchor	1	B-Anteil	B-Anteil	THING
yteol	1	Überstand	Überstand	THING
