event	paragraph	check_index	claim	evidence_refs	status
17E01	H17	1	feucht ist gesetzter Eigenschaftswert, kein gelesener Stoff	f17r.4#1|f17r.4#2	assumed
17E02	H17	1	Saftausgabe durch die angesetzte Bedeutung von ypaim	f17r.4#9	assumed
17E02	H17	2	Nicht genannter Pressrückstand		unknown
17E03	H17	1	Drei schriftliche Nomen, Teilverteilung angesetzt	f17r.5#2|f17r.5#3|f17r.5#4|f17r.5#5	assumed
17E04	H17	1	Brücke entsteht durch neue singleton-Bedeutung, kein unabhängig gelesener Bezug	f17r.4#9|f17r.5#6|f17r.5#8	assumed
17E05	H17	1	Klärung nicht durch vorausgehende gelesene Operation erklärt	f17r.6#3|f17r.6#4	unknown
21E01	H21	1	Grobes Gut als Patient	f21r.8#3	assumed
21E02	H21	1	Produktname wird erst im Folgeabschnitt angenommen	f21r.9#6	assumed
21E03	H21	1	Flüssigkeit und Anteil stehen geschrieben	f21r.9#1|f21r.9#2|f21r.9#3	assumed
21E04	H21	1	Prüfung bindet vorigen Dreierblock, keine bestätigte Satzgrenze	f21r.9#6|f21r.9#7|f21r.9#8|f21r.10#2	assumed
21E05	H21	1	shol chol shol rückwirkend auf die drei Eingaben verteilt	f21r.11#1|f21r.11#2|f21r.11#3	assumed
21E05	H21	2	Keine eindeutige Probenherkunft unter den drei geprüften Materialien	f21r.10#5	unknown
21E06	H21	1	Neue Brücke wurde zur Konfliktauflösung gewählt	f21r.11#4|f21r.11#5|f21r.11#6	assumed
21E07	H21	1	Feuchte Quelle besteht nur unter dem neu gewählten Zugabewort	f21r.11#6|f21r.11#7	assumed
21E08	H21	1	Exakte Wiederholung chor ist Textbefund, nicht Instanzidentität	f21r.12#2|f21r.12#5	source_link
21E09	H21	1	Beide Empfänger wären möglich	f21r.11#8|f21r.11#9	unknown
21E10	H21	1	Keine ausdrücklich geschriebene Wiederaufnahme des Mischprodukts		unknown
32E01	H32	1	Patient ist unbenannt		unknown
32E02	H32	1	Ruhenlassen und Zeitspanne sind angesetzte Werte	f32v.7#3|f32v.7#4	assumed
32E03	H32	1	Doppelte abgemessen-Verteilung ist gemeinsame Syntaxannahme	f32v.8#2|f32v.8#3	assumed
32E03	H32	2	Pulverzustand folgt nicht schon aus beliebigem Zerkleinern und Mischen	f32v.8#4	unknown
32E04	H32	1	Geschriebene Rückbeziehung d ist erst hypothetisch als davon gelesen	f32v.8#4|f32v.8#6|f32v.8#8|f32v.8#9	assumed
32E05	H32	1	Zwei unterschiedliche geschriebene Nachnamen; Ausgabebeziehung nicht unabhängig gelesen	f32v.9#2|f32v.9#4|f32v.9#6	assumed
32E06	H32	1	Nomen und deren daiin-Felder stehen geschrieben; keine gleichen Massen gelesen	f32v.9#4|f32v.9#5|f32v.9#6|f32v.9#7	assumed
32E07	H32	1	Identitätswort ar soll die D-Portion binden	f32v.10#8|f32v.10#9|f32v.10#10	assumed
32E07	H32	2	Weiterverwendung der beiden Trennausgänge fehlt		unknown
32E08	H32	1	sho wiederholt sich; dieselbe Flüssigkeitsart ist angenommen, nicht dieselbe Portion	f32v.10#1|f32v.11#2	source_link
29E01	H29	1	Werkzeugwert ls ist ein einmaliger freier Ansatz	f29v.1#5	assumed
29E02	H29	1	Zwei shy bewahrt; zweites bezieht sich auf die gewonnene Portion	f29v.1#8|f29v.1#10	assumed
29E03	H29	1	Prüfung und Verteilung angesetzt, nicht erkannte Bildidentitäten	f29v.2#7|f29v.2#8|f29v.3#1|f29v.3#2	assumed
29E04	H29	1	Kor nur einmal und frei als Mahlen angesetzt	f29v.3#3	assumed
29E05	H29	1	Herkunft folgt aus kor=mahle plus gewähltem A-Patienten	f29v.3#3|f29v.3#5	assumed
29E06	H29	1	Nur ein ausgeschriebener Nachname in diesem Trennungsabschnitt	f29v.3#7	assumed
29E06	H29	2	Zweiter Ausgang unbekannt		unknown
29E07	H29	1	Absetzen wird verlangt, keine spätere unabhängige Erfüllung gelesen	f29v.3#10|f29v.3#11	unknown
29E08	H29	1	Ausgangstemperatur und tatsächlicher Temperaturabfall nicht gelesen	f29v.4#2|f29v.4#3|f29v.4#4	unknown
29E09	H29	1	Gleiche Gefäßform ist Textbefund, keine sichere Objektgleichheit	f29v.4#3|f29v.4#9	source_link
