occurrence	ref	paragraph	locus	index	form	frequency	process	catalogue	kind
1	f17r.4#1	H17	f17r.4	1	tcho	1	Rohgut	Rohgut	THING
2	f17r.4#2	H17	f17r.4	2	shol	3	feucht	feucht	QUALITY
3	f17r.4#3	H17	f17r.4	3	qokol	1	rühre	Rühren	ACTION
4	f17r.4#4	H17	f17r.4	4	qor	1	gleichmäßig	gleichmäßig	LINK
5	f17r.4#5	H17	f17r.4	5	olaiin	1	im Gefäß	Gefäßbezug	LINK
6	f17r.4#6	H17	f17r.4	6	opydg	1	bis zur Bindung	Bindungszustand als Ziel	QUALITY
7	f17r.4#7	H17	f17r.4	7	som	1	danach	folgender Eintrag	LINK
8	f17r.4#8	H17	f17r.4	8	ypchy	1	presse	Pressen	ACTION
9	f17r.4#9	H17	f17r.4	9	ypaim	1	den Saft ab	Saftanteil	THING
10	f17r.5#1	H17	f17r.5	1	ychekchy	1	sondere ab	Absonderung	ACTION
11	f17r.5#2	H17	f17r.5	2	cthy	5	Material A	Material A	THING
12	f17r.5#3	H17	f17r.5	3	chor	4	Material B	Material B	THING
13	f17r.5#4	H17	f17r.5	4	shor	2	Material C	Material C	THING
14	f17r.5#5	H17	f17r.5	5	cphor	1	je einen Teil	Teilmenge je Material	QUANTITY
15	f17r.5#6	H17	f17r.5	6	cphaldy	1	füge zusammen	Zusammenfügen	ACTION
16	f17r.5#7	H17	f17r.5	7	dair	1	eine zweite Portion	zweite Portion	QUANTITY
17	f17r.5#8	H17	f17r.5	8	cthey	2	Ansatz	Ansatz	THING
18	f17r.5#9	H17	f17r.5	9	qody	1	bereit	bereit	QUALITY
19	f17r.6#1	H17	f17r.6	1	tsho	1	anschließend	folgender Eintrag	LINK
20	f17r.6#2	H17	f17r.6	2	qof	1	bewahre	Aufbewahren	ACTION
21	f17r.6#3	H17	f17r.6	3	cho	2	hiervon	Bezug zum vorigen Material	LINK
22	f17r.6#4	H17	f17r.6	4	qokcheor	1	geklärten Anteil	geklärter Anteil	THING
23	f17r.6#5	H17	f17r.6	5	cheteg	1	verschlossen	verschlossen	QUALITY
24	f21r.8#1	H21	f21r.8	1	fcho	1	zur Zubereitung	Zubereitung	LINK
25	f21r.8#2	H21	f21r.8	2	kshy	1	zerkleinere	Zerkleinern	ACTION
26	f21r.8#3	H21	f21r.8	3	otor	1	grobes Gut	grobes Gut	THING
27	f21r.8#4	H21	f21r.8	4	sheol	1	füge hinzu	Zugabe	ACTION
28	f21r.8#5	H21	f21r.8	5	ocphal	1	festen Anteil	fester Anteil	THING
29	f21r.8#6	H21	f21r.8	6	opsheas	1	weichen Anteil	weicher Anteil	THING
30	f21r.8#7	H21	f21r.8	7	cthodaiin	1	Portion von Material A	Portion von Material A	THING
31	f21r.8#8	H21	f21r.8	8	oty	1	anschließend	folgender Eintrag	LINK
32	f21r.9#1	H21	f21r.9	1	okaiin	3	Gefäß	Gefäß	THING
33	f21r.9#2	H21	f21r.9	2	sho	4	Flüssigkeit	Flüssigkeit	THING
34	f21r.9#3	H21	f21r.9	3	tshaiin	1	einen Anteil	Anteil	QUANTITY
35	f21r.9#4	H21	f21r.9	4	chkaiin	2	miss ab	Abmessen	ACTION
36	f21r.9#5	H21	f21r.9	5	sh	1	und	und	LINK
37	f21r.9#6	H21	f21r.9	6	cthey	2	Ansatz	Ansatz	THING
38	f21r.9#7	H21	f21r.9	7	cthody	1	Rückstand	Rückstand	THING
39	f21r.9#8	H21	f21r.9	8	cthy	5	Material A	Material A	THING
40	f21r.9#9	H21	f21r.9	9	s	5	jeweils	jeweils	LINK
41	f21r.10#1	H21	f21r.10	1	totchy	1	prüfe	Prüfung	ACTION
42	f21r.10#2	H21	f21r.10	2	keor	1	einzeln	einzeln	LINK
43	f21r.10#3	H21	f21r.10	3	chy	2	vermische	Vermischung	ACTION
44	f21r.10#4	H21	f21r.10	4	ky	1	langsam	langsam	LINK
45	f21r.10#5	H21	f21r.10	5	qotaiin	2	entnommene Probe	entnommene Probe	THING
46	f21r.10#6	H21	f21r.10	6	qotchol	1	festen Anteil	fester Anteil	THING
47	f21r.10#7	H21	f21r.10	7	ty	1	sowie	sowie	LINK
48	f21r.10#8	H21	f21r.10	8	ctheey	1	geklärten Auszug	geklärter Auszug	THING
49	f21r.10#9	H21	f21r.10	9	otaiin	1	portionsweise	portionsweise	QUANTITY
50	f21r.11#1	H21	f21r.11	1	shol	3	feucht	feucht	QUALITY
51	f21r.11#2	H21	f21r.11	2	chol	7	trocken	trocken	QUALITY
52	f21r.11#3	H21	f21r.11	3	shol	3	feucht	feucht	QUALITY
53	f21r.11#4	H21	f21r.11	4	tchol	1	trockene Portion	trockene Portion	THING
54	f21r.11#5	H21	f21r.11	5	chcthy	1	Material-A-Rest	Material-A-Rest	THING
55	f21r.11#6	H21	f21r.11	6	otyky	1	füge hinzu	Zugabe	ACTION
56	f21r.11#7	H21	f21r.11	7	shey	2	teile ab	Abteilen	ACTION
57	f21r.11#8	H21	f21r.11	8	yteol	1	Überstand	Überstand	THING
58	f21r.11#9	H21	f21r.11	9	shody	1	feuchten Rest	feuchter Rest	THING
59	f21r.12#1	H21	f21r.12	1	ykeey	1	zum Abschluss	Abschlusseintrag	LINK
60	f21r.12#2	H21	f21r.12	2	chor	4	Material B	Material B	THING
61	f21r.12#3	H21	f21r.12	3	sheey	1	wähle aus	Auswahl	ACTION
62	f21r.12#4	H21	f21r.12	4	ysheol	1	nimm hinzu	Zugabe	ACTION
63	f21r.12#5	H21	f21r.12	5	chor	4	Material B	Material B	THING
64	f21r.12#6	H21	f21r.12	6	chol	7	trocken	trocken	QUALITY
