id	paragraph	refs	source_text	process_text	catalogue_text	supplied
C01	H17	f17r.4#1|f17r.4#2|f17r.4#3|f17r.4#4|f17r.4#5|f17r.4#6|f17r.4#7|f17r.4#8|f17r.4#9	tcho shol qokol qor olaiin opydg som ypchy ypaim	Rühre das feuchte Rohgut gleichmäßig im Gefäß bis zur Bindung; presse danach den Saft ab.	Feuchtes Rohgut; gleichmäßiges Rühren im Gefäß mit Bindung als Ziel; danach der Eintrag Pressen und Saftanteil.	Imperativ und Satzgliederung angenommen; Rohgut ist Patient von Rühren und Pressen; Saft ist dessen angenommene Ausgabe.
C02	H17	f17r.5#1|f17r.5#2|f17r.5#3|f17r.5#4|f17r.5#5|f17r.5#6|f17r.5#7|f17r.5#8|f17r.5#9	ychekchy cthy chor shor cphor cphaldy dair cthey qody	Sondere von Material A, B und C je einen Teil ab; füge diese mit dem Saft zu einem zweiten, bereiten Ansatz zusammen.	Absonderung: Material A, B, C, jeweils eine Teilmenge. Zusammenfügen: zweite Portion Ansatz, bereit.	mit dem Saft, diese und zu ergänzt; Ansatz als Mischprodukt benannt; zweite Portion als zweiter Ansatz neben dem Saft angesetzt. cphaldy nur einmal belegt und zur Verbindung gewählt.
C03	H17	f17r.6#1|f17r.6#2|f17r.6#3|f17r.6#4|f17r.6#5	tsho qof cho qokcheor cheteg	Bewahre anschließend hiervon einen geklärten Anteil verschlossen auf.	Folgender Eintrag: Aufbewahren; Bezug zum vorigen Material; geklärter Anteil, verschlossen.	hiervon bezieht sich hypothetisch auf Ansatz; durch welche Operation ein geklärter Anteil entstand bleibt offen.
C04	H21	f21r.8#1|f21r.8#2|f21r.8#3|f21r.8#4|f21r.8#5|f21r.8#6|f21r.8#7|f21r.8#8	fcho kshy otor sheol ocphal opsheas cthodaiin oty	Zur Zubereitung zerkleinere grobes Gut; füge festen Anteil, weichen Anteil und eine Portion Material A hinzu. Anschließend:	Zubereitung: Zerkleinern und grobes Gut; Zugabe mit festem Anteil, weichem Anteil und Portion Material A; folgender Eintrag.	Aufzählung ohne ausgeschriebenes und; Empfänger der Zugaben ist hypothetisch das zerkleinerte Gut.
C05	H21	f21r.9#1|f21r.9#2|f21r.9#3|f21r.9#4|f21r.9#5|f21r.9#6|f21r.9#7|f21r.9#8|f21r.9#9	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	Miss im Gefäß einen Anteil Flüssigkeit ab. Ansatz, Rückstand und Material A sollen jeweils	Gefäß, Flüssigkeit, Anteil, Abmessen; und Ansatz, Rückstand, Material A, jeweils	im und sollen ergänzt; der zweite Satz läuft ausdrücklich auf .10 weiter.
C06	H21	f21r.10#1|f21r.10#2|f21r.10#3|f21r.10#4|f21r.10#5|f21r.10#6|f21r.10#7|f21r.10#8|f21r.10#9	totchy keor chy ky qotaiin qotchol ty ctheey otaiin	einzeln geprüft werden. Vermische langsam die entnommene Probe, den festen Anteil sowie portionsweise geklärten Auszug.	Einzelne Prüfung; langsame Vermischung; entnommene Probe, fester Anteil sowie portionsweise geklärter Auszug.	Prüfung bindet drei Materialien aus .9; drei neue Mischpatienten; Probe aus welchem geprüften Material bleibt offen.
C07	H21	f21r.11#1|f21r.11#2|f21r.11#3|f21r.11#4|f21r.11#5|f21r.11#6|f21r.11#7|f21r.11#8|f21r.11#9	shol chol shol tchol chcthy otyky shey yteol shody	Diese drei Mischzutaten sind feucht, trocken, feucht. Füge eine trockene Portion des Material-A-Rests hinzu; teile Überstand und feuchten Rest ab.	Drei Eigenschaften: feucht, trocken, feucht. Trockene Portion, Material-A-Rest; Zugabe; Abteilen, Überstand und feuchter Rest.	Drei Eingabequalitäten werden rückwirkend verteilt; voriges Mischprodukt als Zugabeempfänger ergänzt; otyky als füge hinzu neu gewählt, um trockene Quelle versus feuchte Ausgaben zu vermeiden.
C08	H21	f21r.12#1|f21r.12#2|f21r.12#3|f21r.12#4|f21r.12#5|f21r.12#6|f21r.12#7|f21r.12#8	ykeey chor sheey ysheol chor chol daiin chkaiin	Zum Abschluss wähle Material B aus; nimm Material B trocken und abgemessen hinzu; miss ab.	Abschlusseintrag: Material B, Auswahl; Zugabe mit Material B, trocken, abgemessen; Abmessen.	Beide B-Nennungen als dieselbe ausgewählte Portion angesetzt; Empfänger der Zugabe und Objekt des letzten Abmessens sind ergänzte Bezüge.
C09	H32	f32v.7#1|f32v.7#2|f32v.7#3|f32v.7#4|f32v.7#5|f32v.7#6|f32v.7#7|f32v.7#8|f32v.7#9|f32v.7#10	ksho cphos she sheaiin otshcho r dain shckhy s odan	Zur Aufbereitung zerkleinere das Ausgangsgut und lasse es eine Weile ruhen. Nimm wenig vom groben Material; füge jeweils Rückstand und	Aufbereitung: Zerkleinern; Ruhenlassen, Zeitspanne; grobes Material, Herkunftsbezug, kleine Menge; Zusammenfügen, jeweils Rückstand und	Ausgangsgut ist implizites Thema; Nimm und vom sind nicht durch ein eigenes Tätigkeitswort in diesem Teil gedeckt; Fortsetzung auf .8.
C10	H32	f32v.8#1|f32v.8#2|f32v.8#3|f32v.8#4|f32v.8#5|f32v.8#6|f32v.8#7|f32v.8#8|f32v.8#9	otchol daiin daiin ctho daiin qotaiin otchy d shan	Feinmaterial zusammen, beide abgemessen. Vom abgemessenen Pulver nimm eine entnommene Probe, davon den feinen Anteil.	Feinmaterial; abgemessen, abgemessen. Pulver, abgemessen; entnommene Probe, Entnahme, Herkunftsbezug, feiner Anteil.	Die beiden abgemessen werden auf Rückstand und Feinmaterial verteilt; Pulver als Ergebnis des vorherigen Zusammenfügens wäre eine zusätzliche offene Gleichsetzung; feiner Anteil als Ausgabe von nimm angesetzt.
